organism_key,taxon,stage,start_day,start_month,end_day,end_month
NBNORG0000057263,Acleris schalleriana,mature,1,1,31,12
NBNORG0000057264,Acleris shepherdana,mature,21,7,30,9
NBNORG0000057265,Acleris sparsana,mature,31,7,1,4
NBNORG0000057266,Acleris umbrana,mature,30,6,1,5
NBNORG0000057267,Acleris variegana,mature,1,5,21,11
NBNORG0000057268,Acompsia cinerella,mature,21,5,7,9
NBNORG0000041027,Acompsia schmidtiellus,mature,1,7,31,8
NBNORG0000009545,Acontia lucida,mature,21,7,15,9
NBNORG0000009544,Acontia trabealis,mature,15,6,30,9
NBNORG0000057271,Acosmetia caliginosa,mature,15,5,15,7
NBNORG0000043513,Acrobasis advenella,mature,15,6,15,9
NBNORG0000057272,Acrobasis consociella,mature,1,6,31,8
NBNORG0000043514,Acrobasis marmorea,mature,21,5,31,8
NBNORG0000059413,Acrobasis repandana,mature,1,6,7,9
NBNORG0000043515,Acrobasis suavella,mature,21,5,7,9
NBNORG0000059414,Acrobasis tumidana,mature,21,6,15,9
NBNORG0000057273,Acrocercops brongniardella,mature,30,6,1,6
NBNORG0000057274,Acroclita subsequana,mature,1,4,31,10
NBNORG0000018479,Acrolepia autumnitella,mature,1,1,31,12
NBNORG0000057276,Acrolepiopsis assectella,mature,1,1,31,12
NBNORG0000057277,Acrolepiopsis betulella,mature,30,6,1,6
NBNORG0000057278,Acrolepiopsis marcidella,mature,30,9,1,7
NBNORG0000009454,Acronicta aceris,mature,1,4,21,8
NBNORG0000009456,Acronicta alni,mature,15,4,31,7
NBNORG0000057279,Acronicta auricoma,mature,1,5,31,7
NBNORG0000009455,Acronicta leporina,mature,1,4,21,8
NBNORG0000009458,Acronicta menyanthidis,mature,15,4,31,7
NBNORG0000008881,Acronicta menyanthidis menyanthidis,mature,15,4,31,7
NBNORG0000057284,Acronicta menyanthidis scotica,mature,15,4,31,7
NBNORG0000009457,Acronicta psi,mature,15,4,15,9
NBNORG0000086959,Acronicta psi/tridens,mature,15,4,15,9
NBNORG0000009459,Acronicta rumicis,mature,1,4,30,9
NBNORG0000057285,Acronicta strigosa,mature,1,7,31,7
NBNORG0000057286,Acronicta tridens,mature,21,4,7,9
NBNORG0000009345,Actebia fennica,mature,1,7,31,8
NBNORG0000009344,Actebia praecox,mature,21,7,7,9
NBNORG0000009342,Actinotia polyodon,mature,15,5,7,7
NBNORG0000057289,Adaina microdactyla,mature,1,5,30,9
NBNORG0000057290,Adela croesella,mature,1,5,30,6
NBNORG0000057291,Adela cuprella,mature,21,3,31,5
NBNORG0000041031,Adela reaumurella,mature,1,4,15,7
NBNORG0000006845,Adoxophyes orana,mature,1,6,31,10
NBNORG0000057296,Adscita geryon,mature,21,4,7,8
NBNORG0000117172,Adscita geryon geryon,mature,21,4,7,8
NBNORG0000009014,Adscita statices,mature,7,5,7,8
NBNORG0000117171,Adscita statices statices,mature,7,5,7,8
NBNORG0000116610,Aedia funesta,mature,15,6,21,7
NBNORG0000097764,Aedia leucomelas,mature,15,8,15,9
NBNORG0000057297,Aethalura punctulata,mature,21,3,15,7
NBNORG0000057298,Aethes beatricella,mature,1,6,31,7
NBNORG0000117222,Aethes bilbaensis,mature,1,5,30,9
NBNORG0000057299,Aethes cnicana,mature,21,5,31,8
NBNORG0000057300,Aethes dilucidana,mature,1,7,7,9
NBNORG0000122551,Aethes fennicana,mature,1,8,31,8
NBNORG0000117223,Aethes fennicana fennicana,mature,1,8,31,8
NBNORG0000057301,Aethes francillana,mature,1,6,30,9
NBNORG0000057302,Aethes hartmanniana,mature,1,5,7,8
NBNORG0000057303,Aethes margaritana,mature,1,7,31,8
NBNORG0000057304,Aethes margarotana,mature,1,6,31,7
NBNORG0000057305,Aethes piercei,mature,1,5,31,7
NBNORG0000057306,Aethes rubigana,mature,1,6,31,8
NBNORG0000057307,Aethes rutilana,mature,1,7,31,8
NBNORG0000057308,Aethes smeathmanniana,mature,1,5,7,10
NBNORG0000057309,Aethes tesserana,mature,1,5,31,8
NBNORG0000057310,Aethes williana,mature,1,5,31,8
NBNORG0000057311,Agapeta hamana,mature,1,5,30,9
NBNORG0000057312,Agapeta zoegana,mature,1,5,31,8
NBNORG0000057315,Agdistis bennetii,mature,1,5,15,9
NBNORG0000041011,Agdistis meridionalis,mature,15,5,31,10
NBNORG0000108230,Agdistis tamaricis,mature,1,10,31,10
NBNORG0000057317,Aglossa caprealis,mature,1,7,15,9
NBNORG0000057320,Aglossa pinguinalis,mature,1,5,15,10
NBNORG0000058859,Agnoea flavifrontella,mature,1,5,31,7
NBNORG0000058860,Agnoea josephinae,mature,1,6,31,8
NBNORG0000058861,Agnoea subochreella,mature,1,5,31,7
NBNORG0000057321,Agonopterix alstromeriana,mature,30,6,1,6
NBNORG0000057322,Agonopterix angelicella,mature,1,7,30,9
NBNORG0000057323,Agonopterix arenella,mature,1,1,31,12
NBNORG0000057324,Agonopterix assimilella,mature,1,4,30,9
NBNORG0000057325,Agonopterix astrantiae,mature,1,7,31,8
NBNORG0000057326,Agonopterix atomella,mature,21,4,7,7
NBNORG0000057327,Agonopterix bipunctosa,mature,1,7,30,9
NBNORG0000057328,Agonopterix capreolella,mature,31,7,1,6
NBNORG0000057329,Agonopterix carduella,mature,30,6,1,6
NBNORG0000057330,Agonopterix ciliella,mature,30,6,1,6
NBNORG0000057331,Agonopterix cnicella,mature,1,6,30,9
NBNORG0000057332,Agonopterix conterminella,mature,21,6,30,9
NBNORG0000057333,Agonopterix curvipunctosa,mature,1,1,31,12
NBNORG0000057334,Agonopterix heracliana,mature,1,1,31,12
NBNORG0000041034,Agonopterix kaekeritziana,mature,1,7,30,9
NBNORG0000057335,Agonopterix kuznetzovi,mature,21,7,1,6
NBNORG0000057336,Agonopterix liturosa,mature,1,6,7,9
NBNORG0000057337,Agonopterix nanatella,mature,1,7,31,8
NBNORG0000057338,Agonopterix nervosa,mature,21,6,31,10
NBNORG0000057339,Agonopterix ocellana,mature,1,1,31,12
NBNORG0000057340,Agonopterix pallorella,mature,31,7,1,6
NBNORG0000057341,Agonopterix propinquella,mature,1,1,31,12
NBNORG0000057342,Agonopterix purpurea,mature,31,7,1,7
NBNORG0000057343,Agonopterix putridella,mature,1,7,31,8
NBNORG0000057344,Agonopterix rotundella,mature,31,7,1,6
NBNORG0000057345,Agonopterix scopariella,mature,31,7,1,6
NBNORG0000057346,Agonopterix subpropinquella,mature,30,6,1,6
NBNORG0000041035,Agonopterix umbellana,mature,31,7,1,6
NBNORG0000057347,Agonopterix yeatiana,mature,31,7,1,7
NBNORG0000057348,Agriopis aurantiaria,mature,1,10,31,12
NBNORG0000057349,Agriopis leucophaearia,mature,15,12,7,4
NBNORG0000009237,Agriopis marginaria,mature,21,12,15,5
NBNORG0000057350,Agriphila geniculea,mature,1,7,7,10
NBNORG0000057351,Agriphila inquinatella,mature,15,6,30,9
NBNORG0000018495,Agriphila latistria,mature,15,7,30,9
NBNORG0000057352,Agriphila poliellus,mature,1,8,31,10
NBNORG0000057353,Agriphila selasella,mature,21,6,15,9
NBNORG0000057354,Agriphila straminella,mature,15,5,15,10
NBNORG0000057355,Agriphila tristella,mature,7,6,30,9
NBNORG0000009259,Agrius convolvuli,mature,15,6,31,10
NBNORG0000057409,Agrochola lychnidis,mature,1,9,21,11
NBNORG0000018501,Agrotera nemoralis,mature,1,5,30,6
NBNORG0000057412,Agrotis bigramma,mature,21,7,7,9
NBNORG0000117424,Agrotis catalaunensis,mature,1,3,30,11
NBNORG0000057411,Agrotis cinerea,mature,15,4,21,7
NBNORG0000009336,Agrotis clavis,mature,15,5,31,8
NBNORG0000009337,Agrotis exclamationis,mature,21,4,31,10
NBNORG0000099341,Agrotis graslini,mature,1,8,31,10
NBNORG0000057413,Agrotis herzogi,mature,21,11,15,12
NBNORG0000009338,Agrotis ipsilon,mature,1,2,31,12
NBNORG0000009339,Agrotis puta,mature,1,4,15,11
NBNORG0000008870,Agrotis puta insula,mature,15,4,31,10
NBNORG0000057414,Agrotis puta puta,mature,15,4,31,10
NBNORG0000057415,Agrotis ripae,mature,7,5,15,8
NBNORG0000057416,Agrotis segetum,mature,15,4,7,12
NBNORG0000059441,Agrotis trux,mature,1,6,15,10
NBNORG0000057418,Agrotis trux lunigera,mature,1,6,15,10
NBNORG0000117423,Agrotis trux trux,mature,1,6,15,10
NBNORG0000009335,Agrotis vestigialis,mature,1,6,30,9
NBNORG0000057420,Alabonia geoffrella,mature,1,5,30,6
NBNORG0000009244,Alcis jubata,mature,21,6,15,9
NBNORG0000009243,Alcis repandata,mature,1,5,30,9
NBNORG0000070483,Alcis repandata muraria,mature,21,5,7,9
NBNORG0000008854,Alcis repandata repandata,mature,21,5,7,9
NBNORG0000008855,Alcis repandata sodorensium,mature,21,5,7,9
NBNORG0000057421,Aleimma loeflingiana,mature,21,5,31,8
NBNORG0000057422,Aleucis distinctata,mature,21,3,15,5
NBNORG0000009435,Allophyes oxyacanthae,mature,21,8,30,11
NBNORG0000057423,Alsophila aescularia,mature,21,1,7,5
NBNORG0000041072,Altenia scriptella,mature,1,6,7,8
NBNORG0000057425,Alucita hexadactyla,mature,1,1,31,12
NBNORG0000057428,Amblyptilia acanthadactyla,mature,1,1,31,12
NBNORG0000057429,Amblyptilia punctidactyla,mature,1,1,31,12
NBNORG0000009512,Amphipoea crinanensis,mature,21,7,7,10
NBNORG0000059453,Amphipoea fucosa,mature,21,6,7,10
NBNORG0000057430,Amphipoea fucosa fucosa,mature,21,6,7,10
NBNORG0000009511,Amphipoea fucosa paludis,mature,21,6,7,10
NBNORG0000009510,Amphipoea lucens,mature,15,7,15,10
NBNORG0000009513,Amphipoea oculea,mature,21,6,7,10
NBNORG0000086948,Amphipoea oculea agg.,mature,21,6,15,10
NBNORG0000059455,Amphipyra berbera,mature,1,7,15,10
NBNORG0000057431,Amphipyra berbera berbera,mature,1,7,15,10
NBNORG0000117333,Amphipyra berbera svenssoni,mature,1,7,15,10
NBNORG0000009465,Amphipyra pyramidea,mature,1,7,21,10
NBNORG0000009466,Amphipyra pyramidea agg.,mature,1,7,15,10
NBNORG0000009467,Amphipyra tragopoginis,mature,21,6,15,10
NBNORG0000057434,Amphisbatis incongruella,mature,1,3,31,5
NBNORG0000057436,Anacampsis blattariella,mature,1,7,7,9
NBNORG0000057437,Anacampsis populella,mature,21,6,15,9
NBNORG0000057439,Anacampsis temerella,mature,15,6,15,8
NBNORG0000058751,Anania coronata,mature,15,5,30,9
NBNORG0000057975,Anania crocealis,mature,21,5,30,9
NBNORG0000057440,Anania funebris,mature,1,5,31,8
NBNORG0000058634,Anania fuscalis,mature,1,5,15,8
NBNORG0000058221,Anania hortulata,mature,1,2,30,11
NBNORG0000058729,Anania lancealis,mature,15,5,31,8
NBNORG0000058752,Anania perlucidalis,mature,21,5,7,9
NBNORG0000059459,Anania stachydalis,mature,1,6,15,8
NBNORG0000006843,Anania terrealis,mature,21,5,31,8
NBNORG0000057441,Anania verbascalis,mature,21,5,15,9
NBNORG0000057442,Anaplectoides prasina,mature,21,5,21,8
NBNORG0000122869,Anarsia innoxiella,mature,21,6,15,8
NBNORG0000057443,Anarsia lineatella,mature,1,5,30,9
NBNORG0000057444,Anarsia spartiella,mature,15,6,15,8
NBNORG0000009372,Anarta melanopa,mature,1,5,7,7
NBNORG0000009370,Anarta myrtilli,mature,15,4,7,9
NBNORG0000009373,Anarta trifolii,mature,1,4,7,10
NBNORG0000086929,Anatrachyntis badia,mature,1,8,31,10
NBNORG0000057408,Anchoscelis haematidea,mature,21,9,31,10
NBNORG0000009445,Anchoscelis helvola,mature,7,8,15,11
NBNORG0000009446,Anchoscelis litura,mature,7,8,15,11
NBNORG0000009448,Anchoscelis lunosa,mature,15,8,15,11
NBNORG0000057356,Ancylis achatana,mature,21,5,31,8
NBNORG0000057357,Ancylis apicella,mature,1,5,31,8
NBNORG0000057358,Ancylis badiana,mature,15,4,30,9
NBNORG0000057359,Ancylis comptana,mature,1,4,30,9
NBNORG0000057360,Ancylis diminutana,mature,1,5,31,8
NBNORG0000057361,Ancylis geminana,mature,1,5,31,8
NBNORG0000057362,Ancylis laetana,mature,1,5,31,7
NBNORG0000057363,Ancylis mitterbacheriana,mature,21,4,31,7
NBNORG0000057364,Ancylis myrtillana,mature,1,5,31,7
NBNORG0000057365,Ancylis obtusana,mature,21,5,7,7
NBNORG0000057366,Ancylis paludana,mature,21,5,31,8
NBNORG0000057367,Ancylis subarcuana,mature,1,5,31,8
NBNORG0000057368,Ancylis tineana,mature,1,5,30,6
NBNORG0000057369,Ancylis uncella,mature,1,5,30,6
NBNORG0000057370,Ancylis unculana,mature,21,4,7,9
NBNORG0000057371,Ancylis unguicella,mature,1,5,31,7
NBNORG0000057445,Ancylis upupana,mature,1,5,30,6
NBNORG0000006868,Ancylodes pallens,mature,1,1,31,1
NBNORG0000057446,Ancylolomia tentaculella,mature,1,7,31,8
NBNORG0000086961,Ancylosis cinnamomella,mature,1,8,31,8
NBNORG0000057447,Ancylosis oblitella,mature,15,6,31,10
NBNORG0000057448,Anerastia lotella,mature,21,5,7,9
NBNORG0000009232,Angerona prunaria,mature,15,5,31,7
NBNORG0000058642,Anorthoa munda,mature,21,2,15,5
NBNORG0000057455,Anthophila fabriciana,mature,1,4,30,11
NBNORG0000057459,Anticlea derivata,mature,15,3,7,6
NBNORG0000009194,Anticollix sparsata,mature,21,5,31,8
NBNORG0000057460,Antigastra catalaunalis,mature,1,6,7,11
NBNORG0000057461,Antispila metallella,mature,1,4,30,6
NBNORG0000057462,Antispila petryi,mature,1,6,31,7
NBNORG0000057462,Antispila petryi,mature,1,5,30,6
NBNORG0000009440,Antitype chi,mature,15,7,31,10
NBNORG0000057463,Apamea anceps,mature,1,5,21,11
NBNORG0000009488,Apamea crenata,mature,1,5,31,8
NBNORG0000009489,Apamea epomidion,mature,7,5,7,8
NBNORG0000057372,Apamea furva,mature,1,6,15,9
NBNORG0000117359,Apamea furva britannica,mature,1,6,15,9
NBNORG0000117358,Apamea furva furva,mature,1,6,15,9
NBNORG0000009490,Apamea lateritia,mature,1,7,15,8
NBNORG0000057373,Apamea lithoxylaea,mature,1,6,21,9
NBNORG0000009484,Apamea monoglypha,mature,15,5,15,12
NBNORG0000009487,Apamea oblonga,mature,15,6,31,8
NBNORG0000057374,Apamea remissa,mature,1,5,31,8
NBNORG0000009493,Apamea scolopacina,mature,1,6,31,8
NBNORG0000018509,Apamea sordens,mature,21,4,15,8
NBNORG0000009485,Apamea sublustris,mature,21,5,15,8
NBNORG0000009492,Apamea unanimis,mature,15,5,15,8
NBNORG0000009223,Apeira syringaria,mature,1,6,30,9
NBNORG0000097726,Aphelia paleana/unitana,mature,1,5,31,8
NBNORG0000057382,Aphelia viburnana,mature,1,6,30,9
NBNORG0000057383,Aphomia sociella,mature,1,4,31,10
NBNORG0000009063,Aplasta ononaria,mature,7,6,7,9
NBNORG0000057385,Aplocera efformata,mature,15,4,15,10
NBNORG0000009199,Aplocera plagiata,mature,15,4,15,10
NBNORG0000008850,Aplocera plagiata plagiata,mature,15,4,15,9
NBNORG0000057386,Aplocera plagiata scotica,mature,15,4,15,9
NBNORG0000057387,Aplocera praeformata,mature,1,6,31,10
NBNORG0000057388,Aplota palpellus,mature,1,7,31,8
NBNORG0000057389,Apocheima hispidaria,mature,21,1,30,4
NBNORG0000009026,Apoda limacodes,mature,1,6,7,8
NBNORG0000057390,Apodia bifractella,mature,1,7,7,9
NBNORG0000059489,Apomyelois bistriatella,mature,15,5,30,9
NBNORG0000041126,Apomyelois ceratoniae,mature,1,6,30,11
NBNORG0000059491,Aporophyla australis,mature,21,8,31,10
NBNORG0000057393,Aporophyla australis australis,mature,21,8,31,10
NBNORG0000009425,Aporophyla australis pascuea,mature,21,8,31,10
NBNORG0000008878,Aporophyla lueneburgensis,mature,21,7,15,10
NBNORG0000057394,Aporophyla lutulenta,mature,15,8,31,10
NBNORG0000009426,Aporophyla nigra,mature,1,8,30,11
NBNORG0000057395,Apotomis betuletana,mature,1,6,30,9
NBNORG0000057396,Apotomis capreana,mature,21,5,30,9
NBNORG0000057397,Apotomis infida,mature,1,7,31,8
NBNORG0000057398,Apotomis lineana,mature,1,6,31,8
NBNORG0000059493,Apotomis sauciana,mature,1,5,31,8
NBNORG0000057400,Apotomis semifasciana,mature,15,6,15,9
NBNORG0000057401,Apotomis sororculana,mature,1,5,31,7
NBNORG0000057402,Apotomis turbidana,mature,15,5,31,8
NBNORG0000086946,Aproaerema albifrontella,mature,1,6,7,6
NBNORG0000059099,Aproaerema albipalpella,mature,1,7,31,7
NBNORG0000057403,Aproaerema anthyllidella,mature,21,4,31,10
NBNORG0000059100,Aproaerema cinctella,mature,21,5,31,7
NBNORG0000059101,Aproaerema larseniella,mature,1,6,7,8
NBNORG0000059102,Aproaerema polychromella,mature,30,11,1,8
NBNORG0000059103,Aproaerema sangiella,mature,21,5,7,9
NBNORG0000059104,Aproaerema suecicella,mature,1,6,31,7
NBNORG0000059105,Aproaerema taeniolella,mature,15,6,31,8
NBNORG0000059106,Aproaerema vinella,mature,1,5,31,8
NBNORG0000058696,Apterogenum ypsillon,mature,1,6,31,8
NBNORG0000009522,Archanara dissoluta,mature,15,6,15,9
NBNORG0000057405,Archanara neurica,mature,1,7,15,8
NBNORG0000057407,Archiearis notha,mature,15,3,15,5
NBNORG0000009062,Archiearis parthenias,mature,1,3,15,5
NBNORG0000057464,Archinemapogon yildizae,mature,1,5,31,7
NBNORG0000057466,Archips betulana,mature,1,8,31,8
NBNORG0000057467,Archips crataegana,mature,1,6,31,8
NBNORG0000057468,Archips oporana,mature,1,6,31,8
NBNORG0000057469,Archips podana,mature,21,5,15,10
NBNORG0000057470,Archips rosana,mature,1,6,30,9
NBNORG0000057471,Archips xylosteana,mature,1,6,31,8
NBNORG0000009316,Arctia caja,mature,1,6,15,9
NBNORG0000059500,Arctia villica,mature,21,4,15,7
NBNORG0000057472,Arctia villica britannica,mature,21,4,15,7
NBNORG0000057473,Arctia villica villica,mature,21,4,15,7
NBNORG0000057475,Arctornis l-nigrum,mature,1,7,15,7
NBNORG0000057501,Arenostola phragmitidis,mature,15,6,7,9
NBNORG0000057503,Argolamprotes micella,mature,15,6,7,8
NBNORG0000057511,Argyresthia abdominalis,mature,1,7,31,8
NBNORG0000057512,Argyresthia albistria,mature,1,6,30,9
NBNORG0000057513,Argyresthia arceuthina,mature,1,4,30,6
NBNORG0000057514,Argyresthia aurulentella,mature,1,7,31,8
NBNORG0000041147,Argyresthia bonnetella,mature,1,6,30,9
NBNORG0000057515,Argyresthia brockeella,mature,21,5,31,8
NBNORG0000057516,Argyresthia conjugella,mature,1,5,7,9
NBNORG0000041149,Argyresthia cupressella,mature,1,5,7,8
NBNORG0000057518,Argyresthia curvella,mature,1,6,31,7
NBNORG0000057519,Argyresthia dilectella,mature,1,6,30,9
NBNORG0000057520,Argyresthia glabratella,mature,1,5,7,7
NBNORG0000057521,Argyresthia glaucinella,mature,1,6,31,7
NBNORG0000057522,Argyresthia goedartella,mature,1,5,31,10
NBNORG0000057524,Argyresthia ivella,mature,1,7,31,8
NBNORG0000057525,Argyresthia laevigatella,mature,1,5,31,7
NBNORG0000057526,Argyresthia praecocella,mature,1,5,31,5
NBNORG0000057527,Argyresthia pruniella,mature,21,5,30,9
NBNORG0000057528,Argyresthia pygmaeella,mature,21,5,7,9
NBNORG0000057529,Argyresthia retinella,mature,1,6,31,8
NBNORG0000057530,Argyresthia semifusca,mature,21,6,30,9
NBNORG0000057531,Argyresthia semitestacella,mature,1,8,31,10
NBNORG0000057532,Argyresthia sorbiella,mature,1,6,31,7
NBNORG0000041150,Argyresthia spinosella,mature,1,5,31,7
NBNORG0000057533,Argyresthia trifasciata,mature,1,4,31,8
NBNORG0000058616,Argyroploce arbutella,mature,1,5,7,7
NBNORG0000057535,Argyrotaenia ljungiana,mature,1,2,31,10
NBNORG0000057537,Aristotelia brizella,mature,1,5,31,8
NBNORG0000057538,Aristotelia ericinella,mature,1,7,7,9
NBNORG0000057539,Aristotelia subdecurtella,mature,21,6,31,7
NBNORG0000057540,Aroga velocella,mature,21,4,7,9
NBNORG0000057541,Aspilapteryx tringipennella,mature,1,4,30,9
NBNORG0000059511,Aspitates gilvaria,mature,15,6,15,9
NBNORG0000008856,Aspitates gilvaria burrenensis,mature,15,6,15,9
NBNORG0000057542,Aspitates gilvaria gilvaria,mature,15,6,15,9
NBNORG0000009257,Aspitates ochrearia,mature,15,4,15,10
NBNORG0000057543,Assara terebrella,mature,21,5,7,10
NBNORG0000057544,Asteroscopus sphinx,mature,1,10,7,12
NBNORG0000009204,Asthena albulata,mature,15,4,15,9
NBNORG0000057546,Atemelia torquatella,mature,1,6,31,7
NBNORG0000009447,Atethmia centrago,mature,7,8,15,10
NBNORG0000043032,Athetis hospes,mature,1,6,31,10
NBNORG0000057547,Athetis pallustris,mature,15,5,15,6
NBNORG0000057548,Athrips mouffetella,mature,21,6,31,8
NBNORG0000057549,Athrips rancidella,mature,1,6,31,8
NBNORG0000057550,Athrips tetrapunctella,mature,1,5,7,7
NBNORG0000009303,Atolmis rubricollis,mature,15,5,7,8
NBNORG0000057551,Augasma aeratella,mature,1,6,31,7
NBNORG0000057552,Autographa bractea,mature,15,6,15,9
NBNORG0000009559,Autographa gamma,mature,1,1,31,12
NBNORG0000009561,Autographa jota,mature,15,5,15,9
NBNORG0000009560,Autographa pulchrina,mature,15,5,15,9
NBNORG0000009343,Axylia putris,mature,1,5,30,9
NBNORG0000057554,Bacotia claustrella,mature,1,6,31,7
NBNORG0000057555,Bactra furfurana,mature,1,5,7,9
NBNORG0000057556,Bactra lacteana,mature,1,6,31,8
NBNORG0000057557,Bactra lancealana,mature,1,5,31,10
NBNORG0000057558,Bactra robustana,mature,1,5,7,9
NBNORG0000117234,Bactra venosana,mature,1,4,30,9
NBNORG0000101484,Bankesia conspurcatella,mature,1,3,30,4
NBNORG0000108225,Barea asbolaea,mature,1,4,30,9
NBNORG0000041193,Batia internella,mature,1,6,31,8
NBNORG0000057560,Batia lambdella,mature,1,6,31,8
NBNORG0000057561,Batia lunaris,mature,1,6,31,8
NBNORG0000057563,Batrachedra pinicolella,mature,15,6,31,8
NBNORG0000057564,Batrachedra praeangusta,mature,1,6,7,10
NBNORG0000057565,Bedellia somnulentella,mature,1,1,31,12
NBNORG0000057567,Bembecia ichneumoniformis,mature,1,6,31,8
NBNORG0000057568,Bena bicolorana,mature,1,6,21,8
NBNORG0000009236,Biston betularia,mature,15,4,7,9
NBNORG0000009235,Biston strataria,mature,21,1,7,5
NBNORG0000095894,Blastobasis adustella,mature,1,6,15,11
NBNORG0000099339,Blastobasis lacticolella,mature,15,5,31,12
NBNORG0000117491,Blastobasis maroccanella,mature,1,7,31,8
NBNORG0000057577,Blastobasis phycidella,mature,1,6,30,6
NBNORG0000117198,Blastobasis rebeli,mature,1,7,30,9
NBNORG0000117197,Blastobasis vittata,mature,1,6,30,11
NBNORG0000057578,Blastodacna atra,mature,21,5,30,9
NBNORG0000057579,Blastodacna hellerella,mature,1,5,31,8
NBNORG0000057582,Bohemannia auriciliella,mature,1,6,31,7
NBNORG0000041254,Bohemannia pulverosella,mature,1,5,30,6
NBNORG0000057583,Bohemannia quadrimaculella,mature,1,7,31,8
NBNORG0000057588,Borkhausenia fuscescens,mature,1,6,30,9
NBNORG0000057589,Borkhausenia minutella,mature,1,5,30,6
NBNORG0000009423,Brachionycha nubeculosa,mature,7,3,7,5
NBNORG0000057590,Brachmia blandella,mature,7,6,21,8
NBNORG0000057591,Brachmia inornatella,mature,1,6,7,8
NBNORG0000009422,Brachylomia viminalis,mature,15,5,30,9
NBNORG0000057726,Brevicornutia pallidana,mature,1,6,30,6
NBNORG0000009462,Bryophila domestica,mature,1,6,30,9
NBNORG0000057870,Bryophila raptricula,mature,15,7,15,8
NBNORG0000009463,Bryopsis muralis,mature,21,6,30,9
NBNORG0000057594,Bryotropha affinis,mature,1,5,30,9
NBNORG0000057595,Bryotropha basaltinella,mature,15,5,7,9
NBNORG0000057596,Bryotropha boreella,mature,21,6,7,8
NBNORG0000057597,Bryotropha desertella,mature,15,5,21,8
NBNORG0000057598,Bryotropha domestica,mature,1,6,15,9
NBNORG0000057599,Bryotropha dryadella,mature,1,6,15,8
NBNORG0000057601,Bryotropha galbanella,mature,21,6,15,8
NBNORG0000057602,Bryotropha politella,mature,1,6,15,8
NBNORG0000057603,Bryotropha senectella,mature,15,6,7,9
NBNORG0000057604,Bryotropha similis,mature,15,6,31,8
NBNORG0000057605,Bryotropha terrella,mature,21,5,31,8
NBNORG0000057606,Bryotropha umbrosella,mature,21,5,31,8
NBNORG0000057607,Bucculatrix albedinella,mature,1,5,31,8
NBNORG0000057609,Bucculatrix bechsteinella,mature,1,5,31,8
NBNORG0000117142,Bucculatrix chrysanthemella,mature,1,6,30,6
NBNORG0000057610,Bucculatrix cidarella,mature,1,5,30,6
NBNORG0000057611,Bucculatrix cristatella,mature,1,5,31,8
NBNORG0000057612,Bucculatrix demaryella,mature,1,5,30,6
NBNORG0000041340,Bucculatrix frangutella,mature,1,6,31,7
NBNORG0000006844,Bucculatrix humiliella,mature,21,7,1,6
NBNORG0000057613,Bucculatrix maritima,mature,1,5,7,9
NBNORG0000057614,Bucculatrix nigricomella,mature,21,4,31,8
