"tvk","value_code","taxon"
"NBNSYS0000173918","2","Arachnanthus sarsi"
"NBNSYS0000173928","2","Arctica islandica"
"NBNSYS0000173980","1","Ascophyllum nodosum"
"NBNSYS0000173988","2","Asperococcus scaber"
"NBNSYS0000174003","2","Asterina phylactica"
"NBNSYS0000174049","3","Austrosyrrhoe fimbriatus"
"NBNSYS0000174066","2","Axinella damicornis"
"NBNSYS0000174078","2","Balanus amphitrite"
"NBNSYS0000174097","2","Barnea candida"
"NBNSYS0000174167","2","Bonnemaisonia hamifera"
"NHMSYS0000567811","5","Bornetia secundiflora"
"NBNSYS0000174182","4","Bowerbankia gracilis"
"NBNSYS0000174189","5","Brachystomia carrozzai"
"NBNSYS0000174234","4","Bugula purpurotincta"
"NBNSYS0000174236","4","Bugula stolonifera"
"NBNSYS0000174280","3","Callista chione"
"NBNSYS0000174310","4","Caloria elegans"
"NBNSYS0000174315","2","Calyptraea chinensis"
"NBNSYS0000174373","1","Carpomitra costata"
"NBNSYS0000174377","1","Caryophyllia smithii"
"NBNSYS0000174448","5","Cerithiopsis barleii"
"NBNSYS0000174451","4","Cestopagurus timidus"
"NHMSYS0000567886","5","Cladophora battersii"
"NBNSYS0000174637","2","Clupea harengus"
"NBNSYS0000174640","3","Clymenella torquata"
"NBNSYS0000174661","3","Colomastix pusilla"
"NBNSYS0000174698","3","Corophium acherusicum"
"NBNSYS0000174700","3","Corophium affine"
"NBNSYS0000174704","3","Corophium sextonae"
"NBNSYS0000174717","2","Coryphaenoides rupestris"
"NBNSYS0000174740","2","Crassostrea gigas"
"NBNSYS0000174750","1","Crepidula fornicata"
"NBNSYS0000174791","1","Cucumaria frondosa"
"NBNSYS0000174832","5","Cylindroporella tubulosa"
"NBNSYS0000174927","2","Diazona violacea"
"NBNSYS0000174946","5","Dikoleps cutleriana"
"NBNSYS0000174960","5","Diphasia alata"
"NBNSYS0000174964","5","Diphasia nigra"
"NBNSYS0000175003","1","Doris sticta"
"NBNSYS0000175034","2","Dromia personata"
"NBNSYS0000175088","5","Edwardsia timida"
"NBNSYS0000175102","2","Elminius modestus"
"NHMSYS0020826368","3","Ensis directus sensu Abbott, 1954"
"NBNSYS0000175165","3","Epistomia bursaria"
"NBNSYS0000175176","3","Eriopisa elongata"
"NBNSYS0000175273","3","Euonyx chelatus"
"NBNSYS0000175290","5","Eurypon clavatum"
"NBNSYS0000175337","1","Ficopomatus enigmaticus"
"NBNSYS0000175348","3","Filogranula calyculata"
"NBNSYS0000175382","3","Fucus distichus"
"NBNSYS0000175392","2","Gadus morhua"
"NBNSYS0000175477","1","Glossus humanus"
"NBNSYS0000175561","1","Greilada elegans"
"NBNSYS0000175569","3","Guernea coalita"
"NBNSYS0000175629","4","Haliclystus auricula s.lat."
"NBNSYS0000175703","2","Hartlaubella gelatinosa"
"NBNSYS0000175736","4","Hero formosa"
"NBNSYS0000175833","4","Hydroides elegans"
"NBNSYS0000175834","4","Hydroides ezoensis"
"NBNSYS0000175947","4","Jujubinus striatus"
"NBNSYS0000176010","3","Laomedea angulata"
"NBNSYS0000176068","3","Leptocheirus hirsutimanus"
"NBNSYS0000176069","3","Leptocheirus pectinatus"
"NBNSYS0000176085","2","Leptometra celtica"
"NBNSYS0000176122","3","Leucothoe procera"
"NBNSYS0000176123","3","Leucothoe spinicarpa"
"NBNSYS0000176134","3","Liljeborgia kinahani"
"NBNSYS0000176172","5","Liostomia clavula"
"NBNSYS0000176244","1","Lophius piscatorius"
"NBNSYS0000176256","2","Lucernariopsis campanulata"
"NBNSYS0000176422","2","Mercenaria mercenaria"
"NBNSYS0000176425","2","Merlangius merlangus"
"NBNSYS0000176426","1","Merluccius merluccius"
"NBNSYS0000176439","4","Metavermilia multicristata"
"NBNSYS0000176506","4","Molgula manhattensis"
"NBNSYS0000176510","1","Molva molva"
"NBNSYS0000176514","3","Monoculodes borealis"
"NBNSYS0000176553","2","Mya arenaria"
"NBNSYS0000176672","4","Nephasoma rimicola"
"NBNSYS0000176767","4","Obelia bidentata"
"NBNSYS0000176782","3","Ocnus planci"
"NBNSYS0000176814","1","Okenia elegans"
"NBNSYS0000176815","2","Okenia leachii"
"NBNSYS0000176823","2","Onchidella celtica"
"NBNSYS0000176869","3","Ophiopsila annulosa"
"NBNSYS0000176870","3","Ophiopsila aranea"
"NBNSYS0000176929","2","Padina pavonica"
"NBNSYS0000177000","1","Parastichopus tremulus"
"NBNSYS0000177008","2","Parazoanthus anguicomus"
"NBNSYS0000177025","3","Parvipalpus capillaceus"
"NBNSYS0000177033","3","Patella ulyssiponensis"
"NBNSYS0000177044","5","Pectenogammarus planicrurus"
"NBNSYS0000177086","2","Petricola pholadiformis"
"NBNSYS0000177103","2","Phakellia ventilabrum"
"NBNSYS0000177106","1","Phallusia mammillata"
"NBNSYS0000177272","2","Pleuronectes platessa"
"NBNSYS0000177329","2","Pollachius virens"
"NBNSYS0000177424","3","Polysyncraton lacazei"
"NBNSYS0000177571","2","Psolus phantapus"
"NHMSYS0000568263","3","Pterosiphonia pennata"
"NBNSYS0000177618","3","Pyura microcosmus"
"NBNSYS0000177627","2","Raja clavata"
"NBNSYS0000177628","2","Raja montagui"
"NBNSYS0000177631","2","Raja undulata"
"NBNSYS0000177657","2","Reinhardtius hippoglossoides"
"NBNSYS0000177759","3","Sabella flabellata"
"NBNSYS0000177829","4","Schizobrachiella sanguinea"
"NBNSYS0000177868","2","Scomber scombrus"
"NBNSYS0000177991","5","Skenea ossiansarsi"
"NBNSYS0000178017","2","Solea solea"
"NBNSYS0000178045","2","Sphacelaria mirabilis"
"NBNSYS0000178138","1","Squalus acanthias"
"NBNSYS0000178171","4","Stiliger bellulus"
"NBNSYS0000178204","2","Styela clava"
"NBNSYS0000178225","5","Suberites massa"
"NBNSYS0000178234","2","Swiftia pallida"
"NHMSYS0020821343","3","Stenosoma lancifer"
"NBNSYS0000178263","2","Synoicum incrustatum"
"NBNSYS0000178272","2","Tamarisca tamarisca"
"NBNSYS0000178314","4","Teredo navalis"
"NBNSYS0000178416","1","Trachurus trachurus"
"NBNSYS0000178423","3","Trapania pallida"
"NBNSYS0000178450","4","Tritaeta gibbosa"
"NBNSYS0000178455","2","Tritonia nilsodhneri"
"NBNSYS0000178578","4","Urosalpinx cinerea"
"NBNSYS0000178657","2","Zanardinia prototypus"
"NBNSYS0000178707","4","Pseudolithoderma roscoffensis"
"NBNSYS0000178768","3","Acartia tonsa"
"NBNSYS0000178906","5","Aglaothamnion feldmanniae"
"NBNSYS0000179052","3","Ammothea hilgendorfi"
"NBNSYS0000179255","5","Antithamnionella ternifolia"
"NBNSYS0000179264","1","Aphanopus carbo"
"NBNSYS0000179422","3","Arrhis phyllonyx"
"NBNSYS0000179534","3","Atherina boyeri"
"NBNSYS0000179958","3","Bugula neritina"
"NBNSYS0000180030","1","Callinectes sapidus"
"NBNSYS0000180216","4","Celleporina decipiens"
"NBNSYS0000180799","4","Coryne pintneri"
"NBNSYS0000180828","2","Crassostrea virginica"
"NBNSYS0000181132","2","Dalatias licha"
"NBNSYS0000182247","3","Gitanopsis bispinosa"
"NBNSYS0000182487","2","Haliotis tuberculata"
"NBNSYS0000182842","2","Hippoglossus hippoglossus"
"NBNSYS0000182918","4","Hydroides dianthus"
"NBNSYS0000183112","3","Janua brasiliensis"
"NBNSYS0000183369","3","Lepidochelys kempii"
"NBNSYS0000183422","4","Leptochiton scabridus"
"NBNSYS0000183538","3","Leucandra gossei"
"NBNSYS0000183683","1","Lophelia pertusa"
"NBNSYS0000183759","2","Lucernariopsis cruxmelitensis"
"NBNSYS0000183777","5","Lucinella divaricata"
"NBNSYS0000183890","2","Malacocephalus laevis"
"NBNSYS0000184133","3","Metopa solsbergi"
"NBNSYS0000184311","3","Molva dypterygia"
"NBNSYS0000184324","3","Monoculodes packardi"
"NBNSYS0000184454","5","Mytilicola intestinalis"
"NBNSYS0000184455","5","Mytilicola orientalis"
"NBNSYS0000184909","3","Oncorhynchus gorbuscha"
"NBNSYS0000184910","3","Oncorhynchus kisutch"
"NBNSYS0000185201","4","Paralaeospira malardi"
"NBNSYS0000185515","4","Perophora japonica"
"NBNSYS0000185683","4","Pileolaria berkeleyana"
"NBNSYS0000185685","4","Pileolaria militaris"
"NBNSYS0000186648","2","Rissoides desmaresti"
"NBNSYS0000187131","4","Solidobalanus fallax"
"NBNSYS0000187819","3","Thunnus thynnus"
"NBNSYS0000188239","2","Vermiliopsis striaticeps"
"NBNSYS0000188396","4","Desmacidon fruticosum"
"NBNSYS0000188410","1","Funiculina quadrangularis"
"NBNSYS0000188411","1","Pachycerianthus multiplicatus"
"NBNSYS0000188413","2","Parazoanthus axinellae"
"NBNSYS0000188416","2","Amphianthus dohrnii"
"NBNSYS0000188420","3","Scolanthus callimorphus"
"NBNSYS0000188421","3","Hoplangia durotrix"
"NBNSYS0000188423","1","Leptopsammia pruvoti"
"NBNSYS0000188452","2","Sabellaria alveolata"
"NBNSYS0000188454","4","Alkmaria romijni"
"NBNSYS0000188515","2","Palinurus elephas"
"NBNSYS0000188517","4","Clibanarius erythropus"
"NBNSYS0000188539","1","Nucella lapillus"
"NBNSYS0000188544","3","Trapania maculata"
"NBNSYS0000188545","4","Atagema gibba"
"NBNSYS0000188548","3","Modiolus modiolus"
"NHMSYS0020975316","2","Ostrea edulis"
"NBNSYS0000188558","2","Pholas dactylus"
"NBNSYS0000188573","4","Smittina affinis"
"NBNSYS0000188574","3","Turbicellepora magnicostata"
"NBNSYS0000188576","1","Echinus esculentus"
"NBNSYS0000188577","2","Paracentrotus lividus"
"NBNSYS0000188581","4","Styela gelatinosa"
"NBNSYS0000188584","2","Lampetra fluviatilis"
"NBNSYS0000188586","1","Petromyzon marinus"
"NBNSYS0000188587","3","Isurus oxyrinchus"
"NBNSYS0000188590","2","Galeorhinus galeus"
"NBNSYS0000188591","1","Prionace glauca"
"NBNSYS0000188592","1","Squatina squatina"
"NBNSYS0000188597","5","Acipenser sturio"
"NBNSYS0000188599","2","Anguilla anguilla"
"NBNSYS0000188601","3","Alosa alosa"
"NBNSYS0000188604","3","Coregonus lavaretus"
"NBNSYS0000188606","2","Salmo salar"
"NBNSYS0000188609","2","Osmerus eperlanus"
"NBNSYS0000188632","3","Gobius couchi"
"NBNSYS0000188635","4","Pomatoschistus minutus"
"NBNSYS0000188639","2","Chelonia mydas"
"NBNSYS0000188641","2","Caretta caretta"
"NBNSYS0000188644","2","Eretmochelys imbricata"
"NBNSYS0000188646","1","Dermochelys coriacea"
"NBNSYS0000188733","1","Odobenus rosmarus"
"NBNSYS0000188741","2","Stenella coeruleoalba"
"NBNSYS0000188751","1","Delphinapterus leucas"
"NBNSYS0000188753","1","Monodon monoceros"
"NBNSYS0000188757","2","Mesoplodon europaeus"
"NBNSYS0000188771","2","Asparagopsis armata"
"NHMSYS0000568310","2","Schmitzia hiscockiana"
"NBNSYS0000188783","3","Pikea californica"
"NHMSYS0000567961","3","Gracilaria multipartita"
"NHMSYS0000567757","5","Aglaothamnion diaphanum"
"NHMSYS0000567760","5","Aglaothamnion priceanum"
"NHMSYS0000567937","5","Dasya punicea"
"NHMSYS0000567868","4","Chondria coerulescens"
"NBNSYS0000188797","4","Polysiphonia foetidissima"
"NBNSYS0000188802","1","Undaria pinnatifida"
"NBNSYS0000188809","1","Sargassum muticum"
"NBNSYS0000188813","4","Codium fragile"
"NBNSYS0100006056","2","Zostera noltei"
"NHMSYS0000080192","2","Balaenoptera acutorostrata"
"NHMSYS0000080193","3","Globicephala melas"
"NHMSYS0000080194","2","Grampus griseus"
"NHMSYS0000080195","1","Lagenorhynchus acutus"
"NHMSYS0000080196","1","Lagenorhynchus albirostris"
"NHMSYS0000080199","1","Ziphius cavirostris"
"NHMSYS0000304658","4","Caryophyllia inornata"
"NHMSYS0000329110","2","Lamna nasus"
"NHMSYS0000335430","2","Centrophorus granulosus"
"NHMSYS0000335431","2","Centrophorus squamosus"
"NHMSYS0000335558","2","Hoplostethus atlanticus"
"NHMSYS0000335602","2","Macrourus berglax"
"NHMSYS0000341755","5","Mycale (Aegogrophila) contarenii"
"NHMSYS0000341789","5","Phorbas dives"
"NHMSYS0000375615","3","Lepidochelys olivacea"
"NHMSYS0000376656","1","Eubalaena glacialis"
"NHMSYS0000376882","1","Balaena mysticetus"
"NHMSYS0000377579","2","Grateloupia turuturu"
"NHMSYS0000377642","1","Zanardinia typus"
"NHMSYS0000457139","2","Chara canescens"
"NHMSYS0000460095","2","Lamprothamnium papulosum"
"NHMSYS0000544611","3","Alosa fallax"
"NHMSYS0000544657","3","Coregonus oxyrinchus"
"NHMSYS0000544727","4","Pomatoschistus microps"
"NHMSYS0000547791","3","Coscinodiscus wailesii"
"NHMSYS0000547996","3","Odontella sinensis"
"NHMSYS0000548030","5","Pleurosigma planktonicum"
"NHMSYS0000560252","3","Alexandrium tamarense"
"NHMSYS0000561084","3","Gymnodinium catenatum"
"NHMSYS0000561315","2","Palaemon macrodactylus"
"NHMSYS0000561480","3","Karenia mikimotoi"
"NHMSYS0000561743","4","Pleurosigma simonsenii"
"NHMSYS0000562166","4","Thalassiosira punctigera"
"NHMSYS0000562168","4","Thalassiosira tealata"
"NHMSYS0000567770","5","Anotrichium barbatum"
"NHMSYS0000567771","4","Anotrichium furcellatum"
"NHMSYS0000567777","5","Antithamnionella spirographidis"
"NHMSYS0000567899","4","Codium fragile subsp. tomentosoides"
"NHMSYS0000567908","1","Colpomenia peregrina"
"NHMSYS0000567945","3","Dermocorynus montagnei"
"NHMSYS0000567948","4","Desmarestia dresnayi"
"NHMSYS0000567959","2","Gracilaria bursa-pastoris"
"NHMSYS0000567966","4","Grateloupia filicina"
"NHMSYS0000567997","4","Lithothamnion corallioides"
"NHMSYS0000568080","4","Phymatolithon calcareum"
"NHMSYS0000568107","4","Polysiphonia harveyi"
"NHMSYS0000568169","3","Gelidiella calcicola"
"NHMSYS0000568194","5","Halymenia latifolia"
"NHMSYS0000568324","3","Solieria chordalis"
"NHMSYS0000629051","3","Desdemona ornata"
"NHMSYS0001593547","2","Eriocheir sinensis"
"NHMSYS0001596565","2","Ascophyllum nodosum ecad mackaii"
"NHMSYS0001691445","2","Acipenser ruthenus"
"NHMSYS0001697250","2","Hemigrapsus takanoi"
"NHMSYS0001908744","1","Strongylocentrotus droebachiensis"
"NHMSYS0001908869","2","Asteronyx loveni"
"NHMSYS0019996944","2","Polyplumaria flabellata"
"NHMSYS0020051714","2","Pachycordyle navis"
"NHMSYS0020140670","2","Dipturus batis"
"NHMSYS0020193662","2","Leucoraja circularis"
"NHMSYS0020193669","2","Rostroraja alba"
"NHMSYS0020193672","2","Hippocampus guttulatus"
"NHMSYS0020328872","3","Corella eumyota"
"NHMSYS0020528182","5","Heleobia (Semisalsa) stagnorum"
"NHMSYS0020528229","2","Mytilopsis leucophaeata"
"NHMSYS0020528241","3","Otina ovata"
"NHMSYS0020528251","5","Paludinella (Paludinella) littorina"
"NHMSYS0020545703","3","Botrylloides violaceus"
"NHMSYS0020545704","4","Caprella mutica"
"NHMSYS0020545709","5","Didemnum vexillum"
"NHMSYS0000567922","5","Cruoria cruoriaeformis"
"NHMSYS0020703711","3","Allomelita pellucida"
"NHMSYS0020704398","3","Metaphoxus fultoni"
"NHMSYS0020704424","3","Peltocoxa brevirostris"
"NHMSYS0020745807","3","Ruditapes philippinarum"
"NHMSYS0020745977","3","Alcyonium hibernicum"
"NHMSYS0020752138","4","Gobius cobitis"
"NHMSYS0020752148","2","Micromesistius poutassou"
"NHMSYS0020752179","2","Centroscymnus coelolepis"
"NHMSYS0020752328","5","Chalinula loosanoffi"
"NHMSYS0020752349","5","Dysidea pallescens"
"NHMSYS0020752351","5","Endectyon (Endectyon) delaubenfelsi"
"NHMSYS0020752364","5","Haliclona (Gellius) angulata"
"NHMSYS0020752471","5","Spinularia spinularia"
"NHMSYS0020752475","4","Spongionella pulchella"
"NHMSYS0020771702","2","Lepadogaster candollii"
"NBNSYS0000185691","4","Pilumnoides inglei"
"NBNSYS0000173566","4","Achaeus cranchii"
"NBNSYS0000179885","3","Brachynotus sexdentatus"
"NHMSYS0020704360","3","Dyspanopeus sayi"
"NHMSYS0020703900","4","Ebalia granulosa"
"NBNSYS0000185053","2","Pachygrapsus marmoratus"
"NBNSYS0000186554","4","Rhithropanopeus harrisii"
"NBNSYS0000179516","4","Asthenognathus atlanticus"
"NBNSYS0000174010","2","Atelecyclus rotundatus"
"NBNSYS0000179523","3","Atelecyclus undecimdentatus"
"NBNSYS0000188520","4","Bathynectes longipes"
"NBNSYS0000179715","4","Bathynectes maravigna"
"NBNSYS0000174334","4","Cancer bellianus"
"NBNSYS0000174336","1","Cancer pagurus"
"NBNSYS0000174367","1","Carcinus maenas"
"NHMSYS0020962461","3","Chaceon affinis"
"NHMSYS0020962467","4","Chaceon gordonae"
"NBNSYS0000174726","1","Corystes cassivelaunus"
"NBNSYS0000181032","5","Cymonomus granulatus"
"NHMSYS0020962473","5","Cymonomus normani"
"NBNSYS0000181422","5","Dorhynchus thomsoni"
"NBNSYS0000175054","4","Ebalia cranchii"
"NHMSYS0020703901","4","Ebalia nux"
"NBNSYS0000175056","4","Ebalia tuberosa"
"NBNSYS0000175057","4","Ebalia tumefacta"
"NBNSYS0000175287","4","Eurynome aspera"
"NBNSYS0000175288","4","Eurynome spinosa"
"NHMSYS0020498864","4","Geryon tridens"
"NBNSYS0000175513","3","Goneplax rhomboides"
"NBNSYS0000175822","3","Hyas araneus"
"NBNSYS0000175823","3","Hyas coarctatus"
"NBNSYS0000175872","2","Inachus dorsettensis"
"NBNSYS0000175874","5","Inachus leptochirus"
"NBNSYS0000175875","4","Inachus phalangium"
"NBNSYS0000176164","2","Liocarcinus arcuatus"
"NBNSYS0000176165","1","Liocarcinus corrugatus"
"NBNSYS0000176166","2","Liocarcinus depurator"
"NBNSYS0000176167","2","Liocarcinus holsatus"
"NBNSYS0000176168","3","Liocarcinus marmoreus"
"NBNSYS0000176651","1","Necora puber"
"NBNSYS0000176170","2","Liocarcinus pusillus"
"NBNSYS0000183616","5","Liocarcinus zariquieyi"
"NBNSYS0000176327","3","Macropipus tuberculatus"
"NBNSYS0000176328","4","Macropodia deflexa"
"NBNSYS0000176329","4","Macropodia linaresi"
"NBNSYS0000176330","3","Macropodia rostrata"
"NBNSYS0000176331","3","Macropodia tenuirostris"
"NBNSYS0000188518","2","Maja squinado auctt. brit."
"NHMSYS0020962479","3","Monodaeus couchii"
"NBNSYS0000185405","2","Paromola cuvieri"
"NBNSYS0000185417","3","Parthenope massena"
"NBNSYS0000177219","2","Pilumnus hirtellus"
"NBNSYS0000177224","4","Pinnotheres pinnotheres"
"NBNSYS0000177225","4","Pinnotheres pisum"
"NBNSYS0000177235","3","Pirimela denticulata"
"NBNSYS0000177237","3","Pisa armata"
"NBNSYS0000177238","3","Pisa tetraodon"
"NBNSYS0000177253","4","Planes minutus"
"NBNSYS0000185862","3","Polybius henslowii"
"NBNSYS0000177463","3","Portumnus latipes"
"NBNSYS0000186671","4","Rochinia carpenteri"
"NHMSYS0020962485","4","Rochinia rissoana"
"NBNSYS0000178361","3","Thia scutellata"
"NBNSYS0000188293","3","Xaiva biguttata"
"NBNSYS0000178651","3","Xantho incisus"
"NHMSYS0020970709","4","Chaceon inglei"
"NBNSYS0000173599","3","Actinauge richardi"
"NBNSYS0000173601","1","Actinia equina"
"NBNSYS0000173602","1","Actinia fragacea"
"NBNSYS0000173603","2","Actinia prasina"
"NBNSYS0000173606","2","Actinothoe sphyrodeta"
"NBNSYS0000173609","1","Adamsia carciniopados"
"NBNSYS0000173675","1","Alcyonium digitatum"
"NBNSYS0000173820","1","Anemonia viridis"
"NBNSYS0000173855","3","Anthopleura ballii"
"NBNSYS0000174044","1","Aulactinia verrucosa"
"NBNSYS0000174160","3","Bolocera tuediae"
"NBNSYS0000174258","1","Calliactis parasitica"
"NBNSYS0000174379","4","Cataphellia brodricii"
"NBNSYS0000174442","2","Cereus pedunculatus"
"NBNSYS0000174445","2","Cerianthus lloydii"
"NBNSYS0000174711","1","Corynactis viridis"
"NBNSYS0000175086","2","Edwardsia claparedii"
"NBNSYS0000175087","5","Edwardsia delapiae"
"NBNSYS0000175089","2","Edwardsiella carnea"
"NBNSYS0000175596","4","Halcampoides elongatus"
"NBNSYS0000175807","4","Hormathia coronata"
"NBNSYS0000175808","3","Hormathia nodosa"
"NBNSYS0000175902","1","Isozoanthus sulcatus"
"NBNSYS0000176428","2","Mesacmaea mitchellii"
"NBNSYS0000176450","3","Metridium senile"
"NBNSYS0000176995","4","Paraphellia expansa"
"NBNSYS0000177011","2","Parerythropodium coralloides"
"NBNSYS0000177040","1","Peachia cylindrica"
"NBNSYS0000177062","1","Pennatula phosphorea"
"NBNSYS0000177116","3","Phellia gausapata"
"NBNSYS0000177518","2","Protanthea simplex"
"NBNSYS0000177780","2","Sagartia elegans"
"NBNSYS0000177781","3","Sagartia troglodytes"
"NBNSYS0000177783","2","Sagartiogeton laceratus"
"NBNSYS0000177799","4","Sarcodictyon roseum"
"NBNSYS0000178590","2","Urticina eques"
"NBNSYS0000178591","1","Urticina felina"
"NBNSYS0000178818","2","Actinostola callosa"
"NBNSYS0000178919","3","Aiptasiogeton pellucidus"
"NBNSYS0000178943","2","Alcyonium palmatum"
"NBNSYS0000179658","4","Balanophyllia cellulosa"
"NBNSYS0000180296","5","Cervera atlantica"
"NBNSYS0000180776","5","Cornularia cornucopiae"
"NBNSYS0000181194","1","Dendrophyllia cornigera"
"NBNSYS0000181764","1","Epizoanthus incrustatus"
"NBNSYS0000181765","5","Epizoanthus macintoshi"
"NBNSYS0000181766","5","Epizoanthus paguriphilus"
"NBNSYS0000182893","3","Hormathia digitata"
"NBNSYS0000183481","2","Leptopsammia britannica"
"NBNSYS0000183881","2","Madrepora oculata"
"NBNSYS0000186732","4","Sagartia ornata"
"NBNSYS0000187221","3","Sphenotrochus andrewianus"
"NBNSYS0000187611","3","Telmatactis forskalii"
"NBNSYS0000188237","2","Veretillum cynomorium"
"NBNSYS0000188376","5","Zoanthus alderi"
"NBNSYS0000188408","2","Alcyonium glomeratum"
"NBNSYS0000188415","1","Aiptasia mutabilis auct. brit."
"NBNSYS0000188422","1","Balanophyllia regia"
"NHMSYS0000304600","1","Adamsia palliata"
"NHMSYS0000304718","2","Epizoanthus couchii"
"NHMSYS0000304750","2","Halcampa chrysanthellum"
"NHMSYS0000304915","4","Stenocyathus vermiformis"
"NHMSYS0001697236","5","Edwardsia danica"
"NHMSYS0001697237","5","Edwardsia longicornis"
"NHMSYS0001697238","5","Edwardsia tuberculata"
"NHMSYS0001697289","2","Paragorgia arborea"
"NHMSYS0001697299","3","Primnoa resedaeformis"
"NHMSYS0001697303","3","Solenosmilia variabilis"
"NHMSYS0019996824","4","Arachnactis albida"
"NHMSYS0019996929","4","Flabellum macandrewi"
"NHMSYS0019996979","2","Sagartiogeton undatus"
"NHMSYS0019996984","1","Virgularia mirabilis"
"NHMSYS0019996989","3","Stomphia coccinea"
"NHMSYS0019997039","3","Gonactinia prolifera"
"NHMSYS0020497698","2","Anthomastus grandiflorus"
"NHMSYS0020668199","4","Halcampoides abyssorum"
"NHMSYS0020752185","4","Andresia parthenopea"
"NHMSYS0020752197","5","Edwardsia beautempsii"
"NHMSYS0020752198","5","Epizoanthus papillosus"
"NHMSYS0020770628","4","Anemonia sulcata"
"NHMSYS0020770698","1","Capnea sanguinea"
"NHMSYS0020770700","2","Diadumene lineata"
