"species","preferred_species_name","tvk","recording_period","additional_checks_required","id_difficulty"
"Scymnus haemorrhoidalis","Scymnus haemorrhoidalis","NBNSYS0000008300","1800-01-01 to present",,"3: Identification only accepted from known recorders or else needs confirmation from vice county recorder or UK Ladybird Survey."
"Scymnus interruptus","Scymnus interruptus","NHMSYS0020920019","1996-01-01 to present","1: This is a rare ladybird species","3: Identification only accepted from known recorders or else needs confirmation from vice county recorder or UK Ladybird Survey."
"Scymnus limbatus","Scymnus limbatus","NBNSYS0000008302","1800-01-01 to present","1: This is a rare ladybird species","3: Identification only accepted from known recorders or else needs confirmation from vice county recorder or UK Ladybird Survey."
"Scymnus nigrinus","Scymnus nigrinus","NBNSYS0000008297","1908-01-01 to present",,"3: Identification only accepted from known recorders or else needs confirmation from vice county recorder or UK Ladybird Survey."
"Scymnus rubromaculatus","Scymnus rubromaculatus","NHMSYS0021233083","1961-01-01 to present",,"3: Identification only accepted from known recorders or else needs confirmation from vice county recorder or UK Ladybird Survey."
"Scymnus schmidti","Scymnus schmidti","NBNSYS0000008298","1800-01-01 to present",,"3: Identification only accepted from known recorders or else needs confirmation from vice county recorder or UK Ladybird Survey."
"Scymnus suturalis","Scymnus suturalis","NBNSYS0000008303","1902-01-01 to present",,"2: Can be identified in the field with care and experience. May be identifiable from a good photo."
"Subcoccinella vigintiquattuorpunctata","Subcoccinella vigintiquattuorpunctata","NBNSYS0000008289","1800-01-01 to present",,"1: Can be identified in the field by anyone with a bit of experience. Species with which the beginner rapidly becomes familiar. Usually identifiable from a photo."
"Tytthaspis sedecimpunctata","Tytthaspis sedecimpunctata","NBNSYS0000008318","1800-01-01 to present",,"1: Can be identified in the field by anyone with a bit of experience. Species with which the beginner rapidly becomes familiar. Usually identifiable from a photo."
"Vibidia duodecimguttata","Vibidia duodecimguttata","NBNSYS0000008333","1839-01-01 to present","2: Records for this ladybird must always be verified (rarity, occasional visitors, new arrivals)","3: Identification only accepted from known recorders or else needs confirmation from vice county recorder or UK Ladybird Survey."
,,"NHMSYS0021366929","1800-01-01 to present",,"3: Identification only accepted from known recorders or else needs confirmation from vice county recorder or UK Ladybird Survey."
,,"NHMSYS0021366799","1800-01-01 to present",,"3: Identification only accepted from known recorders or else needs confirmation from vice county recorder or UK Ladybird Survey."
