"species.x","preferred_species_name.x","tvk","species.y","preferred_species_name.y","recording_period","additional_checks_required","id_difficulty.x","id_difficulty.y"
"Scymnus rubromaculatus","Scymnus rubromaculatus","NHMSYS0021233083","Scymnus rubromaculatus","Scymnus rubromaculatus","1961-01-01 to present",,"3: Identification only accepted from known recorders or else needs confirmation from vice county recorder or UK Ladybird Survey.",
"Scymnus schmidti","Scymnus schmidti","NBNSYS0000008298","Scymnus schmidti","Scymnus schmidti","1800-01-01 to present",,"3: Identification only accepted from known recorders or else needs confirmation from vice county recorder or UK Ladybird Survey.",
"Scymnus suturalis","Scymnus suturalis","NBNSYS0000008303","Scymnus suturalis","Scymnus suturalis","1902-01-01 to present",,"2: Can be identified in the field with care and experience. May be identifiable from a good photo.",
"Subcoccinella vigintiquattuorpunctata","Subcoccinella vigintiquattuorpunctata","NBNSYS0000008289","Subcoccinella vigintiquattuorpunctata","Subcoccinella vigintiquattuorpunctata","1800-01-01 to present",,"1: Can be identified in the field by anyone with a bit of experience. Species with which the beginner rapidly becomes familiar. Usually identifiable from a photo.",
"Tytthaspis sedecimpunctata","Tytthaspis sedecimpunctata","NBNSYS0000008318","Tytthaspis sedecimpunctata","Tytthaspis sedecimpunctata","1800-01-01 to present",,"1: Can be identified in the field by anyone with a bit of experience. Species with which the beginner rapidly becomes familiar. Usually identifiable from a photo.",
"Vibidia duodecimguttata","Vibidia duodecimguttata","NBNSYS0000008333","Vibidia duodecimguttata","Vibidia duodecimguttata","1839-01-01 to present","2: Records for this ladybird must always be verified (rarity, occasional visitors, new arrivals)","3: Identification only accepted from known recorders or else needs confirmation from vice county recorder or UK Ladybird Survey.",
"Apatania muliebris","Apatania muliebris","NBNSYS0000008439",,,,,,"3: Needs microscope to ID.  Records from recorders of known experience accepted"
"Apatania wallengreni","Apatania wallengreni","NBNSYS0000008441",,,,,,"3: Needs microscope to ID.  Records from recorders of known experience accepted"
"Beraea maurus","Beraea maurus","NBNSYS0000008501",,,,,,"3: Needs microscope to ID.  Records from recorders of known experience accepted"
"Beraea pullata","Beraea pullata","NBNSYS0000008502",,,,,,"3: Needs microscope to ID.  Records from recorders of known experience accepted"
"Beraeidae","Beraeidae","NBNSYS0000159496",,,,,,"3: Needs microscope to ID.  Records from recorders of known experience accepted"
"Beraeodes minutus","Beraeodes minutus","NBNSYS0000008503",,,,,,"3: Needs microscope to ID.  Records from recorders of known experience accepted"
"Ernodes articularis","Ernodes articularis","NBNSYS0000008504",,,,,,"3: Needs microscope to ID.  Records from recorders of known experience accepted"
"Brachycentrus subnubilus","Brachycentrus subnubilus","NBNSYS0000008433",,,,,,"1: Anyone can ID with rudimentary knowledge.  Identifiable from photos"
"Ecnomus tenellus","Ecnomus tenellus","NBNSYS0000008397",,,,,,"3: Needs microscope to ID.  Records from recorders of known experience accepted"
"Agapetus delicatulus","Agapetus delicatulus","NBNSYS0000008346",,,,,,"3: Needs microscope to ID.  Records from recorders of known experience accepted"
"Agapetus fuscipes","Agapetus fuscipes","NBNSYS0000008347",,,,,,"3: Needs microscope to ID.  Records from recorders of known experience accepted"
"Agapetus ochripes","Agapetus ochripes","NBNSYS0000008348",,,,,,"3: Needs microscope to ID.  Records from recorders of known experience accepted"
"Glossosoma boltoni","Glossosoma boltoni","NBNSYS0000008343",,,,,,"3: Needs microscope to ID.  Records from recorders of known experience accepted"
"Glossosoma conformis","Glossosoma conformis","NBNSYS0000008344",,,,,,"3: Needs microscope to ID.  Records from recorders of known experience accepted"
"Glossosoma intermedium","Glossosoma intermedium","NBNSYS0000008345",,,,,,"3: Needs microscope to ID.  Records from recorders of known experience accepted"
"Goera pilosa","Goera pilosa","NHMSYS0020704791",,,,,,"2: Can be identified with experience.  Identifiable by expert from photos"
"Goeridae","Goeridae","NBNSYS0000042269",,,,,,"3: Needs microscope to ID.  Records from recorders of known experience accepted"
"Silo nigricornis","Silo nigricornis","NBNSYS0000008499",,,,,,"3: Needs microscope to ID.  Records from recorders of known experience accepted"
"Silo pallipes","Silo pallipes","NHMSYS0020704837",,,,,,"3: Needs microscope to ID.  Records from recorders of known experience accepted"
"Cheumatopsyche lepida","Cheumatopsyche lepida","NBNSYS0000008412",,,,,,"3: Needs microscope to ID.  Records from recorders of known experience accepted"
"Diplectrona felix","Diplectrona felix","NBNSYS0000008422",,,,,,"2: Can be identified with experience.  Identifiable by expert from photos"
"Hydropsyche","Hydropsyche","NHMSYS0020704798",,,,,,"3: Needs microscope to ID.  Records from recorders of known experience accepted"
"Hydropsyche angustipennis","Hydropsyche angustipennis","NBNSYS0000008413",,,,,,"3: Needs microscope to ID.  Records from recorders of known experience accepted"
"Hydropsyche bulgaromanorum","Hydropsyche bulgaromanorum","NBNSYS0000008414",,,,,,"3: Needs microscope to ID.  Records from recorders of known experience accepted"
"Hydropsyche contubernalis","Hydropsyche contubernalis","NBNSYS0000008415",,,,,,"4: Record needs to be confirmed by national expert.  Voucher specimens may be required"
"Hydropsyche exocellata","Hydropsyche exocellata","NBNSYS0000008416",,,,,,"4: Record needs to be confirmed by national expert.  Voucher specimens may be required"
"Hydropsyche fulvipes","Hydropsyche fulvipes","NBNSYS0000008417",,,,,,"3: Needs microscope to ID.  Records from recorders of known experience accepted"
"Hydropsyche instabilis","Hydropsyche instabilis","NBNSYS0000008418",,,,,,"3: Needs microscope to ID.  Records from recorders of known experience accepted"
"Hydropsyche pellucidula","Hydropsyche pellucidula","NBNSYS0000008419",,,,,,"3: Needs microscope to ID.  Records from recorders of known experience accepted"
"Hydropsyche saxonica","Hydropsyche saxonica","NBNSYS0000008420",,,,,,"3: Needs microscope to ID.  Records from recorders of known experience accepted"
"Hydropsyche siltalai","Hydropsyche siltalai","NBNSYS0000008421",,,,,,"3: Needs microscope to ID.  Records from recorders of known experience accepted"
"Hydropsychidae","Hydropsychidae","NBNSYS0000042280",,,,,,"3: Needs microscope to ID.  Records from recorders of known experience accepted"
"Agraylea multipunctata","Agraylea multipunctata","NBNSYS0000008349",,,,,,"3: Needs microscope to ID.  Records from recorders of known experience accepted"
"Agraylea sexmaculata","Agraylea sexmaculata","NBNSYS0000008350",,,,,,"3: Needs microscope to ID.  Records from recorders of known experience accepted"
"Allotrichia pallicornis","Allotrichia pallicornis","NBNSYS0000008351",,,,,,"3: Needs microscope to ID.  Records from recorders of known experience accepted"
"Hydroptila angulata","Hydroptila angulata","NBNSYS0000008352",,,,,,"3: Needs microscope to ID.  Records from recorders of known experience accepted"
"Hydroptila cornuta","Hydroptila cornuta","NBNSYS0000008353",,,,,,"4: Record needs to be confirmed by national expert.  Voucher specimens may be required"
"Hydroptila forcipata","Hydroptila forcipata","NBNSYS0000008354",,,,,,"3: Needs microscope to ID.  Records from recorders of known experience accepted"
"Hydroptila lotensis","Hydroptila lotensis","NBNSYS0000008355",,,,,,"4: Record needs to be confirmed by national expert.  Voucher specimens may be required"
"Hydroptila martini","Hydroptila martini","NBNSYS0000008356",,,,,,"4: Record needs to be confirmed by national expert.  Voucher specimens may be required"
"Hydroptila occulta","Hydroptila occulta","NBNSYS0000008357",,,,,,"4: Record needs to be confirmed by national expert.  Voucher specimens may be required"
"Hydroptila pulchricornis","Hydroptila pulchricornis","NBNSYS0000008358",,,,,,"4: Record needs to be confirmed by national expert.  Voucher specimens may be required"
"Hydroptila simulans","Hydroptila simulans","NBNSYS0000008359",,,,,,"3: Needs microscope to ID.  Records from recorders of known experience accepted"
"Hydroptila sparsa","Hydroptila sparsa","NBNSYS0000008360",,,,,,"3: Needs microscope to ID.  Records from recorders of known experience accepted"
"Hydroptila sylvestris","Hydroptila sylvestris","NBNSYS0000008361",,,,,,"4: Record needs to be confirmed by national expert.  Voucher specimens may be required"
"Hydroptila tigurina","Hydroptila tigurina","NBNSYS0000008362",,,,,,"4: Record needs to be confirmed by national expert.  Voucher specimens may be required"
"Hydroptila tineoides","Hydroptila tineoides","NBNSYS0000008363",,,,,,"3: Needs microscope to ID.  Records from recorders of known experience accepted"
"Hydroptila valesiaca","Hydroptila valesiaca","NBNSYS0000008364",,,,,,"4: Record needs to be confirmed by national expert.  Voucher specimens may be required"
"Hydroptila vectis","Hydroptila vectis","NBNSYS0000008365",,,,,,"4: Record needs to be confirmed by national expert.  Voucher specimens may be required"
"Ithytrichia clavata","Ithytrichia clavata","NBNSYS0000008375",,,,,,"4: Record needs to be confirmed by national expert.  Voucher specimens may be required"
"Ithytrichia lamellaris","Ithytrichia lamellaris","NBNSYS0000008376",,,,,,"3: Needs microscope to ID.  Records from recorders of known experience accepted"
"Orthotrichia angustella","Orthotrichia angustella","NBNSYS0000008377",,,,,,"3: Needs microscope to ID.  Records from recorders of known experience accepted"
"Orthotrichia costalis","Orthotrichia costalis","NBNSYS0000008378",,,,,,"3: Needs microscope to ID.  Records from recorders of known experience accepted"
"Orthotrichia tragetti","Orthotrichia tragetti","NBNSYS0000008379",,,,,,"4: Record needs to be confirmed by national expert.  Voucher specimens may be required"
"Oxyethira distinctella","Oxyethira distinctella","NBNSYS0000008366",,,,,,"4: Record needs to be confirmed by national expert.  Voucher specimens may be required"
"Oxyethira falcata","Oxyethira falcata","NBNSYS0000008367",,,,,,"3: Needs microscope to ID.  Records from recorders of known experience accepted"
"Oxyethira frici","Oxyethira frici","NBNSYS0000008369",,,,,,"3: Needs microscope to ID.  Records from recorders of known experience accepted"
"Oxyethira mirabilis","Oxyethira mirabilis","NBNSYS0000008370",,,,,,"4: Record needs to be confirmed by national expert.  Voucher specimens may be required"
"Oxyethira sagittifera","Oxyethira sagittifera","NBNSYS0000008371",,,,,,"3: Needs microscope to ID.  Records from recorders of known experience accepted"
"Oxyethira simplex","Oxyethira simplex","NBNSYS0000008372",,,,,,"3: Needs microscope to ID.  Records from recorders of known experience accepted"
"Oxyethira tristella","Oxyethira tristella","NBNSYS0000008373",,,,,,"4: Record needs to be confirmed by national expert.  Voucher specimens may be required"
"Tricholeiochiton fagesii","Tricholeiochiton fagesii","NBNSYS0000008374",,,,,,"4: Record needs to be confirmed by national expert.  Voucher specimens may be required"
"Crunoecia irrorata","Crunoecia irrorata","NBNSYS0000008434",,,,,,"2: Can be identified with experience.  Identifiable by expert from photos"
"Lepidostoma basale","Lepidostoma basale","NHMSYS0021008795",,,,,,"3: Needs microscope to ID.  Records from recorders of known experience accepted"
"Lepidostoma hirtum","Lepidostoma hirtum","NHMSYS0020704804",,,,,,"1: Anyone can ID with rudimentary knowledge.  Identifiable from photos"
"Adicella filicornis","Adicella filicornis","NBNSYS0000008528",,,,,,"4: Record needs to be confirmed by national expert.  Voucher specimens may be required"
"Adicella reducta","Adicella reducta","NBNSYS0000008529",,,,,,"3: Needs microscope to ID.  Records from recorders of known experience accepted"
"Athripsodes albifrons","Athripsodes albifrons","NBNSYS0000008510",,,,,,"1: Anyone can ID with rudimentary knowledge.  Identifiable from photos"
"Athripsodes aterrimus","Athripsodes aterrimus","NBNSYS0000008512",,,,,,"3: Needs microscope to ID.  Records from recorders of known experience accepted"
"Athripsodes bilineatus","Athripsodes bilineatus","NBNSYS0000008513",,,,,,"1: Anyone can ID with rudimentary knowledge.  Identifiable from photos"
"Athripsodes cinereus","Athripsodes cinereus","NBNSYS0000008514",,,,,,"2: Can be identified with experience.  Identifiable by expert from photos"
"Athripsodes commutatus","Athripsodes commutatus","NBNSYS0000008515",,,,,,"2: Can be identified with experience.  Identifiable by expert from photos"
"Ceraclea albimacula","Ceraclea albimacula","NBNSYS0000008516",,,,,,"3: Needs microscope to ID.  Records from recorders of known experience accepted"
"Ceraclea annulicornis","Ceraclea annulicornis","NBNSYS0000008517",,,,,,"3: Needs microscope to ID.  Records from recorders of known experience accepted"
"Ceraclea dissimilis","Ceraclea dissimilis","NBNSYS0000008518",,,,,,"3: Needs microscope to ID.  Records from recorders of known experience accepted"
"Ceraclea fulva","Ceraclea fulva","NBNSYS0000008519",,,,,,"3: Needs microscope to ID.  Records from recorders of known experience accepted"
"Ceraclea nigronervosa","Ceraclea nigronervosa","NBNSYS0000008520",,,,,,"1: Anyone can ID with rudimentary knowledge.  Identifiable from photos"
"Ceraclea senilis","Ceraclea senilis","NBNSYS0000008521",,,,,,"3: Needs microscope to ID.  Records from recorders of known experience accepted"
"Erotesis baltica","Erotesis baltica","NBNSYS0000008530",,,,,,"3: Needs microscope to ID.  Records from recorders of known experience accepted"
"Leptocerus interruptus","Leptocerus interruptus","NHMSYS0020442420",,,,,,"3: Needs microscope to ID.  Records from recorders of known experience accepted"
"Leptocerus lusitanicus","Leptocerus lusitanicus","NBNSYS0000008523",,,,,,"3: Needs microscope to ID.  Records from recorders of known experience accepted"
"Leptocerus tineiformis","Leptocerus tineiformis","NBNSYS0000008524",,,,,,"3: Needs microscope to ID.  Records from recorders of known experience accepted"
"Mystacides azurea","Mystacides azurea","NBNSYS0000008525",,,,,,"3: Needs microscope to ID.  Records from recorders of known experience accepted"
"Mystacides longicornis","Mystacides longicornis","NBNSYS0000008526",,,,,,"1: Anyone can ID with rudimentary knowledge.  Identifiable from photos"
"Oecetis furva","Oecetis furva","NBNSYS0000008535",,,,,,"3: Needs microscope to ID.  Records from recorders of known experience accepted"
"Oecetis lacustris","Oecetis lacustris","NBNSYS0000008536",,,,,,"3: Needs microscope to ID.  Records from recorders of known experience accepted"
"Oecetis notata","Oecetis notata","NBNSYS0000008537",,,,,,"3: Needs microscope to ID.  Records from recorders of known experience accepted"
"Oecetis ochracea","Oecetis ochracea","NBNSYS0000008538",,,,,,"2: Can be identified with experience.  Identifiable by expert from photos"
"Oecetis testacea","Oecetis testacea","NBNSYS0000008539",,,,,,"3: Needs microscope to ID.  Records from recorders of known experience accepted"
"Setodes argentipunctellus","Setodes argentipunctellus","NBNSYS0000008540",,,,,,"3: Needs microscope to ID.  Records from recorders of known experience accepted"
"Setodes punctatus","Setodes punctatus","NBNSYS0000008541",,,,,,"3: Needs microscope to ID.  Records from recorders of known experience accepted"
"Triaenodes bicolor","Triaenodes bicolor","NBNSYS0000008531",,,,,,"2: Can be identified with experience.  Identifiable by expert from photos"
"Ylodes conspersus","Ylodes conspersus","NBNSYS0000008532",,,,,,"3: Needs microscope to ID.  Records from recorders of known experience accepted"
"Ylodes reuteri","Ylodes reuteri","NBNSYS0000008533",,,,,,"3: Needs microscope to ID.  Records from recorders of known experience accepted"
"Ylodes simulans","Ylodes simulans","NBNSYS0000008534",,,,,,"3: Needs microscope to ID.  Records from recorders of known experience accepted"
"Allogamus auricollis","Allogamus auricollis","NBNSYS0000008444",,,,,,"3: Needs microscope to ID.  Records from recorders of known experience accepted"
"Anabolia brevipennis","Anabolia brevipennis","NHMSYS0020785001",,,,,,"3: Needs microscope to ID.  Records from recorders of known experience accepted"
"Anabolia nervosa","Anabolia nervosa","NBNSYS0000008462",,,,,,"2: Can be identified with experience.  Identifiable by expert from photos"
"Chaetopteryx villosa","Chaetopteryx villosa","NHMSYS0020704776",,,,,,"1: Anyone can ID with rudimentary knowledge.  Identifiable from photos"
"Drusus annulatus","Drusus annulatus","NBNSYS0000008442",,,,,,"2: Can be identified with experience.  Identifiable by expert from photos"
"Ecclisopteryx dalecarlica","Ecclisopteryx dalecarlica","NHMSYS0021008755",,,,,,"3: Needs microscope to ID.  Records from recorders of known experience accepted"
"Enoicyla pusilla","Enoicyla pusilla","NBNSYS0000008445",,,,,,"2: Can be identified with experience.  Identifiable by expert from photos"
"Glyphotaelius pellucidus","Glyphotaelius pellucidus","NBNSYS0000008463",,,,,,"1: Anyone can ID with rudimentary knowledge.  Identifiable from photos"
"Grammotaulius nigropunctatus","Grammotaulius nigropunctatus","NBNSYS0000008464",,,,,,"2: Can be identified with experience.  Identifiable by expert from photos"
"Grammotaulius nitidus","Grammotaulius nitidus","NHMSYS0020704793",,,,,,"4: Record needs to be confirmed by national expert.  Voucher specimens may be required"
"Halesus","Halesus","NHMSYS0020704795",,,,,,"2: Can be identified with experience.  Identifiable by expert from photos"
"Halesus digitatus","Halesus digitatus","NBNSYS0000008446",,,,,,"2: Can be identified with experience.  Identifiable by expert from photos"
"Halesus radiatus","Halesus radiatus","NBNSYS0000008447",,,,,,"2: Can be identified with experience.  Identifiable by expert from photos"
"Hydatophylax infumatus","Hydatophylax infumatus","NBNSYS0000008448",,,,,,"3: Needs microscope to ID.  Records from recorders of known experience accepted"
"Ironoquia dubia","Ironoquia dubia","NBNSYS0000008437",,,,,,"4: Record needs to be confirmed by national expert.  Voucher specimens may be required"
"Limnephilus affinis","Limnephilus affinis","NBNSYS0000008466",,,,,,"1: Anyone can ID with rudimentary knowledge.  Identifiable from photos"
"Limnephilus auricula","Limnephilus auricula","NBNSYS0000008467",,,,,,"1: Anyone can ID with rudimentary knowledge.  Identifiable from photos"
"Limnephilus binotatus","Limnephilus binotatus","NBNSYS0000008468",,,,,,"3: Needs microscope to ID.  Records from recorders of known experience accepted"
