"species","preferred_species_name","tvk","rtvk","seasonal_recording_period","additional_checks_required","id_difficulty"
"Andrena coitana","Andrena coitana","NHMSYS0000875181","NHMSYS0000875181","04-01 to 09-30","1: This is a rare species",
"Andrena (Oreomelissa) coitana","Andrena coitana","NHMSYS0000875122","NHMSYS0000875181",,,"3: Identification only accepted from known recorders or else needs confirmation from vice county recorder."
"Andrena congruens","Andrena congruens","NBNSYS0000009676","NBNSYS0000009676","04-01 to 09-30","1: This is a rare species",
"Andrena (Simandrena) congruens","Andrena congruens","NHMSYS0000875137","NBNSYS0000009676",,,"3: Identification only accepted from known recorders or else needs confirmation from vice county recorder."
"Andrena denticulata","Andrena denticulata","NHMSYS0000875192","NHMSYS0000875192","06-01 to 09-30",,
"Andrena (Cnemidandrena) denticulata","Andrena denticulata","NHMSYS0000875076","NHMSYS0000875192",,,"3: Identification only accepted from known recorders or else needs confirmation from vice county recorder."
"Andrena dorsata","Andrena dorsata","NHMSYS0000875195","NHMSYS0000875195","03-01 to 11-30",,
"Andrena (Simandrena) dorsata","Andrena dorsata","NHMSYS0000875138","NHMSYS0000875195",,,"3: Identification only accepted from known recorders or else needs confirmation from vice county recorder."
"Andrena falsifica","Andrena falsifica","NHMSYS0000875199","NHMSYS0000875199","04-01 to 08-31","1: This is a rare species",
"Andrena (Micrandrena) falsifica","Andrena falsifica","NHMSYS0000875108","NHMSYS0000875199",,,"3: Identification only accepted from known recorders or else needs confirmation from vice county recorder."
"Andrena ferox","Andrena ferox","NHMSYS0000875201","NHMSYS0000875201","04-01 to 06-30","1: This is a rare species",
"Andrena (Hoplandrena) ferox","Andrena ferox","NHMSYS0000875088","NHMSYS0000875201",,,"4: Species needs confirmation from national expert."
"Andrena flavipes","Andrena flavipes","NHMSYS0000875202","NHMSYS0000875202","02-01 to 11-30",,
"Andrena (Zonandrena) flavipes","Andrena flavipes","NHMSYS0000875148","NHMSYS0000875202",,,"2: Can be identified in the field with care and experience. Needs a good view or the netting of a specimen to check, but the specimen can then be released. May be identifiable from a good photo, or series of photos."
"Andrena florea","Andrena florea","NHMSYS0000875203","NHMSYS0000875203","04-01 to 08-31",,
"Andrena (Poliandrena) florea","Andrena florea","NHMSYS0000875131","NHMSYS0000875203",,,"3: Identification only accepted from known recorders or else needs confirmation from vice county recorder."
"Andrena floricola","Andrena floricola","NHMSYS0000875204","NHMSYS0000875204",,"1: This is a rare species",
"Andrena (Micrandrena) floricola","Andrena floricola","NHMSYS0000875109","NHMSYS0000875204",,,"5: Voucher specimen required to be examined by national expert."
"Andrena fucata","Andrena fucata","NHMSYS0000875206","NHMSYS0000875206","03-01 to 08-31",,
"Andrena (Andrena) fucata","Andrena fucata","NHMSYS0000875062","NHMSYS0000875206",,,"3: Identification only accepted from known recorders or else needs confirmation from vice county recorder."
"Andrena fulva","Andrena fulva","NHMSYS0000875207","NHMSYS0000875207","02-01 to 12-31",,
"Andrena (Andrena) fulva","Andrena fulva","NHMSYS0000875063","NHMSYS0000875207",,,"1: Can be identified at sight in the field by anyone with a bit of experience. Species with which the beginner rapidly becomes familiar. Usually identifiable from a photo."
"Andrena fulvago","Andrena fulvago","NHMSYS0000875208","NHMSYS0000875208","04-01 to 12-31","1: This is a rare species",
"Andrena (Chrysandrena) fulvago","Andrena fulvago","NHMSYS0000875074","NHMSYS0000875208",,,"3: Identification only accepted from known recorders or else needs confirmation from vice county recorder."
"Andrena fuscipes","Andrena fuscipes","NHMSYS0000875212","NHMSYS0000875212","04-01 to 11-30",,
"Andrena (Cnemidandrena) fuscipes","Andrena fuscipes","NHMSYS0000875077","NHMSYS0000875212",,,"3: Identification only accepted from known recorders or else needs confirmation from vice county recorder."
"Andrena gravida","Andrena gravida","NHMSYS0000875213","NHMSYS0000875213","03-01 to 06-30","2: Records for this species must always be verified (rarity, new arrivals, establishing species)",
"Andrena (Zonandrena) gravida","Andrena gravida","NHMSYS0000875149","NHMSYS0000875213",,,"3: Identification only accepted from known recorders or else needs confirmation from vice county recorder."
"Andrena haemorrhoa","Andrena haemorrhoa","NHMSYS0000875215","NHMSYS0000875215","01-01 to 09-30",,
"Andrena (Trachandrena) haemorrhoa","Andrena haemorrhoa","NHMSYS0000875146","NHMSYS0000875215",,,"1: Can be identified at sight in the field by anyone with a bit of experience. Species with which the beginner rapidly becomes familiar. Usually identifiable from a photo."
"Andrena hattorfiana","Andrena hattorfiana","NHMSYS0000875216","NHMSYS0000875216","06-01 to 09-30","1: This is a rare species",
"Andrena (Charitandrena) hattorfiana","Andrena hattorfiana","NHMSYS0000875070","NHMSYS0000875216",,,"3: Identification only accepted from known recorders or else needs confirmation from vice county recorder."
"Andrena helvola","Andrena helvola","NHMSYS0000875217","NHMSYS0000875217","03-01 to 08-31",,
"Andrena (Andrena) helvola","Andrena helvola","NHMSYS0000875064","NHMSYS0000875217",,,"3: Identification only accepted from known recorders or else needs confirmation from vice county recorder."
"Andrena humilis","Andrena humilis","NHMSYS0000875218","NHMSYS0000875218","04-01 to 08-31",,
"Andrena (Chlorandrena) humilis","Andrena humilis","NHMSYS0000875072","NHMSYS0000875218",,,"3: Identification only accepted from known recorders or else needs confirmation from vice county recorder."
"Andrena labialis","Andrena labialis","NHMSYS0000875221","NHMSYS0000875221","03-01 to 08-31",,
"Andrena (Holandrena) labialis","Andrena labialis","NHMSYS0000875085","NHMSYS0000875221",,,"3: Identification only accepted from known recorders or else needs confirmation from vice county recorder."
"Andrena labiata","Andrena labiata","NHMSYS0000875222","NHMSYS0000875222","04-01 to 07-31",,
"Andrena (Poecilandrena) labiata","Andrena labiata","NHMSYS0000875129","NHMSYS0000875222",,,"2: Can be identified in the field with care and experience. Needs a good view or the netting of a specimen to check, but the specimen can then be released. May be identifiable from a good photo, or series of photos."
"Andrena lapponica","Andrena lapponica","NHMSYS0000875224","NHMSYS0000875224","03-01 to 08-31",,
"Andrena (Andrena) lapponica","Andrena lapponica","NHMSYS0000875065","NHMSYS0000875224",,,"3: Identification only accepted from known recorders or else needs confirmation from vice county recorder."
"Andrena lathyri","Andrena lathyri","NHMSYS0000875226","NHMSYS0000875226","04-01 to 07-31","1: This is a rare species",
"Andrena (Taeniandrena) lathyri","Andrena lathyri","NHMSYS0000875141","NHMSYS0000875226",,,"5: Voucher specimen required to be examined by national expert."
"Andrena lepida","Andrena lepida","NHMSYS0000875227","NHMSYS0000875227","07-01 to 08-31","1: This is a rare species",
"Andrena (Simandrena) lepida","Andrena lepida","NHMSYS0000875139","NHMSYS0000875227",,,"5: Voucher specimen required to be examined by national expert."
"Andrena marginata","Andrena marginata","NHMSYS0000875232","NHMSYS0000875232","06-01 to 10-31","1: This is a rare species",
"Andrena (Margandrena) marginata","Andrena marginata","NHMSYS0000875097","NHMSYS0000875232",,,"3: Identification only accepted from known recorders or else needs confirmation from vice county recorder."
"Andrena minutula","Andrena minutula","NHMSYS0000875234","NHMSYS0000875234","03-01 to 10-31",,
"Andrena (Micrandrena) minutula","Andrena minutula","NHMSYS0000875110","NHMSYS0000875234",,,"3: Identification only accepted from known recorders or else needs confirmation from vice county recorder."
"Andrena minutuloides","Andrena minutuloides","NHMSYS0000875235","NHMSYS0000875235","03-01 to 09-30",,
"Andrena (Micrandrena) minutuloides","Andrena minutuloides","NHMSYS0000875111","NHMSYS0000875235",,,"3: Identification only accepted from known recorders or else needs confirmation from vice county recorder."
"Andrena nana","Andrena nana","NHMSYS0000875238","NHMSYS0000875238","04-01 to 07-31","1: This is a rare species",
"Andrena (Micrandrena) nana","Andrena nana","NHMSYS0000875112","NHMSYS0000875238",,,"5: Voucher specimen required to be examined by national expert."
"Andrena nanula","Andrena nanula","NHMSYS0000875240","NHMSYS0000875240",,"1: This is a rare species",
"Andrena (Micrandrena) nanula","Andrena nanula","NHMSYS0000875113","NHMSYS0000875240",,,"5: Voucher specimen required to be examined by national expert."
"Andrena nigriceps","Andrena nigriceps","NHMSYS0000875241","NHMSYS0000875241","06-01 to 08-31","1: This is a rare species",
"Andrena (Cnemidandrena) nigriceps","Andrena nigriceps","NHMSYS0000875078","NHMSYS0000875241",,,"3: Identification only accepted from known recorders or else needs confirmation from vice county recorder."
"Andrena nigroaenea","Andrena nigroaenea","NHMSYS0000875243","NHMSYS0000875243","03-01 to 09-30",,
"Andrena (Melandrena) nigroaenea","Andrena nigroaenea","NHMSYS0000875100","NHMSYS0000875243",,,"3: Identification only accepted from known recorders or else needs confirmation from vice county recorder."
"Andrena nigrospina","Andrena nigrospina","NHMSYS0000875244","NHMSYS0000875244","04-01 to 08-31","1: This is a rare species",
"Andrena (Plastandrena) nigrospina","Andrena nigrospina","NHMSYS0000875125","NHMSYS0000875244",,,"5: Voucher specimen required to be examined by national expert."
"Andrena (Melandrena) nitida","Andrena nitida","NHMSYS0000875103","NHMSYS0001685273",,,"2: Can be identified in the field with care and experience. Needs a good view or the netting of a specimen to check, but the specimen can then be released. May be identifiable from a good photo, or series of photos."
"Andrena nitida preocc. [Genus inferred]","Andrena nitida","NHMSYS0000875245","NHMSYS0001685273","02-01 to 07-31",,
"Andrena nitidiuscula","Andrena nitidiuscula","NBNSYS0100001525","NBNSYS0100001525","06-01 to 09-30","1: This is a rare species",
"Andrena (Notandrena) nitidiuscula","Andrena nitidiuscula","NHMSYS0000875120","NBNSYS0100001525",,,"3: Identification only accepted from known recorders or else needs confirmation from vice county recorder."
"Andrena niveata","Andrena niveata","NHMSYS0000875247","NHMSYS0000875247","05-01 to 07-31","1: This is a rare species",
"Andrena (Micrandrena) niveata","Andrena niveata","NHMSYS0000875114","NHMSYS0000875247",,,"3: Identification only accepted from known recorders or else needs confirmation from vice county recorder."
"Andrena ovatula","Andrena ovatula","NHMSYS0000875249","NHMSYS0000875249","03-01 to 12-31",,
"Andrena (Taeniandrena) ovatula","Andrena ovatula","NHMSYS0000875142","NHMSYS0000875249",,,"3: Identification only accepted from known recorders or else needs confirmation from vice county recorder."
"Andrena (Plastandrena) pilipes","Andrena pilipes","NHMSYS0000875126","NHMSYS0000875254","04-01 to 12-31","1: This is a rare species","3: Identification only accepted from known recorders or else needs confirmation from vice county recorder."
"Andrena pilipes sensu lato","Andrena pilipes sensu lato","NHMSYS0020936540","NHMSYS0020936540","04-01 to 09-30",,
"Andrena polita","Andrena polita","NHMSYS0000875256","NHMSYS0000875256","07-01 to 07-31","1: This is a rare species",
"Andrena (Poliandrena) polita","Andrena polita","NHMSYS0000875132","NHMSYS0000875256",,,"5: Voucher specimen required to be examined by national expert."
"Andrena praecox","Andrena praecox","NHMSYS0000875257","NHMSYS0000875257","03-01 to 07-31",,
"Andrena (Andrena) praecox","Andrena praecox","NHMSYS0000875066","NHMSYS0000875257",,,"3: Identification only accepted from known recorders or else needs confirmation from vice county recorder."
"Andrena (Micrandrena) proxima","Andrena proxima sensu lato","NHMSYS0000875115","NHMSYS0021232238","03-01 to 07-31","1: This is a rare species","3: Identification only accepted from known recorders or else needs confirmation from vice county recorder."
"Andrena rosae","Andrena rosae","NHMSYS0000875262","NHMSYS0000875262","04-01 to 08-31","1: This is a rare species",
"Andrena (Hoplandrena) rosae","Andrena rosae","NHMSYS0000875089","NHMSYS0000875262",,,"5: Voucher specimen required to be examined by national expert."
"Andrena ruficrus","Andrena ruficrus","NHMSYS0000875264","NHMSYS0000875264","03-01 to 06-30","1: This is a rare species",
"Andrena (Euandrena) ruficrus","Andrena ruficrus","NHMSYS0000875083","NHMSYS0000875264",,,"3: Identification only accepted from known recorders or else needs confirmation from vice county recorder."
"Andrena carantonica misident.","Andrena scotica","NHMSYS0020936534","NHMSYS0000875268","02-01 to 11-30",,"3: Identification only accepted from known recorders or else needs confirmation from vice county recorder."
"Andrena semilaevis","Andrena semilaevis","NHMSYS0000875269","NHMSYS0000875269","04-01 to 09-30",,
"Andrena (Micrandrena) semilaevis","Andrena semilaevis","NHMSYS0000875116","NHMSYS0000875269",,,"3: Identification only accepted from known recorders or else needs confirmation from vice county recorder."
"Andrena similis","Andrena similis","NHMSYS0000875273","NHMSYS0000875273","03-01 to 07-31","1: This is a rare species",
"Andrena (Taeniandrena) similis","Andrena similis","NHMSYS0000875143","NHMSYS0000875273",,,"3: Identification only accepted from known recorders or else needs confirmation from vice county recorder."
"Andrena simillima","Andrena simillima","NHMSYS0000875274","NHMSYS0000875274","06-01 to 09-30","1: This is a rare species",
"Andrena (Cnemidandrena) simillima","Andrena simillima","NHMSYS0000875079","NHMSYS0000875274",,,"3: Identification only accepted from known recorders or else needs confirmation from vice county recorder."
"Andrena subopaca","Andrena subopaca","NHMSYS0000875279","NHMSYS0000875279","03-01 to 10-31",,
"Andrena (Micrandrena) subopaca","Andrena subopaca","NHMSYS0000875117","NHMSYS0000875279",,,"3: Identification only accepted from known recorders or else needs confirmation from vice county recorder."
"Andrena synadelpha","Andrena synadelpha","NHMSYS0000875280","NHMSYS0000875280","03-01 to 09-30",,
"Andrena (Andrena) synadelpha","Andrena synadelpha","NHMSYS0000875067","NHMSYS0000875280",,,"4: Species needs confirmation from national expert."
"Andrena tarsata","Andrena tarsata","NHMSYS0000875281","NHMSYS0000875281","06-01 to 09-30","1: This is a rare species",
"Andrena (Poliandrena) tarsata","Andrena tarsata","NHMSYS0000875133","NHMSYS0000875281",,,"3: Identification only accepted from known recorders or else needs confirmation from vice county recorder."
"Andrena thoracica","Andrena thoracica","NHMSYS0000875282","NHMSYS0000875282","03-01 to 09-30",,
"Andrena (Melandrena) thoracica","Andrena thoracica","NHMSYS0000875104","NHMSYS0000875282",,,"3: Identification only accepted from known recorders or else needs confirmation from vice county recorder."
"Andrena tibialis","Andrena tibialis","NHMSYS0000875283","NHMSYS0000875283","03-01 to 07-31","1: This is a rare species",
"Andrena (Plastandrena) tibialis","Andrena tibialis","NHMSYS0000875127","NHMSYS0000875283",,,"3: Identification only accepted from known recorders or else needs confirmation from vice county recorder."
"Andrena tridentata","Andrena tridentata","NHMSYS0000875284","NHMSYS0000875284","07-01 to 08-31","1: This is a rare species",
"Andrena (Cnemidandrena) tridentata","Andrena tridentata","NHMSYS0000875080","NHMSYS0000875284",,,"5: Voucher specimen required to be examined by national expert."
"Andrena trimmerana","Andrena trimmerana","NHMSYS0000875285","NHMSYS0000875285","03-01 to 12-31",,
"Andrena (Hoplandrena) trimmerana","Andrena trimmerana","NHMSYS0000875092","NHMSYS0000875285",,,"3: Identification only accepted from known recorders or else needs confirmation from vice county recorder."
"Andrena vaga","Andrena vaga","NHMSYS0000875286","NHMSYS0000875286","04-01 to 04-30","1: This is a rare species",
"Andrena (Melandrena) vaga","Andrena vaga","NHMSYS0000875105","NHMSYS0000875286",,,"5: Voucher specimen required to be examined by national expert."
"Andrena varians","Andrena varians","NHMSYS0000875287","NHMSYS0000875287","03-01 to 07-31","1: This is a rare species",
"Andrena (Andrena) varians","Andrena varians","NHMSYS0000875068","NHMSYS0000875287",,,"3: Identification only accepted from known recorders or else needs confirmation from vice county recorder."
"Andrena wilkella","Andrena wilkella","NHMSYS0000875290","NHMSYS0000875290","03-01 to 12-31",,
"Andrena (Taeniandrena) wilkella","Andrena wilkella","NHMSYS0000875144","NHMSYS0000875290",,,"3: Identification only accepted from known recorders or else needs confirmation from vice county recorder."
"Panurgus banksianus","Panurgus banksianus","NHMSYS0000876528","NHMSYS0000876528","04-01 to 09-30",,"3: Identification only accepted from known recorders or else needs confirmation from vice county recorder."
"Panurgus calcaratus","Panurgus calcaratus","NHMSYS0000876529","NHMSYS0000876529","06-01 to 09-30",,"3: Identification only accepted from known recorders or else needs confirmation from vice county recorder."
"Anthophora bimaculata","Anthophora bimaculata","NHMSYS0000875402","NHMSYS0000875402","05-01 to 09-30",,
"Anthophora (Heliophila) bimaculata","Anthophora bimaculata","NHMSYS0000875398","NHMSYS0000875402",,,"3: Identification only accepted from known recorders or else needs confirmation from vice county recorder."
"Anthophora furcata","Anthophora furcata","NHMSYS0000875403","NHMSYS0000875403","04-01 to 10-31",,
"Anthophora (Clisodon) furcata","Anthophora furcata","NHMSYS0000875394","NHMSYS0000875403",,,"3: Identification only accepted from known recorders or else needs confirmation from vice county recorder."
"Anthophora plumipes","Anthophora plumipes","NHMSYS0000875407","NHMSYS0000875407","01-01 to 08-31",,
"Anthophora (Anthophora) plumipes","Anthophora plumipes","NHMSYS0000875392","NHMSYS0000875407",,,"2: Can be identified in the field with care and experience. Needs a good view or the netting of a specimen to check, but the specimen can then be released. May be identifiable from a good photo, or series of photos."
"Anthophora quadrimaculata","Anthophora quadrimaculata","NHMSYS0000875408","NHMSYS0000875408","03-01 to 09-30","1: This is a rare species",
"Anthophora (Dasymegilla) quadrimaculata","Anthophora quadrimaculata","NHMSYS0000875396","NHMSYS0000875408",,,"3: Identification only accepted from known recorders or else needs confirmation from vice county recorder."
"Anthophora retusa","Anthophora retusa","NHMSYS0000875409","NHMSYS0000875409","03-01 to 08-31","1: This is a rare species",
"Anthophora (Pyganthophora) retusa","Anthophora retusa","NHMSYS0000875400","NHMSYS0000875409",,,"3: Identification only accepted from known recorders or else needs confirmation from vice county recorder."
"Apis mellifera","Apis mellifera","NHMSYS0000875423","NHMSYS0000875423","01-01 to 11-30",,"1: Can be identified at sight in the field by anyone with a bit of experience. Species with which the beginner rapidly becomes familiar. Usually identifiable from a photo."
"Bombus barbutellus","Bombus barbutellus","NBNSYS0100002024","NBNSYS0100002024","03-01 to 10-31",,
"Bombus (Psithyrus) barbutellus","Bombus barbutellus","NHMSYS0000875492","NBNSYS0100002024",,,"3: Identification only accepted from known recorders or else needs confirmation from vice county recorder."
"Bombus bohemicus","Bombus bohemicus","NBNSYS0100002025","NBNSYS0100002025","01-01 to 11-30",,
"Bombus (Psithyrus) bohemicus","Bombus bohemicus","NHMSYS0000875493","NBNSYS0100002025",,,"3: Identification only accepted from known recorders or else needs confirmation from vice county recorder."
"Bombus campestris","Bombus campestris","NHMSYS0000875546","NHMSYS0000875546","04-01 to 11-30",,
"Bombus (Psithyrus) campestris","Bombus campestris","NHMSYS0000875494","NHMSYS0000875546",,,"3: Identification only accepted from known recorders or else needs confirmation from vice county recorder."
"Bombus cryptarum","Bombus cryptarum","NBNSYS0100002027","NBNSYS0100002027","03-01 to 11-30",,
"Bombus (Bombus) cryptarum","Bombus cryptarum","NHMSYS0000875472","NBNSYS0100002027",,,"5: Voucher specimen required to be examined by national expert."
"Bombus cullumanus","Bombus cullumanus","NHMSYS0000875550","NHMSYS0000875550","05-01 to 09-30","1: This is a rare species",
"Bombus (Cullumanobombus) cullumanus","Bombus cullumanus","NHMSYS0000875479","NHMSYS0000875550",,,"5: Voucher specimen required to be examined by national expert."
"Bombus distinguendus","Bombus distinguendus","NHMSYS0000875554","NHMSYS0000875554","01-01 to 10-31","1: This is a rare species",
"Bombus (Subterraneobombus) distinguendus","Bombus distinguendus","NHMSYS0000875513","NHMSYS0000875554",,,"3: Identification only accepted from known recorders or else needs confirmation from vice county recorder."
"Bombus (Megabombus) hortorum","Bombus hortorum","NHMSYS0000875483","NHMSYS0000875562",,,"3: Identification only accepted from known recorders or else needs confirmation from vice county recorder."
"Bombus humilis","Bombus humilis","NHMSYS0000875563","NHMSYS0000875563","01-01 to 11-30","2: Records for this species must always be verified (rarity, new arrivals, establishing species)",
"Bombus (Thoracobombus) humilis","Bombus humilis","NHMSYS0020758433","NHMSYS0000875563",,,"3: Identification only accepted from known recorders or else needs confirmation from vice county recorder."
"Bombus hypnorum","Bombus hypnorum","NHMSYS0000875564","NHMSYS0000875564","01-01 to 11-30",,
"Bombus (Pyrobombus) hypnorum","Bombus hypnorum","NHMSYS0000875501","NHMSYS0000875564",,,"1: Can be identified at sight in the field by anyone with a bit of experience. Species with which the beginner rapidly becomes familiar. Usually identifiable from a photo."
"Bombus jonellus","Bombus jonellus","NHMSYS0000875565","NHMSYS0000875565","02-01 to 11-30",,
"Bombus (Pyrobombus) jonellus","Bombus jonellus","NHMSYS0000875502","NHMSYS0000875565",,,"3: Identification only accepted from known recorders or else needs confirmation from vice county recorder."
"Bombus (Melanobombus) lapidarius","Bombus lapidarius","NHMSYS0000875490","NHMSYS0000875567",,,"1: Can be identified at sight in the field by anyone with a bit of experience. Species with which the beginner rapidly becomes familiar. Usually identifiable from a photo."
"Bombus (Bombus) lucorum","Bombus lucorum","NHMSYS0000875473","NHMSYS0000875570","03-01 to 09-30",,"5: Voucher specimen required to be examined by national expert."
"Bombus magnus","Bombus magnus","NBNSYS0000009837","NBNSYS0000009837","03-01 to 12-31",,
"Bombus (Bombus) magnus","Bombus magnus","NHMSYS0000875474","NBNSYS0000009837",,,"5: Voucher specimen required to be examined by national expert."
"Bombus monticola","Bombus monticola","NHMSYS0000875571","NHMSYS0000875571","02-01 to 11-30",,
"Bombus (Pyrobombus) monticola","Bombus monticola","NHMSYS0000875507","NHMSYS0000875571",,,"2: Can be identified in the field with care and experience. Needs a good view or the netting of a specimen to check, but the specimen can then be released. May be identifiable from a good photo, or series of photos."
"Bombus muscorum","Bombus muscorum","NHMSYS0000875572","NHMSYS0000875572","01-01 to 10-31","2: Records for this species must always be verified (rarity, new arrivals, establishing species)",
"Bombus (Thoracobombus) muscorum","Bombus muscorum","NHMSYS0020758435","NHMSYS0000875572",,,"3: Identification only accepted from known recorders or else needs confirmation from vice county recorder."
"Bombus (Thoracobombus) pascuorum","Bombus pascuorum","NHMSYS0020758443","NHMSYS0000875576",,,"2: Can be identified in the field with care and experience. Needs a good view or the netting of a specimen to check, but the specimen can then be released. May be identifiable from a good photo, or series of photos."
"Bombus pomorum","Bombus pomorum","NHMSYS0000875577","NHMSYS0000875577",,"1: This is a rare species",
"Bombus (Rhodobombus) pomorum","Bombus pomorum","NHMSYS0000875511","NHMSYS0000875577",,,"5: Voucher specimen required to be examined by national expert."
"Bombus (Pyrobombus) pratorum","Bombus pratorum","NHMSYS0000875509","NHMSYS0000875578",,,"3: Identification only accepted from known recorders or else needs confirmation from vice county recorder."
"Bombus ruderarius","Bombus ruderarius","NHMSYS0000875582","NHMSYS0000875582","03-01 to 10-31","2: Records for this species must always be verified (rarity, new arrivals, establishing species)",
"Bombus ruderatus","Bombus ruderatus","NHMSYS0000875583","NHMSYS0000875583","02-01 to 10-31","2: Records for this species must always be verified (rarity, new arrivals, establishing species)",
"Bombus (Megabombus) ruderatus","Bombus ruderatus","NHMSYS0000875486","NHMSYS0000875583",,,"4: Species needs confirmation from national expert."
"Bombus rupestris","Bombus rupestris","NBNSYS0100002028","NBNSYS0100002028","02-01 to 09-30",,
"Bombus (Psithyrus) rupestris","Bombus rupestris","NHMSYS0000875497","NBNSYS0100002028",,,"2: Can be identified in the field with care and experience. Needs a good view or the netting of a specimen to check, but the specimen can then be released. May be identifiable from a good photo, or series of photos."
"Bombus soroeensis","Bombus soroeensis","NHMSYS0000875588","NHMSYS0000875588","04-01 to 10-31",,
"Bombus (Kallobombus) soroeensis","Bombus soroeensis","NHMSYS0000875481","NHMSYS0000875588",,,"4: Species needs confirmation from national expert."
"Bombus subterraneus","Bombus subterraneus","NHMSYS0000875592","NHMSYS0000875592","03-01 to 11-30","1: This is a rare species",
"Bombus (Subterraneobombus) subterraneus","Bombus subterraneus","NHMSYS0000875514","NHMSYS0000875592",,,"4: Species needs confirmation from national expert."
"Bombus sylvarum","Bombus sylvarum","NHMSYS0000875593","NHMSYS0000875593","02-01 to 10-31","2: Records for this species must always be verified (rarity, new arrivals, establishing species)",
"Bombus (Thoracobombus) sylvarum","Bombus sylvarum","NHMSYS0020758449","NHMSYS0000875593",,,"3: Identification only accepted from known recorders or else needs confirmation from vice county recorder."
"Bombus sylvestris","Bombus sylvestris","NHMSYS0000875594","NHMSYS0000875594","02-01 to 11-30",,
"Bombus (Psithyrus) sylvestris","Bombus sylvestris","NHMSYS0000875498","NHMSYS0000875594",,,"3: Identification only accepted from known recorders or else needs confirmation from vice county recorder."
"Bombus (Bombus) terrestris","Bombus terrestris","NHMSYS0000875475","NHMSYS0000875595",,,"1: Can be identified at sight in the field by anyone with a bit of experience. Species with which the beginner rapidly becomes familiar. Usually identifiable from a photo."
"Bombus (Bombus) terrestris","Bombus terrestris","NHMSYS0000875475","NHMSYS0000875595",,,"1: Can be identified at sight in the field by anyone with a bit of experience. Species with which the beginner rapidly becomes familiar. Usually identifiable from a photo."
"Bombus vestalis","Bombus vestalis","NBNSYS0100002030","NBNSYS0100002030","01-01 to 11-30",,
"Bombus (Psithyrus) vestalis","Bombus vestalis","NHMSYS0000875499","NBNSYS0100002030",,,"3: Identification only accepted from known recorders or else needs confirmation from vice county recorder."
