"species","preferred_species_name","tvk","recording_period","flight_period","id_difficulty"
"Argyresthia bonnetella","Argyresthia bonnetella","NBNSYS0100001640",,,"2: Can be confused with other species. Should not present any difficulty for experienced recorders; however, good quality photographs or a specimen will be required if the recorder is not familiar with the species, and experienced recorders may be expected to provide additional evidence if the species record is outside of the normal flight period or geographical range. Worn specimens (esp. micro-moths) are likely to be unidentifiable unless a specimen is retained for microscopic examination."
"Argyresthia brockeella","Argyresthia brockeella","NHMSYS0021142503",,,"1: Generally distinctive species unlikely to be confused with other species. Records usually accepted within the normal flight period or geographical range; otherwise one or more good quality photographs, or possibly a specimen, may be required. Applies to species which will quickly become familiar to those gaining experience."
"Argyresthia conjugella","Argyresthia conjugella","NHMSYS0000501364",,,"2: Can be confused with other species. Should not present any difficulty for experienced recorders; however, good quality photographs or a specimen will be required if the recorder is not familiar with the species, and experienced recorders may be expected to provide additional evidence if the species record is outside of the normal flight period or geographical range. Worn specimens (esp. micro-moths) are likely to be unidentifiable unless a specimen is retained for microscopic examination."
"Argyresthia cupressella","Argyresthia cupressella","NBNSYS0100001643",,,"2: Can be confused with other species. Should not present any difficulty for experienced recorders; however, good quality photographs or a specimen will be required if the recorder is not familiar with the species, and experienced recorders may be expected to provide additional evidence if the species record is outside of the normal flight period or geographical range. Worn specimens (esp. micro-moths) are likely to be unidentifiable unless a specimen is retained for microscopic examination."
"Argyresthia curvella","Argyresthia curvella","NHMSYS0000501370",,,"2: Can be confused with other species. Should not present any difficulty for experienced recorders; however, good quality photographs or a specimen will be required if the recorder is not familiar with the species, and experienced recorders may be expected to provide additional evidence if the species record is outside of the normal flight period or geographical range. Worn specimens (esp. micro-moths) are likely to be unidentifiable unless a specimen is retained for microscopic examination."
"Argyresthia dilectella","Argyresthia dilectella","NHMSYS0000501371",,,"2: Can be confused with other species. Should not present any difficulty for experienced recorders; however, good quality photographs or a specimen will be required if the recorder is not familiar with the species, and experienced recorders may be expected to provide additional evidence if the species record is outside of the normal flight period or geographical range. Worn specimens (esp. micro-moths) are likely to be unidentifiable unless a specimen is retained for microscopic examination."
"Argyresthia glabratella","Argyresthia glabratella","NHMSYS0000501373",,,"4: Species that can only be identified following critical assessment often involving dissection and examination of genitalia. A specimen should be retained for confirmation."
"Argyresthia glaucinella","Argyresthia glaucinella","NHMSYS0000501374",,,"2: Can be confused with other species. Should not present any difficulty for experienced recorders; however, good quality photographs or a specimen will be required if the recorder is not familiar with the species, and experienced recorders may be expected to provide additional evidence if the species record is outside of the normal flight period or geographical range. Worn specimens (esp. micro-moths) are likely to be unidentifiable unless a specimen is retained for microscopic examination."
"Argyresthia goedartella","Argyresthia goedartella","NHMSYS0000501375",,,"1: Generally distinctive species unlikely to be confused with other species. Records usually accepted within the normal flight period or geographical range; otherwise one or more good quality photographs, or possibly a specimen, may be required. Applies to species which will quickly become familiar to those gaining experience."
"Argyresthia ivella","Argyresthia ivella","NHMSYS0000501378",,,"1: Generally distinctive species unlikely to be confused with other species. Records usually accepted within the normal flight period or geographical range; otherwise one or more good quality photographs, or possibly a specimen, may be required. Applies to species which will quickly become familiar to those gaining experience."
"Argyresthia laevigatella","Argyresthia laevigatella","NHMSYS0021142497",,,"4: Species that can only be identified following critical assessment often involving dissection and examination of genitalia. A specimen should be retained for confirmation."
"Argyresthia praecocella","Argyresthia praecocella","NHMSYS0000501382",,,"3: Very scarce species or species that are difficult to identify. A voucher specimen may be required by your County Recorder (seek advice before releasing the moth) particularly if the species record is outside of the normal flight period or geographical range. A good set of photographs showing all critical identification features clearly may suffice in some cases."
"Argyresthia pruniella","Argyresthia pruniella","NHMSYS0000501383",,,"2: Can be confused with other species. Should not present any difficulty for experienced recorders; however, good quality photographs or a specimen will be required if the recorder is not familiar with the species, and experienced recorders may be expected to provide additional evidence if the species record is outside of the normal flight period or geographical range. Worn specimens (esp. micro-moths) are likely to be unidentifiable unless a specimen is retained for microscopic examination."
"Argyresthia pygmaeella","Argyresthia pygmaeella","NHMSYS0021142505",,,"1: Generally distinctive species unlikely to be confused with other species. Records usually accepted within the normal flight period or geographical range; otherwise one or more good quality photographs, or possibly a specimen, may be required. Applies to species which will quickly become familiar to those gaining experience."
"Argyresthia retinella","Argyresthia retinella","NHMSYS0000501385",,,"2: Can be confused with other species. Should not present any difficulty for experienced recorders; however, good quality photographs or a specimen will be required if the recorder is not familiar with the species, and experienced recorders may be expected to provide additional evidence if the species record is outside of the normal flight period or geographical range. Worn specimens (esp. micro-moths) are likely to be unidentifiable unless a specimen is retained for microscopic examination."
"Argyresthia semifusca","Argyresthia semifusca","NHMSYS0000501387",,,"2: Can be confused with other species. Should not present any difficulty for experienced recorders; however, good quality photographs or a specimen will be required if the recorder is not familiar with the species, and experienced recorders may be expected to provide additional evidence if the species record is outside of the normal flight period or geographical range. Worn specimens (esp. micro-moths) are likely to be unidentifiable unless a specimen is retained for microscopic examination."
"Argyresthia semitestacella","Argyresthia semitestacella","NHMSYS0000501388",,,"2: Can be confused with other species. Should not present any difficulty for experienced recorders; however, good quality photographs or a specimen will be required if the recorder is not familiar with the species, and experienced recorders may be expected to provide additional evidence if the species record is outside of the normal flight period or geographical range. Worn specimens (esp. micro-moths) are likely to be unidentifiable unless a specimen is retained for microscopic examination."
"Argyresthia sorbiella","Argyresthia sorbiella","NHMSYS0000501389",,,"2: Can be confused with other species. Should not present any difficulty for experienced recorders; however, good quality photographs or a specimen will be required if the recorder is not familiar with the species, and experienced recorders may be expected to provide additional evidence if the species record is outside of the normal flight period or geographical range. Worn specimens (esp. micro-moths) are likely to be unidentifiable unless a specimen is retained for microscopic examination."
"Argyresthia spinosella","Argyresthia spinosella","NBNSYS0100001647",,,"2: Can be confused with other species. Should not present any difficulty for experienced recorders; however, good quality photographs or a specimen will be required if the recorder is not familiar with the species, and experienced recorders may be expected to provide additional evidence if the species record is outside of the normal flight period or geographical range. Worn specimens (esp. micro-moths) are likely to be unidentifiable unless a specimen is retained for microscopic examination."
"Argyresthia trifasciata","Argyresthia trifasciata","NHMSYS0000501391",,,"1: Generally distinctive species unlikely to be confused with other species. Records usually accepted within the normal flight period or geographical range; otherwise one or more good quality photographs, or possibly a specimen, may be required. Applies to species which will quickly become familiar to those gaining experience."
"Oegoconia caradjai","Oegoconia caradjai","NHMSYS0021142528",,,"4: Species that can only be identified following critical assessment often involving dissection and examination of genitalia. A specimen should be retained for confirmation."
"Oegoconia deauratella","Oegoconia deauratella","NHMSYS0000503460",,,"4: Species that can only be identified following critical assessment often involving dissection and examination of genitalia. A specimen should be retained for confirmation."
"Oegoconia novimundi","Oegoconia novimundi","NHMSYS0021166469",,,"4: Species that can only be identified following critical assessment often involving dissection and examination of genitalia. A specimen should be retained for confirmation."
"Oegoconia quadripuncta","Oegoconia quadripuncta","NHMSYS0000503461",,,"4: Species that can only be identified following critical assessment often involving dissection and examination of genitalia. A specimen should be retained for confirmation."
"Symmoca signatella","Symmoca signatella","NHMSYS0000504417",,,"3: Very scarce species or species that are difficult to identify. A voucher specimen may be required by your County Recorder (seek advice before releasing the moth) particularly if the species record is outside of the normal flight period or geographical range. A good set of photographs showing all critical identification features clearly may suffice in some cases."
"Batrachedra pinicolella","Batrachedra pinicolella","NHMSYS0000501456",,,"2: Can be confused with other species. Should not present any difficulty for experienced recorders; however, good quality photographs or a specimen will be required if the recorder is not familiar with the species, and experienced recorders may be expected to provide additional evidence if the species record is outside of the normal flight period or geographical range. Worn specimens (esp. micro-moths) are likely to be unidentifiable unless a specimen is retained for microscopic examination."
"Batrachedra praeangusta","Batrachedra praeangusta","NHMSYS0000501457",,,"2: Can be confused with other species. Should not present any difficulty for experienced recorders; however, good quality photographs or a specimen will be required if the recorder is not familiar with the species, and experienced recorders may be expected to provide additional evidence if the species record is outside of the normal flight period or geographical range. Worn specimens (esp. micro-moths) are likely to be unidentifiable unless a specimen is retained for microscopic examination."
"Bedellia somnulentella","Bedellia somnulentella","NHMSYS0000501461",,,"2: Can be confused with other species. Should not present any difficulty for experienced recorders; however, good quality photographs or a specimen will be required if the recorder is not familiar with the species, and experienced recorders may be expected to provide additional evidence if the species record is outside of the normal flight period or geographical range. Worn specimens (esp. micro-moths) are likely to be unidentifiable unless a specimen is retained for microscopic examination."
"Blastobasis adustella","Blastobasis adustella","NHMSYS0020326904",,,"2: Can be confused with other species. Should not present any difficulty for experienced recorders; however, good quality photographs or a specimen will be required if the recorder is not familiar with the species, and experienced recorders may be expected to provide additional evidence if the species record is outside of the normal flight period or geographical range. Worn specimens (esp. micro-moths) are likely to be unidentifiable unless a specimen is retained for microscopic examination."
"Blastobasis lacticolella","Blastobasis lacticolella","NHMSYS0020676097",,,"2: Can be confused with other species. Should not present any difficulty for experienced recorders; however, good quality photographs or a specimen will be required if the recorder is not familiar with the species, and experienced recorders may be expected to provide additional evidence if the species record is outside of the normal flight period or geographical range. Worn specimens (esp. micro-moths) are likely to be unidentifiable unless a specimen is retained for microscopic examination."
"Blastobasis maroccanella","Blastobasis maroccanella","NHMSYS0021158224",,,"4: Species that can only be identified following critical assessment often involving dissection and examination of genitalia. A specimen should be retained for confirmation."
"Blastobasis phycidella","Blastobasis phycidella","NHMSYS0000501496",,,"3: Very scarce species or species that are difficult to identify. A voucher specimen may be required by your County Recorder (seek advice before releasing the moth) particularly if the species record is outside of the normal flight period or geographical range. A good set of photographs showing all critical identification features clearly may suffice in some cases."
"Blastobasis rebeli","Blastobasis rebeli","NHMSYS0021142871",,,"3: Very scarce species or species that are difficult to identify. A voucher specimen may be required by your County Recorder (seek advice before releasing the moth) particularly if the species record is outside of the normal flight period or geographical range. A good set of photographs showing all critical identification features clearly may suffice in some cases."
"Blastobasis vittata","Blastobasis vittata","NHMSYS0021142870",,,"4: Species that can only be identified following critical assessment often involving dissection and examination of genitalia. A specimen should be retained for confirmation."
"Hypatopa binotella","Hypatopa binotella","NHMSYS0021142873",,,"3: Very scarce species or species that are difficult to identify. A voucher specimen may be required by your County Recorder (seek advice before releasing the moth) particularly if the species record is outside of the normal flight period or geographical range. A good set of photographs showing all critical identification features clearly may suffice in some cases."
"Bucculatrix albedinella","Bucculatrix albedinella","NHMSYS0021142408",,,"2: Can be confused with other species. Should not present any difficulty for experienced recorders; however, good quality photographs or a specimen will be required if the recorder is not familiar with the species, and experienced recorders may be expected to provide additional evidence if the species record is outside of the normal flight period or geographical range. Worn specimens (esp. micro-moths) are likely to be unidentifiable unless a specimen is retained for microscopic examination."
"Bucculatrix bechsteinella","Bucculatrix bechsteinella","NBNSYS0100002131",,,"2: Can be confused with other species. Should not present any difficulty for experienced recorders; however, good quality photographs or a specimen will be required if the recorder is not familiar with the species, and experienced recorders may be expected to provide additional evidence if the species record is outside of the normal flight period or geographical range. Worn specimens (esp. micro-moths) are likely to be unidentifiable unless a specimen is retained for microscopic examination."
"Bucculatrix chrysanthemella","Bucculatrix chrysanthemella","NHMSYS0021142406",,,"4: Species that can only be identified following critical assessment often involving dissection and examination of genitalia. A specimen should be retained for confirmation."
"Bucculatrix cidarella","Bucculatrix cidarella","NHMSYS0021142409",,,"1: Generally distinctive species unlikely to be confused with other species. Records usually accepted within the normal flight period or geographical range; otherwise one or more good quality photographs, or possibly a specimen, may be required. Applies to species which will quickly become familiar to those gaining experience."
"Bucculatrix cristatella","Bucculatrix cristatella","NHMSYS0021142403",,,"2: Can be confused with other species. Should not present any difficulty for experienced recorders; however, good quality photographs or a specimen will be required if the recorder is not familiar with the species, and experienced recorders may be expected to provide additional evidence if the species record is outside of the normal flight period or geographical range. Worn specimens (esp. micro-moths) are likely to be unidentifiable unless a specimen is retained for microscopic examination."
"Bucculatrix demaryella","Bucculatrix demaryella","NHMSYS0000501570",,,"2: Can be confused with other species. Should not present any difficulty for experienced recorders; however, good quality photographs or a specimen will be required if the recorder is not familiar with the species, and experienced recorders may be expected to provide additional evidence if the species record is outside of the normal flight period or geographical range. Worn specimens (esp. micro-moths) are likely to be unidentifiable unless a specimen is retained for microscopic examination."
"Bucculatrix frangutella","Bucculatrix frangutella","NBNSYS0100002133",,,"2: Can be confused with other species. Should not present any difficulty for experienced recorders; however, good quality photographs or a specimen will be required if the recorder is not familiar with the species, and experienced recorders may be expected to provide additional evidence if the species record is outside of the normal flight period or geographical range. Worn specimens (esp. micro-moths) are likely to be unidentifiable unless a specimen is retained for microscopic examination."
"Bucculatrix maritima","Bucculatrix maritima","NHMSYS0000501573",,,"2: Can be confused with other species. Should not present any difficulty for experienced recorders; however, good quality photographs or a specimen will be required if the recorder is not familiar with the species, and experienced recorders may be expected to provide additional evidence if the species record is outside of the normal flight period or geographical range. Worn specimens (esp. micro-moths) are likely to be unidentifiable unless a specimen is retained for microscopic examination."
"Bucculatrix nigricomella","Bucculatrix nigricomella","NHMSYS0021142404",,,"2: Can be confused with other species. Should not present any difficulty for experienced recorders; however, good quality photographs or a specimen will be required if the recorder is not familiar with the species, and experienced recorders may be expected to provide additional evidence if the species record is outside of the normal flight period or geographical range. Worn specimens (esp. micro-moths) are likely to be unidentifiable unless a specimen is retained for microscopic examination."
"Bucculatrix thoracella","Bucculatrix thoracella","NHMSYS0000501576",,,"1: Generally distinctive species unlikely to be confused with other species. Records usually accepted within the normal flight period or geographical range; otherwise one or more good quality photographs, or possibly a specimen, may be required. Applies to species which will quickly become familiar to those gaining experience."
"Bucculatrix ulmella","Bucculatrix ulmella","NHMSYS0000501577",,,"4: Species that can only be identified following critical assessment often involving dissection and examination of genitalia. A specimen should be retained for confirmation."
"Bucculatrix ulmifoliae","Bucculatrix ulmifoliae","NHMSYS0021142413",,,"4: Species that can only be identified following critical assessment often involving dissection and examination of genitalia. A specimen should be retained for confirmation."
"Dasystoma salicella","Dasystoma salicella","NHMSYS0000502102",,,"1: Generally distinctive species unlikely to be confused with other species. Records usually accepted within the normal flight period or geographical range; otherwise one or more good quality photographs, or possibly a specimen, may be required. Applies to species which will quickly become familiar to those gaining experience."
"Diurnea fagella","Diurnea fagella","NHMSYS0021142564",,,"1: Generally distinctive species unlikely to be confused with other species. Records usually accepted within the normal flight period or geographical range; otherwise one or more good quality photographs, or possibly a specimen, may be required. Applies to species which will quickly become familiar to those gaining experience."
"Diurnea lipsiella","Diurnea lipsiella","NHMSYS0021142565",,,"1: Generally distinctive species unlikely to be confused with other species. Records usually accepted within the normal flight period or geographical range; otherwise one or more good quality photographs, or possibly a specimen, may be required. Applies to species which will quickly become familiar to those gaining experience."
"Anthophila fabriciana","Anthophila fabriciana","NHMSYS0000501258",,,"1: Generally distinctive species unlikely to be confused with other species. Records usually accepted within the normal flight period or geographical range; otherwise one or more good quality photographs, or possibly a specimen, may be required. Applies to species which will quickly become familiar to those gaining experience."
"Choreutis diana","Choreutis diana","NHMSYS0021142982",,,"3: Very scarce species or species that are difficult to identify. A voucher specimen may be required by your County Recorder (seek advice before releasing the moth) particularly if the species record is outside of the normal flight period or geographical range. A good set of photographs showing all critical identification features clearly may suffice in some cases."
"Choreutis nemorana","Choreutis nemorana","NHMSYS0021142983",,,"3: Very scarce species or species that are difficult to identify. A voucher specimen may be required by your County Recorder (seek advice before releasing the moth) particularly if the species record is outside of the normal flight period or geographical range. A good set of photographs showing all critical identification features clearly may suffice in some cases."
"Choreutis pariana","Choreutis pariana","NBNSYS0100002383",,,"1: Generally distinctive species unlikely to be confused with other species. Records usually accepted within the normal flight period or geographical range; otherwise one or more good quality photographs, or possibly a specimen, may be required. Applies to species which will quickly become familiar to those gaining experience."
"Prochoreutis myllerana","Prochoreutis myllerana","NBNSYS0100004871",,,"4: Species that can only be identified following critical assessment often involving dissection and examination of genitalia. A specimen should be retained for confirmation."
"Prochoreutis sehestediana","Prochoreutis sehestediana","NHMSYS0021142976",,,"4: Species that can only be identified following critical assessment often involving dissection and examination of genitalia. A specimen should be retained for confirmation."
"Tebenna micalis","Tebenna micalis","NHMSYS0000504455",,,"3: Very scarce species or species that are difficult to identify. A voucher specimen may be required by your County Recorder (seek advice before releasing the moth) particularly if the species record is outside of the normal flight period or geographical range. A good set of photographs showing all critical identification features clearly may suffice in some cases."
"Augasma aeratella","Augasma aeratella","NHMSYS0000501428",,,"4: Species that can only be identified following critical assessment often involving dissection and examination of genitalia. A specimen should be retained for confirmation."
"Coleophora adjectella","Coleophora adjectella","NHMSYS0000501813",,,"4: Species that can only be identified following critical assessment often involving dissection and examination of genitalia. A specimen should be retained for confirmation."
"Coleophora adjunctella","Coleophora adjunctella","NHMSYS0000501814",,,"4: Species that can only be identified following critical assessment often involving dissection and examination of genitalia. A specimen should be retained for confirmation."
"Coleophora adspersella","Coleophora adspersella","NHMSYS0000501815",,,"4: Species that can only be identified following critical assessment often involving dissection and examination of genitalia. A specimen should be retained for confirmation."
"Coleophora aestuariella","Coleophora aestuariella","NHMSYS0000501816",,,"4: Species that can only be identified following critical assessment often involving dissection and examination of genitalia. A specimen should be retained for confirmation."
"Coleophora ahenella","Coleophora ahenella","NHMSYS0021142826",,,"4: Species that can only be identified following critical assessment often involving dissection and examination of genitalia. A specimen should be retained for confirmation."
"Coleophora albella","Coleophora albella","NBNSYS0000026071",,,"3: Very scarce species or species that are difficult to identify. A voucher specimen may be required by your County Recorder (seek advice before releasing the moth) particularly if the species record is outside of the normal flight period or geographical range. A good set of photographs showing all critical identification features clearly may suffice in some cases."
"Coleophora albicans","Coleophora albicans","NHMSYS0021142239",,,"4: Species that can only be identified following critical assessment often involving dissection and examination of genitalia. A specimen should be retained for confirmation."
"Coleophora albicosta","Coleophora albicosta","NHMSYS0000501821",,,"2: Can be confused with other species. Should not present any difficulty for experienced recorders; however, good quality photographs or a specimen will be required if the recorder is not familiar with the species, and experienced recorders may be expected to provide additional evidence if the species record is outside of the normal flight period or geographical range. Worn specimens (esp. micro-moths) are likely to be unidentifiable unless a specimen is retained for microscopic examination."
"Coleophora albidella","Coleophora albidella","NHMSYS0021142842",,,"4: Species that can only be identified following critical assessment often involving dissection and examination of genitalia. A specimen should be retained for confirmation."
"Coleophora albitarsella","Coleophora albitarsella","NHMSYS0000501823",,,"2: Can be confused with other species. Should not present any difficulty for experienced recorders; however, good quality photographs or a specimen will be required if the recorder is not familiar with the species, and experienced recorders may be expected to provide additional evidence if the species record is outside of the normal flight period or geographical range. Worn specimens (esp. micro-moths) are likely to be unidentifiable unless a specimen is retained for microscopic examination."
"Coleophora alcyonipennella","Coleophora alcyonipennella","NHMSYS0000501824",,,"4: Species that can only be identified following critical assessment often involving dissection and examination of genitalia. A specimen should be retained for confirmation."
"Coleophora alnifoliae","Coleophora alnifoliae","NHMSYS0000501825",,,"4: Species that can only be identified following critical assessment often involving dissection and examination of genitalia. A specimen should be retained for confirmation."
"Coleophora alticolella","Coleophora alticolella","NHMSYS0000501826",,,"4: Species that can only be identified following critical assessment often involving dissection and examination of genitalia. A specimen should be retained for confirmation."
"Coleophora amethystinella","Coleophora amethystinella","NHMSYS0021142835",,,"3: Very scarce species or species that are difficult to identify. A voucher specimen may be required by your County Recorder (seek advice before releasing the moth) particularly if the species record is outside of the normal flight period or geographical range. A good set of photographs showing all critical identification features clearly may suffice in some cases."
"Coleophora anatipennella","Coleophora anatipennella","NHMSYS0000501827",,,"4: Species that can only be identified following critical assessment often involving dissection and examination of genitalia. A specimen should be retained for confirmation."
"Coleophora antennariella","Coleophora antennariella","NHMSYS0000501829",,,"4: Species that can only be identified following critical assessment often involving dissection and examination of genitalia. A specimen should be retained for confirmation."
"Coleophora arctostaphyli","Coleophora arctostaphyli","NHMSYS0000501831",,,"4: Species that can only be identified following critical assessment often involving dissection and examination of genitalia. A specimen should be retained for confirmation."
"Coleophora argentula","Coleophora argentula","NHMSYS0000501833",,,"4: Species that can only be identified following critical assessment often involving dissection and examination of genitalia. A specimen should be retained for confirmation."
"Coleophora artemisicolella","Coleophora artemisicolella","NHMSYS0021142225",,,"4: Species that can only be identified following critical assessment often involving dissection and examination of genitalia. A specimen should be retained for confirmation."
"Coleophora asteris","Coleophora asteris","NHMSYS0000501836",,,"4: Species that can only be identified following critical assessment often involving dissection and examination of genitalia. A specimen should be retained for confirmation."
"Coleophora atriplicis","Coleophora atriplicis","NHMSYS0021142223",,,"4: Species that can only be identified following critical assessment often involving dissection and examination of genitalia. A specimen should be retained for confirmation."
"Coleophora badiipennella","Coleophora badiipennella","NHMSYS0021142813",,,"4: Species that can only be identified following critical assessment often involving dissection and examination of genitalia. A specimen should be retained for confirmation."
"Coleophora betulella","Coleophora betulella","NHMSYS0021142845",,,"4: Species that can only be identified following critical assessment often involving dissection and examination of genitalia. A specimen should be retained for confirmation."
"Coleophora binderella","Coleophora binderella","NHMSYS0000501843",,,"4: Species that can only be identified following critical assessment often involving dissection and examination of genitalia. A specimen should be retained for confirmation."
"Coleophora caespititiella","Coleophora caespititiella","NHMSYS0000501845",,,"4: Species that can only be identified following critical assessment often involving dissection and examination of genitalia. A specimen should be retained for confirmation."
"Coleophora calycotomella","Coleophora calycotomella","NHMSYS0021142830",,,"4: Species that can only be identified following critical assessment often involving dissection and examination of genitalia. A specimen should be retained for confirmation."
"Coleophora chalcogrammella","Coleophora chalcogrammella","NHMSYS0000501847",,,"3: Very scarce species or species that are difficult to identify. A voucher specimen may be required by your County Recorder (seek advice before releasing the moth) particularly if the species record is outside of the normal flight period or geographical range. A good set of photographs showing all critical identification features clearly may suffice in some cases."
"Coleophora clypeiferella","Coleophora clypeiferella","NHMSYS0000501848",,,"3: Very scarce species or species that are difficult to identify. A voucher specimen may be required by your County Recorder (seek advice before releasing the moth) particularly if the species record is outside of the normal flight period or geographical range. A good set of photographs showing all critical identification features clearly may suffice in some cases."
