"species","preferred_species_name","tvk","recording_period","seasonal_recording_period","additional_checks_required","id_difficulty"
"Neoitamus cyanurus","Neoitamus cyanurus","NBNSYS0000007904",,"05-01 to 10-31",,"3: Specimen needs checking under magnification and good lighting. Records accepted from experienced recorders without further question (unless the date, region or habitat was especially unusual). Beginners should get specimens checked at first until they gain experience. Usually not identifiable from a photo - unless you are lucky and get exactly the right features!"
"Neomochtherus pallipes","Neomochtherus pallipes","NBNSYS0100004212",,"08-01 to 08-31","2: Records for this species must always be verified (very rare, taxonomic uncertainty)","4: Voucher specimen should be retained. Confirmation would be required in the majority of cases, e.g. specimen having been checked by an acknowledged expert."
"Pamponerus germanicus","Pamponerus germanicus","NBNSYS0000007905",,"05-01 to 08-31",,"2: Can be identified in the field with care and experience. Needs a good view or the netting of a specimen to check, but the specimen can then be released. Beginners need to take specimens until they gain familiarity and experience. May be identifiable from a good photo or series of photos.              "
"Philonicus albiceps","Philonicus albiceps","NBNSYS0000007906",,"05-01 to 10-31",,"3: Specimen needs checking under magnification and good lighting. Records accepted from experienced recorders without further question (unless the date, region or habitat was especially unusual). Beginners should get specimens checked at first until they gain experience. Usually not identifiable from a photo - unless you are lucky and get exactly the right features!"
"Rhadiurgus variabilis","Rhadiurgus variabilis","NBNSYS0000007907",,"06-01 to 08-31",,"3: Specimen needs checking under magnification and good lighting. Records accepted from experienced recorders without further question (unless the date, region or habitat was especially unusual). Beginners should get specimens checked at first until they gain experience. Usually not identifiable from a photo - unless you are lucky and get exactly the right features!"
"Atherix ibis","Atherix ibis","NBNSYS0000007858",,"05-01 to 07-31",,"2: Can be identified in the field with care and experience. Needs a good view or the netting of a specimen to check, but the specimen can then be released. Beginners need to take specimens until they gain familiarity and experience. May be identifiable from a good photo or series of photos.              "
"Atrichops crassipes","Atrichops crassipes","NBNSYS0000007860",,"06-01 to 07-31",,"3: Specimen needs checking under magnification and good lighting. Records accepted from experienced recorders without further question (unless the date, region or habitat was especially unusual). Beginners should get specimens checked at first until they gain experience. Usually not identifiable from a photo - unless you are lucky and get exactly the right features!"
"Ibisia marginata","Ibisia marginata","NBNSYS0100003576",,"06-01 to 08-31",,"1: Can be identified at sight in the field by anyone with a bit of experience. Species with which the beginner rapidly becomes familiar. Usually identifiable from a photo."
"Bombylius canescens","Bombylius canescens","NBNSYS0000007941",,"05-01 to 08-31",,"2: Can be identified in the field with care and experience. Needs a good view or the netting of a specimen to check, but the specimen can then be released. Beginners need to take specimens until they gain familiarity and experience. May be identifiable from a good photo or series of photos.              "
"Bombylius discolor","Bombylius discolor","NBNSYS0000007942",,"03-01 to 06-30",,"2: Can be identified in the field with care and experience. Needs a good view or the netting of a specimen to check, but the specimen can then be released. Beginners need to take specimens until they gain familiarity and experience. May be identifiable from a good photo or series of photos.              "
"Bombylius major","Bombylius major","NBNSYS0000007943",,"03-01 to 06-30",,"1: Can be identified at sight in the field by anyone with a bit of experience. Species with which the beginner rapidly becomes familiar. Usually identifiable from a photo."
"Bombylius minor","Bombylius minor","NBNSYS0000007944",,"07-01 to 08-31",,"2: Can be identified in the field with care and experience. Needs a good view or the netting of a specimen to check, but the specimen can then be released. Beginners need to take specimens until they gain familiarity and experience. May be identifiable from a good photo or series of photos.              "
"Phthiria pulicaria","Phthiria pulicaria","NBNSYS0000007949",,"05-01 to 08-31",,"2: Can be identified in the field with care and experience. Needs a good view or the netting of a specimen to check, but the specimen can then be released. Beginners need to take specimens until they gain familiarity and experience. May be identifiable from a good photo or series of photos.              "
"Thyridanthrax fenestratus","Thyridanthrax fenestratus","NBNSYS0000007945",,"05-01 to 09-30",,"1: Can be identified at sight in the field by anyone with a bit of experience. Species with which the beginner rapidly becomes familiar. Usually identifiable from a photo."
"Villa cingulata","Villa cingulata","NBNSYS0000007946",,"06-01 to 08-31",,"3: Specimen needs checking under magnification and good lighting. Records accepted from experienced recorders without further question (unless the date, region or habitat was especially unusual). Beginners should get specimens checked at first until they gain experience. Usually not identifiable from a photo - unless you are lucky and get exactly the right features!"
"Villa modesta","Villa modesta","NBNSYS0000158982",,"06-01 to 09-30",,"3: Specimen needs checking under magnification and good lighting. Records accepted from experienced recorders without further question (unless the date, region or habitat was especially unusual). Beginners should get specimens checked at first until they gain experience. Usually not identifiable from a photo - unless you are lucky and get exactly the right features!"
"Villa venusta","Villa venusta","NBNSYS0100005964"," to 1958-12-31","07-01 to 08-31","2: Records for this species must always be verified (very rare, taxonomic uncertainty)","4: Voucher specimen should be retained. Confirmation would be required in the majority of cases, e.g. specimen having been checked by an acknowledged expert."
"Chrysopilus asiliformis","Chrysopilus asiliformis","NBNSYS0100020496",,"05-01 to 08-31",,"2: Can be identified in the field with care and experience. Needs a good view or the netting of a specimen to check, but the specimen can then be released. Beginners need to take specimens until they gain familiarity and experience. May be identifiable from a good photo or series of photos.              "
"Chrysopilus cristatus","Chrysopilus cristatus","NBNSYS0000007850",,"05-01 to 08-31",,"2: Can be identified in the field with care and experience. Needs a good view or the netting of a specimen to check, but the specimen can then be released. Beginners need to take specimens until they gain familiarity and experience. May be identifiable from a good photo or series of photos.              "
"Chrysopilus erythrophthalmus","Chrysopilus erythrophthalmus","NBNSYS0000007851",,"06-01 to 08-31",,"3: Specimen needs checking under magnification and good lighting. Records accepted from experienced recorders without further question (unless the date, region or habitat was especially unusual). Beginners should get specimens checked at first until they gain experience. Usually not identifiable from a photo - unless you are lucky and get exactly the right features!"
"Chrysopilus laetus","Chrysopilus laetus","NBNSYS0000007852",,"07-01 to 07-31",,"4: Voucher specimen should be retained. Confirmation would be required in the majority of cases, e.g. specimen having been checked by an acknowledged expert."
"Ptiolina nigra","Ptiolina nigra","NBNSYS0100004993",,"05-01 to 06-30","2: Records for this species must always be verified (very rare, taxonomic uncertainty)","5: Even the most expert of recorders would seek a second opinion. Specimen may need to be passed on to further experts for comparison with a wider range of material."
"Ptiolina obscura","Ptiolina obscura","NBNSYS0000007854",,"05-01 to 07-31","2: Records for this species must always be verified (very rare, taxonomic uncertainty)","5: Even the most expert of recorders would seek a second opinion. Specimen may need to be passed on to further experts for comparison with a wider range of material."
"Rhagio annulatus","Rhagio annulatus","NBNSYS0000007861",,"05-01 to 06-30",,"4: Voucher specimen should be retained. Confirmation would be required in the majority of cases, e.g. specimen having been checked by an acknowledged expert."
"Rhagio lineola","Rhagio lineola","NBNSYS0000007862",,"05-01 to 09-30",,"2: Can be identified in the field with care and experience. Needs a good view or the netting of a specimen to check, but the specimen can then be released. Beginners need to take specimens until they gain familiarity and experience. May be identifiable from a good photo or series of photos.              "
"Rhagio notatus","Rhagio notatus","NBNSYS0000007863",,"05-01 to 07-31",,"3: Specimen needs checking under magnification and good lighting. Records accepted from experienced recorders without further question (unless the date, region or habitat was especially unusual). Beginners should get specimens checked at first until they gain experience. Usually not identifiable from a photo - unless you are lucky and get exactly the right features!"
"Rhagio scolopaceus","Rhagio scolopaceus","NBNSYS0100005063",,"05-01 to 08-31",,"1: Can be identified at sight in the field by anyone with a bit of experience. Species with which the beginner rapidly becomes familiar. Usually identifiable from a photo."
"Rhagio strigosus","Rhagio strigosus","NBNSYS0000007865",,"06-01 to 08-31",,"4: Voucher specimen should be retained. Confirmation would be required in the majority of cases, e.g. specimen having been checked by an acknowledged expert."
"Rhagio tringarius","Rhagio tringarius","NBNSYS0000007866",,"05-01 to 09-30",,"2: Can be identified in the field with care and experience. Needs a good view or the netting of a specimen to check, but the specimen can then be released. Beginners need to take specimens until they gain familiarity and experience. May be identifiable from a good photo or series of photos.              "
"Spania nigra","Spania nigra","NBNSYS0000007855",,"05-01 to 08-31",,"4: Voucher specimen should be retained. Confirmation would be required in the majority of cases, e.g. specimen having been checked by an acknowledged expert."
"Symphoromyia crassicornis","Symphoromyia crassicornis","NBNSYS0100020558",,"06-01 to 07-31",,"3: Specimen needs checking under magnification and good lighting. Records accepted from experienced recorders without further question (unless the date, region or habitat was especially unusual). Beginners should get specimens checked at first until they gain experience. Usually not identifiable from a photo - unless you are lucky and get exactly the right features!"
"Symphoromyia immaculata","Symphoromyia immaculata","NBNSYS0000007857",,"05-01 to 08-31",,"3: Specimen needs checking under magnification and good lighting. Records accepted from experienced recorders without further question (unless the date, region or habitat was especially unusual). Beginners should get specimens checked at first until they gain experience. Usually not identifiable from a photo - unless you are lucky and get exactly the right features!"
"Scenopinus fenestralis","Scenopinus fenestralis","NBNSYS0000007935",,"06-01 to 08-31",,"3: Specimen needs checking under magnification and good lighting. Records accepted from experienced recorders without further question (unless the date, region or habitat was especially unusual). Beginners should get specimens checked at first until they gain experience. Usually not identifiable from a photo - unless you are lucky and get exactly the right features!"
"Scenopinus niger","Scenopinus niger","NBNSYS0000007937",,"05-01 to 07-31",,"3: Specimen needs checking under magnification and good lighting. Records accepted from experienced recorders without further question (unless the date, region or habitat was especially unusual). Beginners should get specimens checked at first until they gain experience. Usually not identifiable from a photo - unless you are lucky and get exactly the right features!"
"Beris chalybata","Beris chalybata","NBNSYS0000007795",,"04-01 to 09-30",,"3: Specimen needs checking under magnification and good lighting. Records accepted from experienced recorders without further question (unless the date, region or habitat was especially unusual). Beginners should get specimens checked at first until they gain experience. Usually not identifiable from a photo - unless you are lucky and get exactly the right features!"
"Beris clavipes","Beris clavipes","NBNSYS0000007796",,"05-01 to 06-30",,"2: Can be identified in the field with care and experience. Needs a good view or the netting of a specimen to check, but the specimen can then be released. Beginners need to take specimens until they gain familiarity and experience. May be identifiable from a good photo or series of photos.              "
"Beris fuscipes","Beris fuscipes","NBNSYS0000007797",,"05-01 to 09-30",,"3: Specimen needs checking under magnification and good lighting. Records accepted from experienced recorders without further question (unless the date, region or habitat was especially unusual). Beginners should get specimens checked at first until they gain experience. Usually not identifiable from a photo - unless you are lucky and get exactly the right features!"
"Beris geniculata","Beris geniculata","NBNSYS0100020660",,"05-01 to 09-30",,"3: Specimen needs checking under magnification and good lighting. Records accepted from experienced recorders without further question (unless the date, region or habitat was especially unusual). Beginners should get specimens checked at first until they gain experience. Usually not identifiable from a photo - unless you are lucky and get exactly the right features!"
"Beris morrisii","Beris morrisii","NBNSYS0000007799",,"05-01 to 09-30",,"3: Specimen needs checking under magnification and good lighting. Records accepted from experienced recorders without further question (unless the date, region or habitat was especially unusual). Beginners should get specimens checked at first until they gain experience. Usually not identifiable from a photo - unless you are lucky and get exactly the right features!"
"Beris vallata","Beris vallata","NBNSYS0000007800",,"05-01 to 09-30",,"2: Can be identified in the field with care and experience. Needs a good view or the netting of a specimen to check, but the specimen can then be released. Beginners need to take specimens until they gain familiarity and experience. May be identifiable from a good photo or series of photos.              "
"Chloromyia formosa","Chloromyia formosa","NBNSYS0000007825",,"05-01 to 08-31",,"1: Can be identified at sight in the field by anyone with a bit of experience. Species with which the beginner rapidly becomes familiar. Usually identifiable from a photo."
"Chorisops nagatomii","Chorisops nagatomii","NHMSYS0020734178",,"05-01 to 10-31",,"3: Specimen needs checking under magnification and good lighting. Records accepted from experienced recorders without further question (unless the date, region or habitat was especially unusual). Beginners should get specimens checked at first until they gain experience. Usually not identifiable from a photo - unless you are lucky and get exactly the right features!"
"Chorisops tibialis","Chorisops tibialis","NBNSYS0000007802",,"05-01 to 09-30",,"3: Specimen needs checking under magnification and good lighting. Records accepted from experienced recorders without further question (unless the date, region or habitat was especially unusual). Beginners should get specimens checked at first until they gain experience. Usually not identifiable from a photo - unless you are lucky and get exactly the right features!"
"Clitellaria ephippium","Clitellaria ephippium","NBNSYS0000007803",,,"2: Records for this species must always be verified (very rare, taxonomic uncertainty)","4: Voucher specimen should be retained. Confirmation would be required in the majority of cases, e.g. specimen having been checked by an acknowledged expert."
"Eupachygaster tarsalis","Eupachygaster tarsalis","NBNSYS0000007824",,"05-01 to 07-31",,"3: Specimen needs checking under magnification and good lighting. Records accepted from experienced recorders without further question (unless the date, region or habitat was especially unusual). Beginners should get specimens checked at first until they gain experience. Usually not identifiable from a photo - unless you are lucky and get exactly the right features!"
"Microchrysa cyaneiventris","Microchrysa cyaneiventris","NBNSYS0000007826",,"05-01 to 09-30",,"2: Can be identified in the field with care and experience. Needs a good view or the netting of a specimen to check, but the specimen can then be released. Beginners need to take specimens until they gain familiarity and experience. May be identifiable from a good photo or series of photos.              "
"Microchrysa flavicornis","Microchrysa flavicornis","NBNSYS0000007827",,"05-01 to 09-30",,"2: Can be identified in the field with care and experience. Needs a good view or the netting of a specimen to check, but the specimen can then be released. Beginners need to take specimens until they gain familiarity and experience. May be identifiable from a good photo or series of photos.              "
"Microchrysa polita","Microchrysa polita","NBNSYS0000007828",,"03-01 to 10-31",,"2: Can be identified in the field with care and experience. Needs a good view or the netting of a specimen to check, but the specimen can then be released. Beginners need to take specimens until they gain familiarity and experience. May be identifiable from a good photo or series of photos.              "
"Nemotelus nigrinus","Nemotelus nigrinus","NBNSYS0000007804",,"05-01 to 08-31",,"3: Specimen needs checking under magnification and good lighting. Records accepted from experienced recorders without further question (unless the date, region or habitat was especially unusual). Beginners should get specimens checked at first until they gain experience. Usually not identifiable from a photo - unless you are lucky and get exactly the right features!"
"Nemotelus notatus","Nemotelus notatus","NBNSYS0000007805",,"05-01 to 08-31",,"3: Specimen needs checking under magnification and good lighting. Records accepted from experienced recorders without further question (unless the date, region or habitat was especially unusual). Beginners should get specimens checked at first until they gain experience. Usually not identifiable from a photo - unless you are lucky and get exactly the right features!"
"Nemotelus pantherinus","Nemotelus pantherinus","NBNSYS0000007806",,"06-01 to 08-31",,"3: Specimen needs checking under magnification and good lighting. Records accepted from experienced recorders without further question (unless the date, region or habitat was especially unusual). Beginners should get specimens checked at first until they gain experience. Usually not identifiable from a photo - unless you are lucky and get exactly the right features!"
"Nemotelus uliginosus","Nemotelus uliginosus","NBNSYS0000007807",,"06-01 to 09-30",,"3: Specimen needs checking under magnification and good lighting. Records accepted from experienced recorders without further question (unless the date, region or habitat was especially unusual). Beginners should get specimens checked at first until they gain experience. Usually not identifiable from a photo - unless you are lucky and get exactly the right features!"
"Neopachygaster meromelas","Neopachygaster meromelas","NBNSYS0100004215",,"06-01 to 08-31",,"3: Specimen needs checking under magnification and good lighting. Records accepted from experienced recorders without further question (unless the date, region or habitat was especially unusual). Beginners should get specimens checked at first until they gain experience. Usually not identifiable from a photo - unless you are lucky and get exactly the right features!"
"Odontomyia angulata","Odontomyia angulata","NBNSYS0000007833",,"06-01 to 08-31",,"3: Specimen needs checking under magnification and good lighting. Records accepted from experienced recorders without further question (unless the date, region or habitat was especially unusual). Beginners should get specimens checked at first until they gain experience. Usually not identifiable from a photo - unless you are lucky and get exactly the right features!"
"Odontomyia argentata","Odontomyia argentata","NBNSYS0000007834",,"04-01 to 06-30",,"2: Can be identified in the field with care and experience. Needs a good view or the netting of a specimen to check, but the specimen can then be released. Beginners need to take specimens until they gain familiarity and experience. May be identifiable from a good photo or series of photos.              "
"Odontomyia hydroleon","Odontomyia hydroleon","NBNSYS0000007835","1986-01-01 to present","07-01 to 07-31",,"3: Specimen needs checking under magnification and good lighting. Records accepted from experienced recorders without further question (unless the date, region or habitat was especially unusual). Beginners should get specimens checked at first until they gain experience. Usually not identifiable from a photo - unless you are lucky and get exactly the right features!"
"Odontomyia ornata","Odontomyia ornata","NBNSYS0100020744",,"04-01 to 07-31",,"2: Can be identified in the field with care and experience. Needs a good view or the netting of a specimen to check, but the specimen can then be released. Beginners need to take specimens until they gain familiarity and experience. May be identifiable from a good photo or series of photos.              "
"Odontomyia tigrina","Odontomyia tigrina","NBNSYS0000007837",,"05-01 to 06-30",,"2: Can be identified in the field with care and experience. Needs a good view or the netting of a specimen to check, but the specimen can then be released. Beginners need to take specimens until they gain familiarity and experience. May be identifiable from a good photo or series of photos.              "
"Oplodontha viridula","Oplodontha viridula","NBNSYS0000007838",,"05-01 to 08-31",,"3: Specimen needs checking under magnification and good lighting. Records accepted from experienced recorders without further question (unless the date, region or habitat was especially unusual). Beginners should get specimens checked at first until they gain experience. Usually not identifiable from a photo - unless you are lucky and get exactly the right features!"
"Oxycera analis","Oxycera analis","NBNSYS0000007808",,"05-01 to 07-31",,"2: Can be identified in the field with care and experience. Needs a good view or the netting of a specimen to check, but the specimen can then be released. Beginners need to take specimens until they gain familiarity and experience. May be identifiable from a good photo or series of photos.              "
"Oxycera dives","Oxycera dives","NBNSYS0000007809",,"06-01 to 07-31",,"2: Can be identified in the field with care and experience. Needs a good view or the netting of a specimen to check, but the specimen can then be released. Beginners need to take specimens until they gain familiarity and experience. May be identifiable from a good photo or series of photos.              "
"Oxycera fallenii","Oxycera fallenii","NBNSYS0000007810","1997-01-01 to present","07-01 to 08-31","2: Records for this species must always be verified (very rare, taxonomic uncertainty)","2: Can be identified in the field with care and experience. Needs a good view or the netting of a specimen to check, but the specimen can then be released. Beginners need to take specimens until they gain familiarity and experience. May be identifiable from a good photo or series of photos.              "
"Oxycera leonina","Oxycera leonina","NBNSYS0000007812","1989-07-06 to present","06-01 to 07-31","2: Records for this species must always be verified (very rare, taxonomic uncertainty)","3: Specimen needs checking under magnification and good lighting. Records accepted from experienced recorders without further question (unless the date, region or habitat was especially unusual). Beginners should get specimens checked at first until they gain experience. Usually not identifiable from a photo - unless you are lucky and get exactly the right features!"
"Oxycera morrisii","Oxycera morrisii","NBNSYS0000007813",,"06-01 to 08-31",,"3: Specimen needs checking under magnification and good lighting. Records accepted from experienced recorders without further question (unless the date, region or habitat was especially unusual). Beginners should get specimens checked at first until they gain experience. Usually not identifiable from a photo - unless you are lucky and get exactly the right features!"
"Oxycera nigricornis","Oxycera nigricornis","NHMSYS0020734187",,"05-01 to 08-31",,"3: Specimen needs checking under magnification and good lighting. Records accepted from experienced recorders without further question (unless the date, region or habitat was especially unusual). Beginners should get specimens checked at first until they gain experience. Usually not identifiable from a photo - unless you are lucky and get exactly the right features!"
"Oxycera pardalina","Oxycera pardalina","NBNSYS0000007814",,"06-01 to 08-31",,"3: Specimen needs checking under magnification and good lighting. Records accepted from experienced recorders without further question (unless the date, region or habitat was especially unusual). Beginners should get specimens checked at first until they gain experience. Usually not identifiable from a photo - unless you are lucky and get exactly the right features!"
"Oxycera pygmaea","Oxycera pygmaea","NBNSYS0000007815",,"05-01 to 08-31",,"3: Specimen needs checking under magnification and good lighting. Records accepted from experienced recorders without further question (unless the date, region or habitat was especially unusual). Beginners should get specimens checked at first until they gain experience. Usually not identifiable from a photo - unless you are lucky and get exactly the right features!"
"Oxycera rara","Oxycera rara","NBNSYS0000007816",,"05-01 to 08-31",,"2: Can be identified in the field with care and experience. Needs a good view or the netting of a specimen to check, but the specimen can then be released. Beginners need to take specimens until they gain familiarity and experience. May be identifiable from a good photo or series of photos.              "
"Oxycera terminata","Oxycera terminata","NBNSYS0000007817",,"06-01 to 07-31",,"3: Specimen needs checking under magnification and good lighting. Records accepted from experienced recorders without further question (unless the date, region or habitat was especially unusual). Beginners should get specimens checked at first until they gain experience. Usually not identifiable from a photo - unless you are lucky and get exactly the right features!"
"Oxycera trilineata","Oxycera trilineata","NBNSYS0000007818",,"06-01 to 09-30",,"2: Can be identified in the field with care and experience. Needs a good view or the netting of a specimen to check, but the specimen can then be released. Beginners need to take specimens until they gain familiarity and experience. May be identifiable from a good photo or series of photos.              "
"Oxycera varipes","Oxycera varipes","NBNSYS0000033213",,,"2: Records for this species must always be verified (very rare, taxonomic uncertainty)","4: Voucher specimen should be retained. Confirmation would be required in the majority of cases, e.g. specimen having been checked by an acknowledged expert."
"Pachygaster atra","Pachygaster atra","NBNSYS0000007820",,"05-01 to 08-31",,"2: Can be identified in the field with care and experience. Needs a good view or the netting of a specimen to check, but the specimen can then be released. Beginners need to take specimens until they gain familiarity and experience. May be identifiable from a good photo or series of photos.              "
"Pachygaster leachii","Pachygaster leachii","NBNSYS0100020703",,"06-01 to 08-31",,"2: Can be identified in the field with care and experience. Needs a good view or the netting of a specimen to check, but the specimen can then be released. Beginners need to take specimens until they gain familiarity and experience. May be identifiable from a good photo or series of photos.              "
"Sargus bipunctatus","Sargus bipunctatus","NBNSYS0000007829",,"07-01 to 11-30",,"2: Can be identified in the field with care and experience. Needs a good view or the netting of a specimen to check, but the specimen can then be released. Beginners need to take specimens until they gain familiarity and experience. May be identifiable from a good photo or series of photos.              "
"Sargus cuprarius","Sargus cuprarius","NBNSYS0000007830",,"06-01 to 09-30",,"4: Voucher specimen should be retained. Confirmation would be required in the majority of cases, e.g. specimen having been checked by an acknowledged expert."
