"species","preferred_species_name","tvk","recording_period","seasonal_recording_period","id_difficulty"
"Aepus marinus","Aepus marinus","NHMSYS0001716523",,,"3: Less distinctive; reliably accurate identification comes with experience. (Includes species which are distinctive if dissected but otherwise less distinctive). A field photograph will usually not show enough to allow confident identification."
"Aepus robinii","Aepus robinii","NHMSYS0001716525",,,"3: Less distinctive; reliably accurate identification comes with experience. (Includes species which are distinctive if dissected but otherwise less distinctive). A field photograph will usually not show enough to allow confident identification."
"Agonum (Agonum) chalconotum","Agonum chalconotum","NHMSYS0001716593"," to 1914-12-13",,"5: Identifications always require confirmation from a designated expert. For most of these species, a field photograph will not be sufficient to allow confident identification."
"Agonum (Agonum) emarginatum","Agonum emarginatum","NHMSYS0001716594",,,"3: Less distinctive; reliably accurate identification comes with experience. (Includes species which are distinctive if dissected but otherwise less distinctive). A field photograph will usually not show enough to allow confident identification."
"Agonum (Agonum) ericeti","Agonum ericeti","NHMSYS0001716595",,,"3: Less distinctive; reliably accurate identification comes with experience. (Includes species which are distinctive if dissected but otherwise less distinctive). A field photograph will usually not show enough to allow confident identification."
"Agonum (Europhilus) fuliginosum","Agonum fuliginosum","NHMSYS0001716605",,,"3: Less distinctive; reliably accurate identification comes with experience. (Includes species which are distinctive if dissected but otherwise less distinctive). A field photograph will usually not show enough to allow confident identification."
"Agonum (Europhilus) gracile","Agonum gracile","NHMSYS0001716606",,,"4: Difficult to identify, or poorly covered by available guides. Worth getting a second opinion and/or comparing to a reliable reference collection. For most of these species, a field photograph will not be sufficient to allow confident identification."
"Agonum (Agonum) gracilipes","Agonum gracilipes","NHMSYS0001716596"," to 1987-12-13","05-01 to 09-30","5: Identifications always require confirmation from a designated expert. For most of these species, a field photograph will not be sufficient to allow confident identification."
"Agonum (Agonum) lugens","Agonum lugens","NHMSYS0001716597","1985-01-01 to present",,"5: Identifications always require confirmation from a designated expert. For most of these species, a field photograph will not be sufficient to allow confident identification."
"Agonum (Agonum) marginatum","Agonum marginatum","NHMSYS0001716598",,,"1: Distinctive and rarely misidentified by any mature person of sound mind. Almost always identifiable from a field photograph."
"Agonum (Europhilus) micans","Agonum micans","NHMSYS0001716607",,,"4: Difficult to identify, or poorly covered by available guides. Worth getting a second opinion and/or comparing to a reliable reference collection. For most of these species, a field photograph will not be sufficient to allow confident identification."
"Agonum (Agonum) muelleri","Agonum muelleri","NHMSYS0001716599",,,"2: Fairly distinctive and can be accurately identified using available guides, even on first encounter. Usually identifiable from a field photograph."
"Agonum (Agonum) nigrum","Agonum nigrum","NHMSYS0001716600",,,"3: Less distinctive; reliably accurate identification comes with experience. (Includes species which are distinctive if dissected but otherwise less distinctive). A field photograph will usually not show enough to allow confident identification."
"Agonum (Europhilus) piceum","Agonum piceum","NHMSYS0001716608",,,"4: Difficult to identify, or poorly covered by available guides. Worth getting a second opinion and/or comparing to a reliable reference collection. For most of these species, a field photograph will not be sufficient to allow confident identification."
"Agonum (Europhilus) scitulum","Agonum scitulum","NHMSYS0001716609"," to 1985-12-13",,"5: Identifications always require confirmation from a designated expert. For most of these species, a field photograph will not be sufficient to allow confident identification."
"Agonum (Agonum) sexpunctatum","Agonum sexpunctatum","NHMSYS0001716601",,,"3: Less distinctive; reliably accurate identification comes with experience. (Includes species which are distinctive if dissected but otherwise less distinctive). A field photograph will usually not show enough to allow confident identification."
"Agonum (Europhilus) thoreyi","Agonum thoreyi","NHMSYS0001716610",,,"3: Less distinctive; reliably accurate identification comes with experience. (Includes species which are distinctive if dissected but otherwise less distinctive). A field photograph will usually not show enough to allow confident identification."
"Agonum (Agonum) versutum","Agonum versutum","NHMSYS0001716602",,,"4: Difficult to identify, or poorly covered by available guides. Worth getting a second opinion and/or comparing to a reliable reference collection. For most of these species, a field photograph will not be sufficient to allow confident identification."
"Agonum (Agonum) viduum","Agonum viduum","NHMSYS0001716603",,,"3: Less distinctive; reliably accurate identification comes with experience. (Includes species which are distinctive if dissected but otherwise less distinctive). A field photograph will usually not show enough to allow confident identification."
"Amara (Amara) aenea","Amara aenea","NHMSYS0001716720",,,"3: Less distinctive; reliably accurate identification comes with experience. (Includes species which are distinctive if dissected but otherwise less distinctive). A field photograph will usually not show enough to allow confident identification."
"Amara (Amara) anthobia","Amara anthobia","NHMSYS0001716721","1905-01-01 to present",,"3: Less distinctive; reliably accurate identification comes with experience. (Includes species which are distinctive if dissected but otherwise less distinctive). A field photograph will usually not show enough to allow confident identification."
"Amara (Bradytus) apricaria","Amara apricaria","NHMSYS0001716737",,,"3: Less distinctive; reliably accurate identification comes with experience. (Includes species which are distinctive if dissected but otherwise less distinctive). A field photograph will usually not show enough to allow confident identification."
"Amara (Celia) bifrons","Amara bifrons","NHMSYS0001716741",,,"3: Less distinctive; reliably accurate identification comes with experience. (Includes species which are distinctive if dissected but otherwise less distinctive). A field photograph will usually not show enough to allow confident identification."
"Amara (Amara) communis","Amara communis","NHMSYS0001716722",,,"3: Less distinctive; reliably accurate identification comes with experience. (Includes species which are distinctive if dissected but otherwise less distinctive). A field photograph will usually not show enough to allow confident identification."
"Amara (Bradytus) consularis","Amara consularis","NHMSYS0001716738",,,"3: Less distinctive; reliably accurate identification comes with experience. (Includes species which are distinctive if dissected but otherwise less distinctive). A field photograph will usually not show enough to allow confident identification."
"Amara (Amara) convexior","Amara convexior","NHMSYS0001716723",,,"3: Less distinctive; reliably accurate identification comes with experience. (Includes species which are distinctive if dissected but otherwise less distinctive). A field photograph will usually not show enough to allow confident identification."
"Amara (Celia) cursitans","Amara cursitans","NHMSYS0001716742","1953-01-01 to 1953-12-13",,"5: Identifications always require confirmation from a designated expert. For most of these species, a field photograph will not be sufficient to allow confident identification."
"Amara (Amara) curta","Amara curta","NHMSYS0001716724",,,"3: Less distinctive; reliably accurate identification comes with experience. (Includes species which are distinctive if dissected but otherwise less distinctive). A field photograph will usually not show enough to allow confident identification."
"Amara (Percosia) equestris","Amara equestris","NHMSYS0001716749",,,"3: Less distinctive; reliably accurate identification comes with experience. (Includes species which are distinctive if dissected but otherwise less distinctive). A field photograph will usually not show enough to allow confident identification."
"Amara (Amara) eurynota","Amara eurynota","NHMSYS0001716725",,,"3: Less distinctive; reliably accurate identification comes with experience. (Includes species which are distinctive if dissected but otherwise less distinctive). A field photograph will usually not show enough to allow confident identification."
"Amara (Amara) famelica","Amara famelica","NHMSYS0001716726","1896-01-01 to present",,"4: Difficult to identify, or poorly covered by available guides. Worth getting a second opinion and/or comparing to a reliable reference collection. For most of these species, a field photograph will not be sufficient to allow confident identification."
"Amara (Amara) familiaris","Amara familiaris","NHMSYS0001716727",,,"3: Less distinctive; reliably accurate identification comes with experience. (Includes species which are distinctive if dissected but otherwise less distinctive). A field photograph will usually not show enough to allow confident identification."
"Amara (Bradytus) fulva","Amara fulva","NHMSYS0001716739",,,"3: Less distinctive; reliably accurate identification comes with experience. (Includes species which are distinctive if dissected but otherwise less distinctive). A field photograph will usually not show enough to allow confident identification."
"Amara (Celia) fusca","Amara fusca","NHMSYS0001716743",,,"3: Less distinctive; reliably accurate identification comes with experience. (Includes species which are distinctive if dissected but otherwise less distinctive). A field photograph will usually not show enough to allow confident identification."
"Amara (Celia) infima","Amara infima","NHMSYS0001716744",,,"3: Less distinctive; reliably accurate identification comes with experience. (Includes species which are distinctive if dissected but otherwise less distinctive). A field photograph will usually not show enough to allow confident identification."
"Amara (Amara) lucida","Amara lucida","NHMSYS0001716728",,,"3: Less distinctive; reliably accurate identification comes with experience. (Includes species which are distinctive if dissected but otherwise less distinctive). A field photograph will usually not show enough to allow confident identification."
"Amara (Amara) lunicollis","Amara lunicollis","NHMSYS0001716729",,,"3: Less distinctive; reliably accurate identification comes with experience. (Includes species which are distinctive if dissected but otherwise less distinctive). A field photograph will usually not show enough to allow confident identification."
"Amara (Amara) montivaga","Amara montivaga","NHMSYS0001716730","1950-01-01 to present",,"4: Difficult to identify, or poorly covered by available guides. Worth getting a second opinion and/or comparing to a reliable reference collection. For most of these species, a field photograph will not be sufficient to allow confident identification."
"Amara (Amara) nitida","Amara nitida","NHMSYS0001716731",,,"5: Identifications always require confirmation from a designated expert. For most of these species, a field photograph will not be sufficient to allow confident identification."
"Amara (Amara) ovata","Amara ovata","NHMSYS0001716732",,,"3: Less distinctive; reliably accurate identification comes with experience. (Includes species which are distinctive if dissected but otherwise less distinctive). A field photograph will usually not show enough to allow confident identification."
"Amara (Zezea) plebeja","Amara plebeja","NHMSYS0001716751",,,"3: Less distinctive; reliably accurate identification comes with experience. (Includes species which are distinctive if dissected but otherwise less distinctive). A field photograph will usually not show enough to allow confident identification."
"Amara (Celia) praetermissa","Amara praetermissa","NHMSYS0001716745",,,"3: Less distinctive; reliably accurate identification comes with experience. (Includes species which are distinctive if dissected but otherwise less distinctive). A field photograph will usually not show enough to allow confident identification."
"Amara (Paracelia) quenseli","Amara quenseli","NHMSYS0001716747",,"04-01 to 10-31","3: Less distinctive; reliably accurate identification comes with experience. (Includes species which are distinctive if dissected but otherwise less distinctive). A field photograph will usually not show enough to allow confident identification."
"Amara (Amara) similata","Amara similata","NHMSYS0001716733",,,"3: Less distinctive; reliably accurate identification comes with experience. (Includes species which are distinctive if dissected but otherwise less distinctive). A field photograph will usually not show enough to allow confident identification."
"Amara (Amara) spreta","Amara spreta","NHMSYS0001716734",,,"4: Difficult to identify, or poorly covered by available guides. Worth getting a second opinion and/or comparing to a reliable reference collection. For most of these species, a field photograph will not be sufficient to allow confident identification."
"Amara (Zezea) strenua","Amara strenua","NHMSYS0001716752",,,"3: Less distinctive; reliably accurate identification comes with experience. (Includes species which are distinctive if dissected but otherwise less distinctive). A field photograph will usually not show enough to allow confident identification."
"Amara (Amara) tibialis","Amara tibialis","NHMSYS0001716735",,,"2: Fairly distinctive and can be accurately identified using available guides, even on first encounter. Usually identifiable from a field photograph."
"Anchomenus dorsalis","Anchomenus dorsalis","NHMSYS0001716795",,,"1: Distinctive and rarely misidentified by any mature person of sound mind. Almost always identifiable from a field photograph."
"Anisodactylus binotatus","Anisodactylus binotatus","NHMSYS0001716807",,,"3: Less distinctive; reliably accurate identification comes with experience. (Includes species which are distinctive if dissected but otherwise less distinctive). A field photograph will usually not show enough to allow confident identification."
"Anisodactylus nemorivagus","Anisodactylus nemorivagus","NBNSYS0000007411",,,"3: Less distinctive; reliably accurate identification comes with experience. (Includes species which are distinctive if dissected but otherwise less distinctive). A field photograph will usually not show enough to allow confident identification."
"Anisodactylus poeciloides","Anisodactylus poeciloides","NBNSYS0000007412",,,"2: Fairly distinctive and can be accurately identified using available guides, even on first encounter. Usually identifiable from a field photograph."
"Anthracus consputus","Anthracus consputus","NHMSYS0001716871",,,"2: Fairly distinctive and can be accurately identified using available guides, even on first encounter. Usually identifiable from a field photograph."
"Asaphidion curtum","Asaphidion curtum","NBNSYS0000007203","1986-01-01 to present",,"3: Less distinctive; reliably accurate identification comes with experience. (Includes species which are distinctive if dissected but otherwise less distinctive). A field photograph will usually not show enough to allow confident identification."
"Asaphidion flavipes","Asaphidion flavipes","NBNSYS0000007204","1986-01-01 to present",,"3: Less distinctive; reliably accurate identification comes with experience. (Includes species which are distinctive if dissected but otherwise less distinctive). A field photograph will usually not show enough to allow confident identification."
"Asaphidion pallipes","Asaphidion pallipes","NBNSYS0000007206",,"04-01 to 09-30","2: Fairly distinctive and can be accurately identified using available guides, even on first encounter. Usually identifiable from a field photograph."
"Asaphidion stierlini","Asaphidion stierlini","NBNSYS0000007207","1986-01-01 to present",,"3: Less distinctive; reliably accurate identification comes with experience. (Includes species which are distinctive if dissected but otherwise less distinctive). A field photograph will usually not show enough to allow confident identification."
"Badister (Badister) bullatus","Badister bullatus","NHMSYS0001717109",,,"2: Fairly distinctive and can be accurately identified using available guides, even on first encounter. Usually identifiable from a field photograph."
"Badister (Baudia) collaris","Badister collaris","NHMSYS0001717113","1955-01-01 to present",,"4: Difficult to identify, or poorly covered by available guides. Worth getting a second opinion and/or comparing to a reliable reference collection. For most of these species, a field photograph will not be sufficient to allow confident identification."
"Badister (Baudia) dilatatus","Badister dilatatus","NHMSYS0001717114","1955-01-01 to present",,"4: Difficult to identify, or poorly covered by available guides. Worth getting a second opinion and/or comparing to a reliable reference collection. For most of these species, a field photograph will not be sufficient to allow confident identification."
"Badister (Badister) meridionalis","Badister meridionalis","NHMSYS0001717110","1972-01-01 to present",,"4: Difficult to identify, or poorly covered by available guides. Worth getting a second opinion and/or comparing to a reliable reference collection. For most of these species, a field photograph will not be sufficient to allow confident identification."
"Badister (Baudia) peltatus","Badister peltatus","NHMSYS0001717115","1955-01-01 to present",,"4: Difficult to identify, or poorly covered by available guides. Worth getting a second opinion and/or comparing to a reliable reference collection. For most of these species, a field photograph will not be sufficient to allow confident identification."
"Badister (Trimorphus) sodalis","Badister sodalis","NHMSYS0001717117",,,"2: Fairly distinctive and can be accurately identified using available guides, even on first encounter. Usually identifiable from a field photograph."
"Badister (Badister) unipustulatus","Badister unipustulatus","NHMSYS0001717111",,,"3: Less distinctive; reliably accurate identification comes with experience. (Includes species which are distinctive if dissected but otherwise less distinctive). A field photograph will usually not show enough to allow confident identification."
"Batenus livens","Batenus livens","NHMSYS0001717131",,,"2: Fairly distinctive and can be accurately identified using available guides, even on first encounter. Usually identifiable from a field photograph."
"Bembidion (Philochthus) aeneum","Bembidion aeneum","NBNSYS0100001969",,,"3: Less distinctive; reliably accurate identification comes with experience. (Includes species which are distinctive if dissected but otherwise less distinctive). A field photograph will usually not show enough to allow confident identification."
"Bembidion (Trepanes) articulatum","Bembidion articulatum","NBNSYS0100001986",,,"3: Less distinctive; reliably accurate identification comes with experience. (Includes species which are distinctive if dissected but otherwise less distinctive). A field photograph will usually not show enough to allow confident identification."
"Bembidion (Diplocampa) assimile","Bembidion assimile","NBNSYS0100001938",,,"3: Less distinctive; reliably accurate identification comes with experience. (Includes species which are distinctive if dissected but otherwise less distinctive). A field photograph will usually not show enough to allow confident identification."
"Bembidion (Bembidionetolitzkya) atrocaeruleum","Bembidion atrocaeruleum","NHMSYS0001717146","1926-01-01 to present",,"4: Difficult to identify, or poorly covered by available guides. Worth getting a second opinion and/or comparing to a reliable reference collection. For most of these species, a field photograph will not be sufficient to allow confident identification."
"Bembidion (Philochthus) biguttatum","Bembidion biguttatum","NBNSYS0100001970",,,"3: Less distinctive; reliably accurate identification comes with experience. (Includes species which are distinctive if dissected but otherwise less distinctive). A field photograph will usually not show enough to allow confident identification."
"Bembidion (Testedium) bipunctatum","Bembidion bipunctatum","NBNSYS0100001984",,,"2: Fairly distinctive and can be accurately identified using available guides, even on first encounter. Usually identifiable from a field photograph."
"Bembidion (Ocydromus) bruxellense","Bembidion bruxellense","NHMSYS0001717163",,,"3: Less distinctive; reliably accurate identification comes with experience. (Includes species which are distinctive if dissected but otherwise less distinctive). A field photograph will usually not show enough to allow confident identification."
"Bembidion (Bembidionetolitzkya) caeruleum","Bembidion caeruleum","NHMSYS0001717147","1989-01-01 to 2009-12-13","04-01 to 08-31","5: Identifications always require confirmation from a designated expert. For most of these species, a field photograph will not be sufficient to allow confident identification."
"Bembidion (Nepha) callosum","Bembidion callosum","NBNSYS0100001948"," to 1851-12-13",,"5: Identifications always require confirmation from a designated expert. For most of these species, a field photograph will not be sufficient to allow confident identification."
"Bembidion (Diplocampa) clarkii","Bembidion clarkii","NHMSYS0001717150",,,"3: Less distinctive; reliably accurate identification comes with experience. (Includes species which are distinctive if dissected but otherwise less distinctive). A field photograph will usually not show enough to allow confident identification."
"Bembidion (Ocydromus) cruciatum subsp. bualei","Bembidion cruciatum subsp. bualei","NHMSYS0001717165",,,"4: Difficult to identify, or poorly covered by available guides. Worth getting a second opinion and/or comparing to a reliable reference collection. For most of these species, a field photograph will not be sufficient to allow confident identification."
"Bembidion (Ocydromus) decorum","Bembidion decorum","NHMSYS0001717166",,,"3: Less distinctive; reliably accurate identification comes with experience. (Includes species which are distinctive if dissected but otherwise less distinctive). A field photograph will usually not show enough to allow confident identification."
"Bembidion (Ocydromus) deletum","Bembidion deletum","NHMSYS0001717167",,,"3: Less distinctive; reliably accurate identification comes with experience. (Includes species which are distinctive if dissected but otherwise less distinctive). A field photograph will usually not show enough to allow confident identification."
"Bembidion (Eupetedromus) dentellum","Bembidion dentellum","NBNSYS0100001943",,,"3: Less distinctive; reliably accurate identification comes with experience. (Includes species which are distinctive if dissected but otherwise less distinctive). A field photograph will usually not show enough to allow confident identification."
"Bembidion (Trepanedoris) doris","Bembidion doris","NBNSYS0100001985",,,"3: Less distinctive; reliably accurate identification comes with experience. (Includes species which are distinctive if dissected but otherwise less distinctive). A field photograph will usually not show enough to allow confident identification."
"Bembidion (Notaphemphanes) ephippium","Bembidion ephippium","NBNSYS0100001950",,"03-01 to 10-31","2: Fairly distinctive and can be accurately identified using available guides, even on first encounter. Usually identifiable from a field photograph."
"Bembidion (Ocydromus) femoratum","Bembidion femoratum","NHMSYS0001717168",,,"4: Difficult to identify, or poorly covered by available guides. Worth getting a second opinion and/or comparing to a reliable reference collection. For most of these species, a field photograph will not be sufficient to allow confident identification."
"Bembidion (Ocydromus) fluviatile","Bembidion fluviatile","NHMSYS0001717169",,,"4: Difficult to identify, or poorly covered by available guides. Worth getting a second opinion and/or comparing to a reliable reference collection. For most of these species, a field photograph will not be sufficient to allow confident identification."
"Bembidion (Diplocampa) fumigatum","Bembidion fumigatum","NBNSYS0100001940",,,"3: Less distinctive; reliably accurate identification comes with experience. (Includes species which are distinctive if dissected but otherwise less distinctive). A field photograph will usually not show enough to allow confident identification."
"Bembidion (Bembidionetolitzkya) geniculatum","Bembidion geniculatum","NHMSYS0001717148","1926-01-01 to present",,"4: Difficult to identify, or poorly covered by available guides. Worth getting a second opinion and/or comparing to a reliable reference collection. For most of these species, a field photograph will not be sufficient to allow confident identification."
"Bembidion (Semicampa) gilvipes","Bembidion gilvipes","NBNSYS0100001981",,,"3: Less distinctive; reliably accurate identification comes with experience. (Includes species which are distinctive if dissected but otherwise less distinctive). A field photograph will usually not show enough to allow confident identification."
"Bembidion (Philochthus) guttula","Bembidion guttula","NBNSYS0100001971",,,"4: Difficult to identify, or poorly covered by available guides. Worth getting a second opinion and/or comparing to a reliable reference collection. For most of these species, a field photograph will not be sufficient to allow confident identification."
"Bembidion (Bembidion) humerale","Bembidion humerale","NBNSYS0100001928","1976-01-01 to present","04-01 to 10-31","3: Less distinctive; reliably accurate identification comes with experience. (Includes species which are distinctive if dissected but otherwise less distinctive). A field photograph will usually not show enough to allow confident identification."
"Bembidion (Nepha) illigeri","Bembidion illigeri","NHMSYS0001717158",,,"2: Fairly distinctive and can be accurately identified using available guides, even on first encounter. Usually identifiable from a field photograph."
"Bembidion (Pseudolimnaeum) inustum","Bembidion inustum","NHMSYS0001717185","1999-01-01 to present",,"4: Difficult to identify, or poorly covered by available guides. Worth getting a second opinion and/or comparing to a reliable reference collection. For most of these species, a field photograph will not be sufficient to allow confident identification."
"Bembidion (Philochthus) iricolor","Bembidion iricolor","NBNSYS0100001972","1893-01-01 to present",,"3: Less distinctive; reliably accurate identification comes with experience. (Includes species which are distinctive if dissected but otherwise less distinctive). A field photograph will usually not show enough to allow confident identification."
"Bembidion (Metallina) lampros","Bembidion lampros","NBNSYS0100001945",,,"4: Difficult to identify, or poorly covered by available guides. Worth getting a second opinion and/or comparing to a reliable reference collection. For most of these species, a field photograph will not be sufficient to allow confident identification."
"Bembidion (Ocydromus) lunatum","Bembidion lunatum","NHMSYS0001717170",,,"3: Less distinctive; reliably accurate identification comes with experience. (Includes species which are distinctive if dissected but otherwise less distinctive). A field photograph will usually not show enough to allow confident identification."
"Bembidion (Philochthus) lunulatum","Bembidion lunulatum","NHMSYS0001717178","1893-01-01 to present",,"3: Less distinctive; reliably accurate identification comes with experience. (Includes species which are distinctive if dissected but otherwise less distinctive). A field photograph will usually not show enough to allow confident identification."
"Bembidion (Philochthus) mannerheimii","Bembidion mannerheimii","NHMSYS0001717179",,,"4: Difficult to identify, or poorly covered by available guides. Worth getting a second opinion and/or comparing to a reliable reference collection. For most of these species, a field photograph will not be sufficient to allow confident identification."
"Bembidion (Ocydromus) maritimum","Bembidion maritimum","NHMSYS0001717171",,,"3: Less distinctive; reliably accurate identification comes with experience. (Includes species which are distinctive if dissected but otherwise less distinctive). A field photograph will usually not show enough to allow confident identification."
"Bembidion (Emphanes) minimum","Bembidion minimum","NBNSYS0100001941",,,"4: Difficult to identify, or poorly covered by available guides. Worth getting a second opinion and/or comparing to a reliable reference collection. For most of these species, a field photograph will not be sufficient to allow confident identification."
"Bembidion (Ocydromus) monticola","Bembidion monticola","NHMSYS0001717172",,,"3: Less distinctive; reliably accurate identification comes with experience. (Includes species which are distinctive if dissected but otherwise less distinctive). A field photograph will usually not show enough to allow confident identification."
"Bembidion (Neja) nigricorne","Bembidion nigricorne","NBNSYS0100001947",,,"3: Less distinctive; reliably accurate identification comes with experience. (Includes species which are distinctive if dissected but otherwise less distinctive). A field photograph will usually not show enough to allow confident identification."
"Bembidion (Lymnaeum) nigropiceum","Bembidion nigropiceum","NBNSYS0100001944",,,"3: Less distinctive; reliably accurate identification comes with experience. (Includes species which are distinctive if dissected but otherwise less distinctive). A field photograph will usually not show enough to allow confident identification."
"Bembidion (Emphanes) normannum","Bembidion normannum","NBNSYS0100001942",,,"4: Difficult to identify, or poorly covered by available guides. Worth getting a second opinion and/or comparing to a reliable reference collection. For most of these species, a field photograph will not be sufficient to allow confident identification."
"Bembidion (Notaphus) obliquum","Bembidion obliquum","NBNSYS0100001951",,,"3: Less distinctive; reliably accurate identification comes with experience. (Includes species which are distinctive if dissected but otherwise less distinctive). A field photograph will usually not show enough to allow confident identification."
"Bembidion (Phyla) obtusum","Bembidion obtusum","NHMSYS0001717181",,,"3: Less distinctive; reliably accurate identification comes with experience. (Includes species which are distinctive if dissected but otherwise less distinctive). A field photograph will usually not show enough to allow confident identification."
"Bembidion (Trepanes) octomaculatum","Bembidion octomaculatum","NBNSYS0100001987",,,"3: Less distinctive; reliably accurate identification comes with experience. (Includes species which are distinctive if dissected but otherwise less distinctive). A field photograph will usually not show enough to allow confident identification."
"Bembidion (Actedium) pallidipenne","Bembidion pallidipenne","NBNSYS0100001927",,"03-01 to 11-30","2: Fairly distinctive and can be accurately identified using available guides, even on first encounter. Usually identifiable from a field photograph."
"Bembidion (Plataphus) prasinum","Bembidion prasinum","NBNSYS0100001977","1895-01-01 to present",,"4: Difficult to identify, or poorly covered by available guides. Worth getting a second opinion and/or comparing to a reliable reference collection. For most of these species, a field photograph will not be sufficient to allow confident identification."
"Bembidion (Metallina) properans","Bembidion properans","NHMSYS0001717155",,,"4: Difficult to identify, or poorly covered by available guides. Worth getting a second opinion and/or comparing to a reliable reference collection. For most of these species, a field photograph will not be sufficient to allow confident identification."
"Bembidion (Princidium) punctulatum","Bembidion punctulatum","NBNSYS0100001979",,,"2: Fairly distinctive and can be accurately identified using available guides, even on first encounter. Usually identifiable from a field photograph."
"Bembidion (Ocydromus) saxatile","Bembidion saxatile","NHMSYS0001717173",,,"3: Less distinctive; reliably accurate identification comes with experience. (Includes species which are distinctive if dissected but otherwise less distinctive). A field photograph will usually not show enough to allow confident identification."
"Bembidion (Semicampa) schuppelii","Bembidion schuppelii","NHMSYS0001717187",,,"3: Less distinctive; reliably accurate identification comes with experience. (Includes species which are distinctive if dissected but otherwise less distinctive). A field photograph will usually not show enough to allow confident identification."
"Bembidion (Notaphus) semipunctatum","Bembidion semipunctatum","NHMSYS0001717161",,,"3: Less distinctive; reliably accurate identification comes with experience. (Includes species which are distinctive if dissected but otherwise less distinctive). A field photograph will usually not show enough to allow confident identification."
"Bembidion (Ocydromus) stephensii","Bembidion stephensii","NHMSYS0001717174",,,"3: Less distinctive; reliably accurate identification comes with experience. (Includes species which are distinctive if dissected but otherwise less distinctive). A field photograph will usually not show enough to allow confident identification."
"Bembidion (Sinechostictus) stomoides","Bembidion stomoides","NHMSYS0001717189",,,"3: Less distinctive; reliably accurate identification comes with experience. (Includes species which are distinctive if dissected but otherwise less distinctive). A field photograph will usually not show enough to allow confident identification."
"Bembidion (Ocydromus) testaceum","Bembidion testaceum","NHMSYS0001717175",,,"4: Difficult to identify, or poorly covered by available guides. Worth getting a second opinion and/or comparing to a reliable reference collection. For most of these species, a field photograph will not be sufficient to allow confident identification."
"Bembidion (Ocydromus) tetracolum","Bembidion tetracolum","NHMSYS0001717176",,,"4: Difficult to identify, or poorly covered by available guides. Worth getting a second opinion and/or comparing to a reliable reference collection. For most of these species, a field photograph will not be sufficient to allow confident identification."
"Bembidion (Bembidionetolitzkya) tibiale","Bembidion tibiale","NBNSYS0100001934","1926-01-01 to present",,"4: Difficult to identify, or poorly covered by available guides. Worth getting a second opinion and/or comparing to a reliable reference collection. For most of these species, a field photograph will not be sufficient to allow confident identification."
"Bembidion (Notaphus) varium","Bembidion varium","NBNSYS0100001953",,,"3: Less distinctive; reliably accurate identification comes with experience. (Includes species which are distinctive if dissected but otherwise less distinctive). A field photograph will usually not show enough to allow confident identification."
"Bembidion (Trichoplataphus) virens","Bembidion virens","NHMSYS0001717194","1895-01-01 to present",,"4: Difficult to identify, or poorly covered by available guides. Worth getting a second opinion and/or comparing to a reliable reference collection. For most of these species, a field photograph will not be sufficient to allow confident identification."
"Blemus discus","Blemus discus","NHMSYS0001717333",,"04-01 to 10-31","3: Less distinctive; reliably accurate identification comes with experience. (Includes species which are distinctive if dissected but otherwise less distinctive). A field photograph will usually not show enough to allow confident identification."
"Blethisa multipunctata","Blethisa multipunctata","NBNSYS0000007166",,,"2: Fairly distinctive and can be accurately identified using available guides, even on first encounter. Usually identifiable from a field photograph."
