"species","preferred_species_name","tvk","recording_period","flight_period","id_difficulty"
"Argynnis paphia","Argynnis paphia","NHMSYS0000501356","1700-01-01 to present","06-01 to 09-30","1: Species that can be relatively easily identified even by inexperienced recorders with the use of up-to-date field guides. Such records would be accepted without the need for additional evidence as long as they conform to the normal flight period and geographical range of the species."
"Boloria euphrosyne","Boloria euphrosyne","NHMSYS0000501513","1700-01-01 to present","04-01 to 09-30","2: Species where care is needed for identification. Should not present any difficulty for experienced recorders, but inexperienced recorders may be expected to provide additional evidence in the form of photographs of reasonable quality that show as many of the identification features as possible. Even experienced recorders may be expected to provide additional evidence if the record is outside of the normal flight period or geographical range of the species."
"Boloria selene","Boloria selene","NHMSYS0021143547","1700-01-01 to present","05-01 to 09-30","2: Species where care is needed for identification. Should not present any difficulty for experienced recorders, but inexperienced recorders may be expected to provide additional evidence in the form of photographs of reasonable quality that show as many of the identification features as possible. Even experienced recorders may be expected to provide additional evidence if the record is outside of the normal flight period or geographical range of the species."
"Coenonympha pamphilus","Coenonympha pamphilus","NHMSYS0000519083","1700-01-01 to present","04-01 to 10-31","1: Species that can be relatively easily identified even by inexperienced recorders with the use of up-to-date field guides. Such records would be accepted without the need for additional evidence as long as they conform to the normal flight period and geographical range of the species."
"Coenonympha tullia","Coenonympha tullia","NHMSYS0000519078","1700-01-01 to present","06-01 to 08-31","1: Species that can be relatively easily identified even by inexperienced recorders with the use of up-to-date field guides. Such records would be accepted without the need for additional evidence as long as they conform to the normal flight period and geographical range of the species."
"Danaus plexippus","Danaus plexippus","NHMSYS0000502090","1700-01-01 to present","07-01 to 10-31","1: Species that can be relatively easily identified even by inexperienced recorders with the use of up-to-date field guides. Such records would be accepted without the need for additional evidence as long as they conform to the normal flight period and geographical range of the species."
"Erebia aethiops","Erebia aethiops","NHMSYS0000519783","1700-01-01 to present","07-01 to 09-30","1: Species that can be relatively easily identified even by inexperienced recorders with the use of up-to-date field guides. Such records would be accepted without the need for additional evidence as long as they conform to the normal flight period and geographical range of the species."
"Erebia epiphron","Erebia epiphron","NHMSYS0000519788","1700-01-01 to present","06-01 to 08-31","1: Species that can be relatively easily identified even by inexperienced recorders with the use of up-to-date field guides. Such records would be accepted without the need for additional evidence as long as they conform to the normal flight period and geographical range of the species."
"Euphydryas aurinia","Euphydryas aurinia","NHMSYS0000516340","1700-01-01 to present","05-01 to 08-31","1: Species that can be relatively easily identified even by inexperienced recorders with the use of up-to-date field guides. Such records would be accepted without the need for additional evidence as long as they conform to the normal flight period and geographical range of the species."
"Hipparchia semele","Hipparchia semele","NHMSYS0000520428","1700-01-01 to present","06-01 to 09-30","1: Species that can be relatively easily identified even by inexperienced recorders with the use of up-to-date field guides. Such records would be accepted without the need for additional evidence as long as they conform to the normal flight period and geographical range of the species."
"Issoria lathonia","Issoria lathonia","NBNSYS0100003607","1700-01-01 to present","05-01 to 10-31","1: Species that can be relatively easily identified even by inexperienced recorders with the use of up-to-date field guides. Such records would be accepted without the need for additional evidence as long as they conform to the normal flight period and geographical range of the species."
"Lasiommata megera","Lasiommata megera","NHMSYS0000503020","1700-01-01 to present","04-01 to 10-31","1: Species that can be relatively easily identified even by inexperienced recorders with the use of up-to-date field guides. Such records would be accepted without the need for additional evidence as long as they conform to the normal flight period and geographical range of the species."
"Limenitis camilla","Limenitis camilla","NBNSYS0100003750","1700-01-01 to present","06-01 to 10-31","1: Species that can be relatively easily identified even by inexperienced recorders with the use of up-to-date field guides. Such records would be accepted without the need for additional evidence as long as they conform to the normal flight period and geographical range of the species."
"Maniola jurtina","Maniola jurtina","NHMSYS0000521977","1700-01-01 to present","05-01 to 10-31","1: Species that can be relatively easily identified even by inexperienced recorders with the use of up-to-date field guides. Such records would be accepted without the need for additional evidence as long as they conform to the normal flight period and geographical range of the species."
"Melanargia galathea","Melanargia galathea","NHMSYS0000522017","1700-01-01 to present","06-01 to 08-31","1: Species that can be relatively easily identified even by inexperienced recorders with the use of up-to-date field guides. Such records would be accepted without the need for additional evidence as long as they conform to the normal flight period and geographical range of the species."
"Melitaea athalia","Melitaea athalia","NHMSYS0000503190","1700-01-01 to present","05-01 to 09-30","1: Species that can be relatively easily identified even by inexperienced recorders with the use of up-to-date field guides. Such records would be accepted without the need for additional evidence as long as they conform to the normal flight period and geographical range of the species."
"Melitaea cinxia","Melitaea cinxia","NHMSYS0000503191","1700-01-01 to present","05-01 to 09-30","1: Species that can be relatively easily identified even by inexperienced recorders with the use of up-to-date field guides. Such records would be accepted without the need for additional evidence as long as they conform to the normal flight period and geographical range of the species."
"Nymphalis antiopa","Nymphalis antiopa","NHMSYS0000516570","1700-01-01 to present","01-01 to 12-31","1: Species that can be relatively easily identified even by inexperienced recorders with the use of up-to-date field guides. Such records would be accepted without the need for additional evidence as long as they conform to the normal flight period and geographical range of the species."
"Nymphalis polychloros","Nymphalis polychloros","NHMSYS0000516575","1700-01-01 to present","01-01 to 12-31","2: Species where care is needed for identification. Should not present any difficulty for experienced recorders, but inexperienced recorders may be expected to provide additional evidence in the form of photographs of reasonable quality that show as many of the identification features as possible. Even experienced recorders may be expected to provide additional evidence if the record is outside of the normal flight period or geographical range of the species."
"Pararge aegeria","Pararge aegeria","NHMSYS0000523344","1700-01-01 to present","02-01 to 11-30","1: Species that can be relatively easily identified even by inexperienced recorders with the use of up-to-date field guides. Such records would be accepted without the need for additional evidence as long as they conform to the normal flight period and geographical range of the species."
"Polygonia c-album","Polygonia c-album","NHMSYS0000503893","1700-01-01 to present","01-01 to 12-31","1: Species that can be relatively easily identified even by inexperienced recorders with the use of up-to-date field guides. Such records would be accepted without the need for additional evidence as long as they conform to the normal flight period and geographical range of the species."
"Pyronia tithonus","Pyronia tithonus","NHMSYS0000522857","1700-01-01 to present","06-01 to 09-30","1: Species that can be relatively easily identified even by inexperienced recorders with the use of up-to-date field guides. Such records would be accepted without the need for additional evidence as long as they conform to the normal flight period and geographical range of the species."
"Speyeria aglaja","Speyeria aglaja","NHMSYS0021297309","1700-01-01 to present","05-01 to 09-30","2: Species where care is needed for identification. Should not present any difficulty for experienced recorders, but inexperienced recorders may be expected to provide additional evidence in the form of photographs of reasonable quality that show as many of the identification features as possible. Even experienced recorders may be expected to provide additional evidence if the record is outside of the normal flight period or geographical range of the species."
"Vanessa atalanta","Vanessa atalanta","NHMSYS0000504624","1700-01-01 to present","01-01 to 12-31","1: Species that can be relatively easily identified even by inexperienced recorders with the use of up-to-date field guides. Such records would be accepted without the need for additional evidence as long as they conform to the normal flight period and geographical range of the species."
"Vanessa cardui","Vanessa cardui","NBNSYS0100005950","1700-01-01 to present","02-01 to 11-30","1: Species that can be relatively easily identified even by inexperienced recorders with the use of up-to-date field guides. Such records would be accepted without the need for additional evidence as long as they conform to the normal flight period and geographical range of the species."
"Vanessa virginiensis","Vanessa virginiensis","NHMSYS0000504626","1700-01-01 to present","08-01 to 10-31","3: Species that are difficult to identify. Even experienced recorders may be expected to provide additional evidence, particularly if the record is outside of the normal flight period or geographical range of the species."
"Iphiclides podalirius","Iphiclides podalirius","NHMSYS0000502952","1700-01-01 to present","05-01 to 09-30","1: Species that can be relatively easily identified even by inexperienced recorders with the use of up-to-date field guides. Such records would be accepted without the need for additional evidence as long as they conform to the normal flight period and geographical range of the species."
"Papilio machaon","Papilio machaon","NBNSYS0000005514","1700-01-01 to present","05-01 to 08-31","1: Species that can be relatively easily identified even by inexperienced recorders with the use of up-to-date field guides. Such records would be accepted without the need for additional evidence as long as they conform to the normal flight period and geographical range of the species."
"Anthocharis cardamines","Anthocharis cardamines","NHMSYS0000516186","1700-01-01 to present","03-01 to 07-31","1: Species that can be relatively easily identified even by inexperienced recorders with the use of up-to-date field guides. Such records would be accepted without the need for additional evidence as long as they conform to the normal flight period and geographical range of the species."
"Aporia crataegi","Aporia crataegi","NHMSYS0000501147","1700-01-01 to 1925-01-01","05-01 to 08-31","1: Species that can be relatively easily identified even by inexperienced recorders with the use of up-to-date field guides. Such records would be accepted without the need for additional evidence as long as they conform to the normal flight period and geographical range of the species."
"Colias alfacariensis","Colias alfacariensis","NHMSYS0021143487","1700-01-01 to present","05-01 to 10-31","3: Species that are difficult to identify. Even experienced recorders may be expected to provide additional evidence, particularly if the record is outside of the normal flight period or geographical range of the species."
"Colias croceus","Colias croceus","NHMSYS0000501953","1700-01-01 to present","05-01 to 11-30","1: Species that can be relatively easily identified even by inexperienced recorders with the use of up-to-date field guides. Such records would be accepted without the need for additional evidence as long as they conform to the normal flight period and geographical range of the species."
"Colias hyale","Colias hyale","NHMSYS0000501954","1700-01-01 to present","05-01 to 10-31","3: Species that are difficult to identify. Even experienced recorders may be expected to provide additional evidence, particularly if the record is outside of the normal flight period or geographical range of the species."
"Gonepteryx rhamni","Gonepteryx rhamni","NHMSYS0000516380","1700-01-01 to present","01-01 to 11-30","1: Species that can be relatively easily identified even by inexperienced recorders with the use of up-to-date field guides. Such records would be accepted without the need for additional evidence as long as they conform to the normal flight period and geographical range of the species."
"Leptidea juvernica","Leptidea juvernica","NHMSYS0020978559","1700-01-01 to present","04-01 to 09-30","3: Species that are difficult to identify. Even experienced recorders may be expected to provide additional evidence, particularly if the record is outside of the normal flight period or geographical range of the species."
"Leptidea sinapis","Leptidea sinapis","NHMSYS0000516430","1700-01-01 to present","04-01 to 09-30","2: Species where care is needed for identification. Should not present any difficulty for experienced recorders, but inexperienced recorders may be expected to provide additional evidence in the form of photographs of reasonable quality that show as many of the identification features as possible. Even experienced recorders may be expected to provide additional evidence if the record is outside of the normal flight period or geographical range of the species."
"Pieris brassicae","Pieris brassicae","NHMSYS0000503827","1700-01-01 to present","03-01 to 10-31","1: Species that can be relatively easily identified even by inexperienced recorders with the use of up-to-date field guides. Such records would be accepted without the need for additional evidence as long as they conform to the normal flight period and geographical range of the species."
"Pieris napi","Pieris napi","NHMSYS0000516630","1700-01-01 to present","03-01 to 10-31","1: Species that can be relatively easily identified even by inexperienced recorders with the use of up-to-date field guides. Such records would be accepted without the need for additional evidence as long as they conform to the normal flight period and geographical range of the species."
"Pieris rapae","Pieris rapae","NHMSYS0000503832","1700-01-01 to present","03-01 to 10-31","1: Species that can be relatively easily identified even by inexperienced recorders with the use of up-to-date field guides. Such records would be accepted without the need for additional evidence as long as they conform to the normal flight period and geographical range of the species."
"Pontia daplidice","Pontia daplidice","NHMSYS0000503906","1700-01-01 to present","06-01 to 10-31","2: Species where care is needed for identification. Should not present any difficulty for experienced recorders, but inexperienced recorders may be expected to provide additional evidence in the form of photographs of reasonable quality that show as many of the identification features as possible. Even experienced recorders may be expected to provide additional evidence if the record is outside of the normal flight period or geographical range of the species."
"Hamearis lucina","Hamearis lucina","NHMSYS0000502800","1700-01-01 to present","04-01 to 07-31","1: Species that can be relatively easily identified even by inexperienced recorders with the use of up-to-date field guides. Such records would be accepted without the need for additional evidence as long as they conform to the normal flight period and geographical range of the species."
,,"NHMSYS0021459983","1700-01-01 to present","06-01 to 09-30","2: Species where care is needed for identification. Should not present any difficulty for experienced recorders, but inexperienced recorders may be expected to provide additional evidence in the form of photographs of reasonable quality that show as many of the identification features as possible. Even experienced recorders may be expected to provide additional evidence if the record is outside of the normal flight period or geographical range of the species."
