"species","preferred_species_name","tvk","recording_period","seasonal_recording_period","additional_checks_required","id_difficulty"
"Melogona voigti","Melogona voigtii","NHMSYS0000356277","1988-01-09 to present",,"2: Records for this species must always be verified (rarity, uncertain taxonomic status)","4: Adult voucher specimens of either one or both sexes need careful dissection.  Records accepted from known experienced recorders familiar with the species. Voucher specimen should be retained. If the recorder is not familiar with the species then a voucher specimen should be checked by an expert who is."
"Craspedosoma rawlinsii","Craspedosoma rawlinsii","NHMSYS0020108469","1814-01-01 to present",,,"2: Can be identified in the field with care and experience but needs a good view or examination with a good quality lens. Beginners should take voucher specimens until they gain familiarity and experience. Records accepted from known competent recorders."
"Nanogona polydesmoides","Nanogona polydesmoides","NHMSYS0020108477","1814-01-01 to present",,,"1: Can be identified in the field by anyone with a little experience. Species with which the beginner rapidly becomes familiar. May be identifiable from a good photo. Records accepted from most sources."
"Henia brevis","Henia brevis","NBNSYS0000011401",,,,"3: Voucher specimen needs checking under magnification and good lighting. Beginners should get specimens checked at first until they gain experience.  Records accepted from known experienced recorders without further question unless the date, region or habitat was especially unusual. Voucher specimen should be retained."
"Henia vesuviana","Henia vesuviana","NHMSYS0020500663",,,,"2: Can be identified in the field with care and experience but needs a good view or examination with a good quality lens. Beginners should take voucher specimens until they gain familiarity and experience. Records accepted from known competent recorders."
"Arenophilus peregrinus","Arenophilus peregrinus","MM0001Z1ZT0011ZZ","1940-01-01 to present",,"2: Records for this species must always be verified (rarity, uncertain taxonomic status)",
"Eurygeophilus pinguis","Eurygeophilus pinguis","NHMSYS0020108917","1970-04-01 to present",,"1: This is a rare species","3: Voucher specimen needs checking under magnification and good lighting. Beginners should get specimens checked at first until they gain experience.  Records accepted from known experienced recorders without further question unless the date, region or habitat was especially unusual. Voucher specimen should be retained."
"Geophilus carpophagus s.s.","Geophilus carpophagus s.s.","NHMSYS0020526954",,,,"3: Voucher specimen needs checking under magnification and good lighting. Beginners should get specimens checked at first until they gain experience.  Records accepted from known experienced recorders without further question unless the date, region or habitat was especially unusual. Voucher specimen should be retained."
"Geophilus electricus","Geophilus electricus","NHMSYS0000570564",,,,"4: Adult voucher specimens of either one or both sexes need careful dissection.  Records accepted from known experienced recorders familiar with the species. Voucher specimen should be retained. If the recorder is not familiar with the species then a voucher specimen should be checked by an expert who is."
"Geophilus flavus","Geophilus flavus","NHMSYS0000570565",,,,"3: Voucher specimen needs checking under magnification and good lighting. Beginners should get specimens checked at first until they gain experience.  Records accepted from known experienced recorders without further question unless the date, region or habitat was especially unusual. Voucher specimen should be retained."
"Geophilus gracilis","Geophilus gracilis","NBNSYS0000147735","1961-01-01 to present",,,"3: Voucher specimen needs checking under magnification and good lighting. Beginners should get specimens checked at first until they gain experience.  Records accepted from known experienced recorders without further question unless the date, region or habitat was especially unusual. Voucher specimen should be retained."
"Geophilus insculptus","Geophilus insculptus","NBNSYS0000011411",,,,"3: Voucher specimen needs checking under magnification and good lighting. Beginners should get specimens checked at first until they gain experience.  Records accepted from known experienced recorders without further question unless the date, region or habitat was especially unusual. Voucher specimen should be retained."
"Geophilus osquidatum","Geophilus osquidatum","NHMSYS0000570570",,,,"4: Adult voucher specimens of either one or both sexes need careful dissection.  Records accepted from known experienced recorders familiar with the species. Voucher specimen should be retained. If the recorder is not familiar with the species then a voucher specimen should be checked by an expert who is."
"Geophilus proximus","Geophilus proximus","NBNSYS0000011414","1974-08-01 to present",,"2: Records for this species must always be verified (rarity, uncertain taxonomic status)","4: Adult voucher specimens of either one or both sexes need careful dissection.  Records accepted from known experienced recorders familiar with the species. Voucher specimen should be retained. If the recorder is not familiar with the species then a voucher specimen should be checked by an expert who is."
"Geophilus pusillifrater","Geophilus pusillifrater","NBNSYS0000011413","1961-01-01 to present",,"1: This is a rare species","4: Adult voucher specimens of either one or both sexes need careful dissection.  Records accepted from known experienced recorders familiar with the species. Voucher specimen should be retained. If the recorder is not familiar with the species then a voucher specimen should be checked by an expert who is."
"Geophilus truncorum","Geophilus truncorum","NHMSYS0020500660",,,,"2: Can be identified in the field with care and experience but needs a good view or examination with a good quality lens. Beginners should take voucher specimens until they gain familiarity and experience. Records accepted from known competent recorders."
"Nothogeophilus turki","Nothogeophilus turki","MM0001Z1ZT0011Z1","1940-01-01 to present","04-01 to 06-30","2: Records for this species must always be verified (rarity, uncertain taxonomic status)",
"Pachymerium ferrugineum","Pachymerium ferrugineum","NBNSYS0000011406","1960-01-01 to present",,"2: Records for this species must always be verified (rarity, uncertain taxonomic status)","3: Voucher specimen needs checking under magnification and good lighting. Beginners should get specimens checked at first until they gain experience.  Records accepted from known experienced recorders without further question unless the date, region or habitat was especially unusual. Voucher specimen should be retained."
"Stenotaenia linearis","Stenotaenia linearis","NHMSYS0020500696",,,"1: This is a rare species","3: Voucher specimen needs checking under magnification and good lighting. Beginners should get specimens checked at first until they gain experience.  Records accepted from known experienced recorders without further question unless the date, region or habitat was especially unusual. Voucher specimen should be retained."
"Stigmatogaster souletinus","Haplophilus souletinus","NHMSYS0020752183","1960-01-01 to present",,,"3: Voucher specimen needs checking under magnification and good lighting. Beginners should get specimens checked at first until they gain experience.  Records accepted from known experienced recorders without further question unless the date, region or habitat was especially unusual. Voucher specimen should be retained."
"Stigmatogaster subterraneus","Haplophilus subterraneus","NHMSYS0020752184",,,,"3: Voucher specimen needs checking under magnification and good lighting. Beginners should get specimens checked at first until they gain experience.  Records accepted from known experienced recorders without further question unless the date, region or habitat was especially unusual. Voucher specimen should be retained."
"Strigamia acuminata","Strigamia acuminata","NBNSYS0000011403",,,,"3: Voucher specimen needs checking under magnification and good lighting. Beginners should get specimens checked at first until they gain experience.  Records accepted from known experienced recorders without further question unless the date, region or habitat was especially unusual. Voucher specimen should be retained."
"Strigamia crassipes","Strigamia crassipes","NBNSYS0000011404",,,,"3: Voucher specimen needs checking under magnification and good lighting. Beginners should get specimens checked at first until they gain experience.  Records accepted from known experienced recorders without further question unless the date, region or habitat was especially unusual. Voucher specimen should be retained."
"Strigamia maritima","Strigamia maritima","NBNSYS0000011405",,,,"3: Voucher specimen needs checking under magnification and good lighting. Beginners should get specimens checked at first until they gain experience.  Records accepted from known experienced recorders without further question unless the date, region or habitat was especially unusual. Voucher specimen should be retained."
"Dicellophilus carniolensis","Dicellophilus carniolensis","NBNSYS0000011420","1913-01-01 to present",,"2: Records for this species must always be verified (rarity, uncertain taxonomic status)","5: Adult voucher specimens of either one or both sexes need careful dissection and to be examined by national expert. Even the most experienced of recorders may need to seek a second opinion from an acknowledged expert. Specimen may need to be submitted to experts elsewhere in Europe for comparison with a wider range of material."
"Mecistocephalus guildingii","Mecistocephalus guildingii","NHMSYS0020500687",,,"2: Records for this species must always be verified (rarity, uncertain taxonomic status)","4: Adult voucher specimens of either one or both sexes need careful dissection.  Records accepted from known experienced recorders familiar with the species. Voucher specimen should be retained. If the recorder is not familiar with the species then a voucher specimen should be checked by an expert who is."
"Mecistocephalus punctifrons","Mecistocephalus punctifrons","NHMSYS0020784884",,,"2: Records for this species must always be verified (rarity, uncertain taxonomic status)","4: Adult voucher specimens of either one or both sexes need careful dissection.  Records accepted from known experienced recorders familiar with the species. Voucher specimen should be retained. If the recorder is not familiar with the species then a voucher specimen should be checked by an expert who is."
"Tygarrup javanicus","Tygarrup javanicus","NHMSYS0020784896","1976-02-08 to present",,"2: Records for this species must always be verified (rarity, uncertain taxonomic status)","4: Adult voucher specimens of either one or both sexes need careful dissection.  Records accepted from known experienced recorders familiar with the species. Voucher specimen should be retained. If the recorder is not familiar with the species then a voucher specimen should be checked by an expert who is."
"Hydroschendyla submarina","Hydroschendyla submarina","NBNSYS0000011424",,,"1: This is a rare species","3: Voucher specimen needs checking under magnification and good lighting. Beginners should get specimens checked at first until they gain experience.  Records accepted from known experienced recorders without further question unless the date, region or habitat was especially unusual. Voucher specimen should be retained."
"Schendyla dentata","Schendyla dentata","NHMSYS0020500692","1968-01-01 to present",,,"3: Voucher specimen needs checking under magnification and good lighting. Beginners should get specimens checked at first until they gain experience.  Records accepted from known experienced recorders without further question unless the date, region or habitat was especially unusual. Voucher specimen should be retained."
"Schendyla monoeci","Schendyla monoeci","NHMSYS0000570600","1943-10-01 to present",,"2: Records for this species must always be verified (rarity, uncertain taxonomic status)","5: Adult voucher specimens of either one or both sexes need careful dissection and to be examined by national expert. Even the most experienced of recorders may need to seek a second opinion from an acknowledged expert. Specimen may need to be submitted to experts elsewhere in Europe for comparison with a wider range of material."
"Schendyla nemorensis","Schendyla nemorensis","NBNSYS0000011425",,,,"3: Voucher specimen needs checking under magnification and good lighting. Beginners should get specimens checked at first until they gain experience.  Records accepted from known experienced recorders without further question unless the date, region or habitat was especially unusual. Voucher specimen should be retained."
"Schendyla peyerimhoffi","Schendyla peyerimhoffi","NHMSYS0000570601","1946-01-01 to present",,,"3: Voucher specimen needs checking under magnification and good lighting. Beginners should get specimens checked at first until they gain experience.  Records accepted from known experienced recorders without further question unless the date, region or habitat was especially unusual. Voucher specimen should be retained."
"Adenomeris gibbosa","Adenomeris gibbosa","NHMSYS0000356222","2004-04-16 to present",,"1: This is a rare species","3: Voucher specimen needs checking under magnification and good lighting. Beginners should get specimens checked at first until they gain experience.  Records accepted from known experienced recorders without further question unless the date, region or habitat was especially unusual. Voucher specimen should be retained."
"Geoglomeris subterranea","Geoglomeris subterranea","NHMSYS0000356252","1957-01-01 to present",,,"3: Voucher specimen needs checking under magnification and good lighting. Beginners should get specimens checked at first until they gain experience.  Records accepted from known experienced recorders without further question unless the date, region or habitat was especially unusual. Voucher specimen should be retained."
"Glomeris marginata","Glomeris marginata","NBNSYS0000011348","1814-01-01 to present",,,"1: Can be identified in the field by anyone with a little experience. Species with which the beginner rapidly becomes familiar. May be identifiable from a good photo. Records accepted from most sources."
"Trachysphaera lobata","Trachysphaera lobata","NBNSYS0000011349","1984-06-01 to present",,"1: This is a rare species","3: Voucher specimen needs checking under magnification and good lighting. Beginners should get specimens checked at first until they gain experience.  Records accepted from known experienced recorders without further question unless the date, region or habitat was especially unusual. Voucher specimen should be retained."
"Armadillidium album","Armadillidium album","NBNSYS0000008567","1906-01-01 to present",,,"3: Voucher specimen needs checking under magnification and good lighting. Beginners should get specimens checked at first until they gain experience.  Records accepted from known experienced recorders without further question unless the date, region or habitat was especially unusual. Voucher specimen should be retained."
"Armadillidium assimile","Armadillidium assimile","NHMSYS0020977823","2005-05-11 to present",,,"4: Adult voucher specimens of either one or both sexes need careful dissection.  Records accepted from known experienced recorders familiar with the species. Voucher specimen should be retained. If the recorder is not familiar with the species then a voucher specimen should be checked by an expert who is."
"Armadillidium depressum","Armadillidium depressum","NBNSYS0000008568",,,,"2: Can be identified in the field with care and experience but needs a good view or examination with a good quality lens. Beginners should take voucher specimens until they gain familiarity and experience. Records accepted from known competent recorders."
"Armadillidium nasatum","Armadillidium nasatum","NBNSYS0000008569",,,,"2: Can be identified in the field with care and experience but needs a good view or examination with a good quality lens. Beginners should take voucher specimens until they gain familiarity and experience. Records accepted from known competent recorders."
"Armadillidium pictum","Armadillidium pictum","NBNSYS0000008570","1917-01-01 to present",,,"3: Voucher specimen needs checking under magnification and good lighting. Beginners should get specimens checked at first until they gain experience.  Records accepted from known experienced recorders without further question unless the date, region or habitat was especially unusual. Voucher specimen should be retained."
"Armadillidium pulchellum","Armadillidium pulchellum","NBNSYS0000008571",,,,"3: Voucher specimen needs checking under magnification and good lighting. Beginners should get specimens checked at first until they gain experience.  Records accepted from known experienced recorders without further question unless the date, region or habitat was especially unusual. Voucher specimen should be retained."
"Armadillidium vulgare","Armadillidium vulgare","NBNSYS0000008572",,,,"2: Can be identified in the field with care and experience but needs a good view or examination with a good quality lens. Beginners should take voucher specimens until they gain familiarity and experience. Records accepted from known competent recorders."
"Eluma caelata","Eluma caelata","NHMSYS0020977835","1975-01-01 to present",,,"2: Can be identified in the field with care and experience but needs a good view or examination with a good quality lens. Beginners should take voucher specimens until they gain familiarity and experience. Records accepted from known competent recorders."
"Gabunillo sp. Eden A","Gabunillo sp. Eden A","NHMSYS0020977805","2003-05-02 to present",,,"3: Voucher specimen needs checking under magnification and good lighting. Beginners should get specimens checked at first until they gain experience.  Records accepted from known experienced recorders without further question unless the date, region or habitat was especially unusual. Voucher specimen should be retained."
"Reductoniscus costulatus","Reductoniscus costulatus","NHMSYS0020302570","1947-01-01 to present",,,"3: Voucher specimen needs checking under magnification and good lighting. Beginners should get specimens checked at first until they gain experience.  Records accepted from known experienced recorders without further question unless the date, region or habitat was especially unusual. Voucher specimen should be retained."
"Venezillo parvus","Venezillo parvus","NHMSYS0020977859","2005-01-01 to present",,,"2: Can be identified in the field with care and experience but needs a good view or examination with a good quality lens. Beginners should take voucher specimens until they gain familiarity and experience. Records accepted from known competent recorders."
"Asellus aquaticus","Asellus (Asellus) aquaticus","NBNSYS0000008589",,,,"3: Voucher specimen needs checking under magnification and good lighting. Beginners should get specimens checked at first until they gain experience.  Records accepted from known experienced recorders without further question unless the date, region or habitat was especially unusual. Voucher specimen should be retained."
"Caecidotea communis","Caecidotea communis","NHMSYS0020302559","1962-01-01 to present",,"2: Records for this species must always be verified (rarity, uncertain taxonomic status)","5: Adult voucher specimens of either one or both sexes need careful dissection and to be examined by national expert. Even the most experienced of recorders may need to seek a second opinion from an acknowledged expert. Specimen may need to be submitted to experts elsewhere in Europe for comparison with a wider range of material."
"Proasellus cavaticus","Proasellus cavaticus","NBNSYS0000188496","1925-01-01 to present",,,"3: Voucher specimen needs checking under magnification and good lighting. Beginners should get specimens checked at first until they gain experience.  Records accepted from known experienced recorders without further question unless the date, region or habitat was especially unusual. Voucher specimen should be retained."
"Proasellus meridianus","Proasellus meridianus","NBNSYS0000186055",,,,"3: Voucher specimen needs checking under magnification and good lighting. Beginners should get specimens checked at first until they gain experience.  Records accepted from known experienced recorders without further question unless the date, region or habitat was especially unusual. Voucher specimen should be retained."
"Buddelundiella cataractae","Buddelundiella cataractae","NBNSYS0000008545","1981-01-01 to present",,"1: This is a rare species","2: Can be identified in the field with care and experience but needs a good view or examination with a good quality lens. Beginners should take voucher specimens until they gain familiarity and experience. Records accepted from known competent recorders."
"Cylisticus convexus","Cylisticus convexus","NBNSYS0000008575",,,,"2: Can be identified in the field with care and experience but needs a good view or examination with a good quality lens. Beginners should take voucher specimens until they gain familiarity and experience. Records accepted from known competent recorders."
"Halophiloscia couchii","Halophiloscia couchii","NHMSYS0001593599","1858-01-01 to present",,,"3: Voucher specimen needs checking under magnification and good lighting. Beginners should get specimens checked at first until they gain experience.  Records accepted from known experienced recorders without further question unless the date, region or habitat was especially unusual. Voucher specimen should be retained."
"Stenophiloscia glarearum","Stenophiloscia glarearum","NHMSYS0020302572","1974-03-01 to present",,"2: Records for this species must always be verified (rarity, uncertain taxonomic status)","4: Adult voucher specimens of either one or both sexes need careful dissection.  Records accepted from known experienced recorders familiar with the species. Voucher specimen should be retained. If the recorder is not familiar with the species then a voucher specimen should be checked by an expert who is."
"Ligia oceanica","Ligia oceanica","NBNSYS0000008542",,,,"1: Can be identified in the field by anyone with a little experience. Species with which the beginner rapidly becomes familiar. May be identifiable from a good photo. Records accepted from most sources."
"Ligidium hypnorum","Ligidium hypnorum","NBNSYS0000008543","1873-01-01 to present",,,"2: Can be identified in the field with care and experience but needs a good view or examination with a good quality lens. Beginners should take voucher specimens until they gain familiarity and experience. Records accepted from known competent recorders."
"Oniscus asellus","Oniscus asellus","NBNSYS0000008561",,,,"1: Can be identified in the field by anyone with a little experience. Species with which the beginner rapidly becomes familiar. May be identifiable from a good photo. Records accepted from most sources."
"Burmoniscus meeusei","Burmoniscus meeusei","NHMSYS0020302558","1947-01-01 to present",,"2: Records for this species must always be verified (rarity, uncertain taxonomic status)","5: Adult voucher specimens of either one or both sexes need careful dissection and to be examined by national expert. Even the most experienced of recorders may need to seek a second opinion from an acknowledged expert. Specimen may need to be submitted to experts elsewhere in Europe for comparison with a wider range of material."
"Chaetophiloscia sicula","Chaetophiloscia sicula","NHMSYS0020977829","2005-05-11 to present",,,"4: Adult voucher specimens of either one or both sexes need careful dissection.  Records accepted from known experienced recorders familiar with the species. Voucher specimen should be retained. If the recorder is not familiar with the species then a voucher specimen should be checked by an expert who is."
"Chaetophiloscia sp.","Chaetophiloscia sp.","NHMSYS0020302560",,,"2: Records for this species must always be verified (rarity, uncertain taxonomic status)","5: Adult voucher specimens of either one or both sexes need careful dissection and to be examined by national expert. Even the most experienced of recorders may need to seek a second opinion from an acknowledged expert. Specimen may need to be submitted to experts elsewhere in Europe for comparison with a wider range of material."
"Philoscia muscorum","Philoscia muscorum","NBNSYS0000008564",,,,"2: Can be identified in the field with care and experience but needs a good view or examination with a good quality lens. Beginners should take voucher specimens until they gain familiarity and experience. Records accepted from known competent recorders."
"Pseudotyphloscia sp. Eden A","Pseudotyphloscia sp. Eden A","NHMSYS0020977817","2004-05-28 to present",,,"3: Voucher specimen needs checking under magnification and good lighting. Beginners should get specimens checked at first until they gain experience.  Records accepted from known experienced recorders without further question unless the date, region or habitat was especially unusual. Voucher specimen should be retained."
"Setaphora patiencei","Setaphora patiencei","NHMSYS0020302571","1908-01-01 to present",,"2: Records for this species must always be verified (rarity, uncertain taxonomic status)","5: Adult voucher specimens of either one or both sexes need careful dissection and to be examined by national expert. Even the most experienced of recorders may need to seek a second opinion from an acknowledged expert. Specimen may need to be submitted to experts elsewhere in Europe for comparison with a wider range of material."
"Platyarthrus hoffmannseggii","Platyarthrus hoffmannseggii","NHMSYS0020302568",,,,"1: Can be identified in the field by anyone with a little experience. Species with which the beginner rapidly becomes familiar. May be identifiable from a good photo. Records accepted from most sources."
"Trichorhina tomentosa","Trichorhina tomentosa","NBNSYS0000008566",,,,"3: Voucher specimen needs checking under magnification and good lighting. Beginners should get specimens checked at first until they gain experience.  Records accepted from known experienced recorders without further question unless the date, region or habitat was especially unusual. Voucher specimen should be retained."
"Agabiformius lentus","Agabiformius lentus","NBNSYS0000008577",,,,"3: Voucher specimen needs checking under magnification and good lighting. Beginners should get specimens checked at first until they gain experience.  Records accepted from known experienced recorders without further question unless the date, region or habitat was especially unusual. Voucher specimen should be retained."
"Lucasius pallidus","Lucasius pallidus","NHMSYS0020977847","2010-04-17 to present",,,"3: Voucher specimen needs checking under magnification and good lighting. Beginners should get specimens checked at first until they gain experience.  Records accepted from known experienced recorders without further question unless the date, region or habitat was especially unusual. Voucher specimen should be retained."
"Porcellio dilatatus","Porcellio dilatatus","NBNSYS0000008578",,,,"3: Voucher specimen needs checking under magnification and good lighting. Beginners should get specimens checked at first until they gain experience.  Records accepted from known experienced recorders without further question unless the date, region or habitat was especially unusual. Voucher specimen should be retained."
"Porcellio laevis","Porcellio laevis","NHMSYS0020302569",,,,"3: Voucher specimen needs checking under magnification and good lighting. Beginners should get specimens checked at first until they gain experience.  Records accepted from known experienced recorders without further question unless the date, region or habitat was especially unusual. Voucher specimen should be retained."
"Porcellio scaber","Porcellio scaber","NBNSYS0000008580",,,,"1: Can be identified in the field by anyone with a little experience. Species with which the beginner rapidly becomes familiar. May be identifiable from a good photo. Records accepted from most sources."
"Porcellio spinicornis","Porcellio spinicornis","NBNSYS0000008581",,,,"2: Can be identified in the field with care and experience but needs a good view or examination with a good quality lens. Beginners should take voucher specimens until they gain familiarity and experience. Records accepted from known competent recorders."
"Porcellionides cingendus","Porcellionides cingendus","NBNSYS0000008582",,,,"2: Can be identified in the field with care and experience but needs a good view or examination with a good quality lens. Beginners should take voucher specimens until they gain familiarity and experience. Records accepted from known competent recorders."
"Porcellionides pruinosus","Porcellionides pruinosus","NBNSYS0000008583",,,,"2: Can be identified in the field with care and experience but needs a good view or examination with a good quality lens. Beginners should take voucher specimens until they gain familiarity and experience. Records accepted from known competent recorders."
"Cordioniscus stebbingi","Cordioniscus stebbingi","NBNSYS0000008557","1907-01-01 to present",,,"4: Adult voucher specimens of either one or both sexes need careful dissection.  Records accepted from known experienced recorders familiar with the species. Voucher specimen should be retained. If the recorder is not familiar with the species then a voucher specimen should be checked by an expert who is."
"Styloniscus mauritiensis","Styloniscus mauritiensis","NHMSYS0000377500","1986-08-07 to present",,,"4: Adult voucher specimens of either one or both sexes need careful dissection.  Records accepted from known experienced recorders familiar with the species. Voucher specimen should be retained. If the recorder is not familiar with the species then a voucher specimen should be checked by an expert who is."
"Styloniscus spinosus","Styloniscus spinosus","NBNSYS0000008558","1907-01-01 to present",,,"4: Adult voucher specimens of either one or both sexes need careful dissection.  Records accepted from known experienced recorders familiar with the species. Voucher specimen should be retained. If the recorder is not familiar with the species then a voucher specimen should be checked by an expert who is."
"Nagurus cristatus","Nagurus cristatus","NHMSYS0020302566","1965-01-01 to present",,,"3: Voucher specimen needs checking under magnification and good lighting. Beginners should get specimens checked at first until they gain experience.  Records accepted from known experienced recorders without further question unless the date, region or habitat was especially unusual. Voucher specimen should be retained."
"Nagurus nanus","Nagurus nanus","NHMSYS0020302567","1911-01-01 to present",,,"3: Voucher specimen needs checking under magnification and good lighting. Beginners should get specimens checked at first until they gain experience.  Records accepted from known experienced recorders without further question unless the date, region or habitat was especially unusual. Voucher specimen should be retained."
"Trachelipus rathkii","Trachelipus rathkii","NHMSYS0001593918",,,,"3: Voucher specimen needs checking under magnification and good lighting. Beginners should get specimens checked at first until they gain experience.  Records accepted from known experienced recorders without further question unless the date, region or habitat was especially unusual. Voucher specimen should be retained."
"Androniscus dentiger","Androniscus dentiger","NBNSYS0000008544",,,,"2: Can be identified in the field with care and experience but needs a good view or examination with a good quality lens. Beginners should take voucher specimens until they gain familiarity and experience. Records accepted from known competent recorders."
"Haplophthalmus danicus","Haplophthalmus danicus","NBNSYS0000008546",,,,"3: Voucher specimen needs checking under magnification and good lighting. Beginners should get specimens checked at first until they gain experience.  Records accepted from known experienced recorders without further question unless the date, region or habitat was especially unusual. Voucher specimen should be retained."
"Haplophthalmus mengii","Haplophthalmus mengii","NHMSYS0020302562",,,,"4: Adult voucher specimens of either one or both sexes need careful dissection.  Records accepted from known experienced recorders familiar with the species. Voucher specimen should be retained. If the recorder is not familiar with the species then a voucher specimen should be checked by an expert who is."
"Haplophthalmus montivagus","Haplophthalmus montivagus","NHMSYS0020302563",,,,"4: Adult voucher specimens of either one or both sexes need careful dissection.  Records accepted from known experienced recorders familiar with the species. Voucher specimen should be retained. If the recorder is not familiar with the species then a voucher specimen should be checked by an expert who is."
"Metatrichoniscoides celticus","Metatrichoniscoides celticus","NBNSYS0000008548","1979-01-01 to present",,"2: Records for this species must always be verified (rarity, uncertain taxonomic status)","4: Adult voucher specimens of either one or both sexes need careful dissection.  Records accepted from known experienced recorders familiar with the species. Voucher specimen should be retained. If the recorder is not familiar with the species then a voucher specimen should be checked by an expert who is."
"Metatrichoniscoides leydigii","Metatrichoniscoides leydigii","NHMSYS0020302565",,,"2: Records for this species must always be verified (rarity, uncertain taxonomic status)","4: Adult voucher specimens of either one or both sexes need careful dissection.  Records accepted from known experienced recorders familiar with the species. Voucher specimen should be retained. If the recorder is not familiar with the species then a voucher specimen should be checked by an expert who is."
"Miktoniscus linearis","Miktoniscus linearis","NBNSYS0000008549","1908-01-01 to present",,"2: Records for this species must always be verified (rarity, uncertain taxonomic status)","5: Adult voucher specimens of either one or both sexes need careful dissection and to be examined by national expert. Even the most experienced of recorders may need to seek a second opinion from an acknowledged expert. Specimen may need to be submitted to experts elsewhere in Europe for comparison with a wider range of material."
"Miktoniscus patiencei","Miktoniscus patiencei","NBNSYS0000008550","1971-01-01 to present",,,"3: Voucher specimen needs checking under magnification and good lighting. Beginners should get specimens checked at first until they gain experience.  Records accepted from known experienced recorders without further question unless the date, region or habitat was especially unusual. Voucher specimen should be retained."
"Oritoniscus flavus","Oritoniscus flavus","NBNSYS0000008551",,,"1: This is a rare species","3: Voucher specimen needs checking under magnification and good lighting. Beginners should get specimens checked at first until they gain experience.  Records accepted from known experienced recorders without further question unless the date, region or habitat was especially unusual. Voucher specimen should be retained."
"Trichoniscoides albidus","Trichoniscoides albidus","NBNSYS0000008552","1911-01-01 to present",,,"3: Voucher specimen needs checking under magnification and good lighting. Beginners should get specimens checked at first until they gain experience.  Records accepted from known experienced recorders without further question unless the date, region or habitat was especially unusual. Voucher specimen should be retained."
"Trichoniscoides helveticus","Trichoniscoides helveticus","NHMSYS0001593924",,,,"4: Adult voucher specimens of either one or both sexes need careful dissection.  Records accepted from known experienced recorders familiar with the species. Voucher specimen should be retained. If the recorder is not familiar with the species then a voucher specimen should be checked by an expert who is."
"Trichoniscoides saeroeensis","Trichoniscoides saeroeensis","NBNSYS0000008553","1934-01-01 to present",,,"4: Adult voucher specimens of either one or both sexes need careful dissection.  Records accepted from known experienced recorders familiar with the species. Voucher specimen should be retained. If the recorder is not familiar with the species then a voucher specimen should be checked by an expert who is."
