taxon,tvk,km100,km10,coord_system
Acheta domesticus,NBNSYS0000006827,SY,07 08 09 48 49 58 59 66 67 68 69 77 78 79 87 88 89 97 98,OSGB
Acheta domesticus,NBNSYS0000006827,SZ,07 08 09 19 28 29 38 39 47 48 49 57 58 59 68 69 79 89 99,OSGB
Acheta domesticus,NBNSYS0000006827,TA,00 01 02 03 04 10 11 12 13 14 20 21,OSGB
Acheta domesticus,NBNSYS0000006827,TF,00 01 03 04 05 06 07 08 09 10 11 13 14 15 17 18 19 20 21 23 24 25 27 28 29 33 34 35 37 38 39 43 44 45 47 48 49 70 71 80 81 90 91 92 93,OSGB
Acheta domesticus,NBNSYS0000006827,TG,00 01 02 03 10 11 12 13 20 21 22 30 31 32 40 41 42 50 51,OSGB
Acheta domesticus,NBNSYS0000006827,TL,00 01 02 03 04 05 06 07 08 09 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 44 45 46 47 48 49 50 51 54 55 56 57 58 59 60 61 63 64 65 70 71 72 73 74 75 76 77 78 79 80 81 82 83 84 85 86 87 88 89 90 91 92 93 94 95 96 97 98 99,OSGB
Acheta domesticus,NBNSYS0000006827,TM,00 01 02 03 04 05 08 09 10 11 12 13 14 15 19 21 22 23 24 25 26 27 29 33 34 35 36 37 39 44 45 46 47 49,OSGB
Acheta domesticus,NBNSYS0000006827,TQ,00 01 02 03 04 05 06 07 08 09 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 53 54 55 56 57 58 59 63 64 65 66 67 68 69 73 74 75 76 77 78 79 84 85 86 87 88 89 95 96 97 98 99,OSGB
Acheta domesticus,NBNSYS0000006827,TR,02 03 04 05 06 07 08 09 12 13 14 15 16 23 24 25 26 27 33 34 35 36 37 46 47,OSGB
Acheta domesticus,NBNSYS0000006827,TV,49,OSGB
Anacridium aegyptium,NHMSYS0000377674,HU,33 34 35 43 44 45 53 54 55,OSGB
Anacridium aegyptium,NHMSYS0000377674,NO,52 53 54 63 64 72 74,OSGB
Anacridium aegyptium,NHMSYS0000377674,NZ,20 21 22 30 31 32 40 41 42,OSGB
Anacridium aegyptium,NHMSYS0000377674,SD,30 31 32 33 40 41 42 43 50 51 52 53,OSGB
Anacridium aegyptium,NHMSYS0000377674,SJ,39 49 59,OSGB
Anacridium aegyptium,NHMSYS0000377674,SK,22 23 24 32 33 34 42 43 44 46 47 48 56 57 58 66 67 68,OSGB
Anacridium aegyptium,NHMSYS0000377674,SN,40 41 50 51 60 61 70 80,OSGB
Anacridium aegyptium,NHMSYS0000377674,SO,37 38 39 47 48 49 57 58 59 85 86 87 95 96 97,OSGB
Anacridium aegyptium,NHMSYS0000377674,SP,05 06 07 93 94 95,OSGB
Anacridium aegyptium,NHMSYS0000377674,SS,49 59 68 69 78 79 88 89,OSGB
Anacridium aegyptium,NHMSYS0000377674,ST,06 07 08 09 10 16 17 18 19 20 26 27 28 29 30,OSGB
Anacridium aegyptium,NHMSYS0000377674,SY,18 19 28 29 38 39 87 88 89 97 98 99,OSGB
Anacridium aegyptium,NHMSYS0000377674,SZ,07 08 09,OSGB
Anacridium aegyptium,NHMSYS0000377674,TL,03 04 05 13 14 15,OSGB
Anacridium aegyptium,NHMSYS0000377674,TQ,74 75 76 84 85 86 94 95 96,OSGB
Apterygida media,NHMSYS0001387259,SO,51,OSGB
Apterygida media,NHMSYS0001387259,TG,10 20,OSGB
Apterygida media,NHMSYS0001387259,TL,62 64 72 74 75 76 83 84 85 93 94 95 96 97,OSGB
Apterygida media,NHMSYS0001387259,TM,04 05 06 07 13 14 16 18 25 26 27 36 37 46 48 58 59,OSGB
Apterygida media,NHMSYS0001387259,TQ,35 55 56 57 65 66 67 73 75 76 77 86 94 95 96,OSGB
Apterygida media,NHMSYS0001387259,TR,03 04 05 13 14 15 16 23 24 25 26 34 35 36,OSGB
Bacillus rossius,NHMSYS0001387264,SV,81,OSGB
Bacillus rossius,NHMSYS0001387264,SW,83,OSGB
Bacillus rossius,NHMSYS0001387264,TQ,08,OSGB
Blatta orientalis,NBNSYS0000006854,ND,24 25 26 34 35 36,OSGB
Blatta orientalis,NBNSYS0000006854,NO,00 10 20,OSGB
Blatta orientalis,NBNSYS0000006854,NS,14 15 23 24 25 33 34 35 45 46 47 55 56 57 65 66 67 87 88 89 97 98 99,OSGB
Blatta orientalis,NBNSYS0000006854,NT,07 08 09 16 17 18 19 25 26 27 28 29 35 36 37 38 39 45 46 47,OSGB
Blatta orientalis,NBNSYS0000006854,NY,13 14 15 23 24 25 26 33 34 35 36 44 45 46 54 55 56 64 65 66,OSGB
Blatta orientalis,NBNSYS0000006854,NZ,15 16 17 25 26 27 35 36 37 45 46 60 70 80,OSGB
Blatta orientalis,NBNSYS0000006854,SC,27 28 37 38 39 47 48 49,OSGB
Blatta orientalis,NBNSYS0000006854,SD,20 21 23 30 31 32 33 37 38 39 40 41 42 43 47 48 49 50 51 57 58 59 80 81 82 90 91 92,OSGB
Blatta orientalis,NBNSYS0000006854,SE,00 01 02 03 04 12 13 14 22 23 24 30 32 33 34 40 41 50 51 57 58 59 60 61 67 68 69 70 71 77 78 79 80 81 87 88 89 90 91 97 98 99,OSGB
Blatta orientalis,NBNSYS0000006854,SH,22 23 24 32 33 34 36 37 43 44 45 46 47 48 50 55 56 57 58 60 66 67 68 70,OSGB
Blatta orientalis,NBNSYS0000006854,SJ,27 28 29 30 31 37 38 39 40 41 47 48 49 50 51 59 60 61 62 70 71 72 80 81 82 86 87 88 89 90 96 97 98 99,OSGB
Blatta orientalis,NBNSYS0000006854,SK,00 06 07 08 09 10 11 12 13 20 21 22 23 24 26 27 28 29 30 31 32 33 34 36 37 38 39 42 43 44 46 47 48 49 58 59 69 79 82 83 84 86 87 88 89 92 93 94 96 97 98 99,OSGB
Blatta orientalis,NBNSYS0000006854,SM,70 71 80 81 90 91,OSGB
Blatta orientalis,NBNSYS0000006854,SN,40 41 50 51 52 58 59 60 61 62 68 69 70 71 72 78 79 80 81 90 91,OSGB
Blatta orientalis,NBNSYS0000006854,SO,00 01 10 11 20 21 39 49 59 70 71 72 74 75 76 80 81 82 84 85 86 87 88 89 90 91 92 94 95 96 97 98 99,OSGB
Blatta orientalis,NBNSYS0000006854,SP,05 06 07 08 09 17 18 19 26 27 28 29 32 33 34 36 37 38 39 40 41 42 43 44 46 47 48 50 51 52 53 54 60 61 91 92 93,OSGB
Blatta orientalis,NBNSYS0000006854,SR,89 99,OSGB
Blatta orientalis,NBNSYS0000006854,SS,32 42 43 44 48 49 52 53 54 58 59 68 69 78 79 87 88 89 90 97 98 99,OSGB
Blatta orientalis,NBNSYS0000006854,ST,00 06 07 08 09 10 16 17 18 19 20 26 27 28 29 30 31 32 40 41 42 45 46 47 48 50 51 52 55 56 57 58 60 65 66 67 68 70 71 72 75 76 77 80 81 82 85 86 87 90 91 92,OSGB
Blatta orientalis,NBNSYS0000006854,SU,49 50 51 59 60 61 69 70 71 80 81 87 88 89 90 91 97 98 99,OSGB
Blatta orientalis,NBNSYS0000006854,SW,43 44 53 54 63 64 65 72 73 74 75 82 83 84 85 93 94,OSGB
Blatta orientalis,NBNSYS0000006854,SX,35 36 44 45 46 54 55 56 63 64 65 98 99,OSGB
Blatta orientalis,NBNSYS0000006854,SY,08 09 18 19 28 29 39 49 58 59 67 68 69 77 78 79 87 88 89 97 98 99,OSGB
Blatta orientalis,NBNSYS0000006854,SZ,07 08 09 38 39 47 48 49 57 58 59 69 79 89 99,OSGB
Blatta orientalis,NBNSYS0000006854,TA,00 01 10 11 20 21 22 30 31 32 40 41 42,OSGB
Blatta orientalis,NBNSYS0000006854,TF,02 03 04 06 07 08 09 11 12 13 19 21 22 23 27 28 29 31 32 33 36 37 38 39 45 46 47 48 49 55 56 57 58,OSGB
Blatta orientalis,NBNSYS0000006854,TG,00 01 02 10 11 12 20 21 22,OSGB
Blatta orientalis,NBNSYS0000006854,TL,00 01 02 03 10 11 12 13 16 17 18 19 20 21 22 23 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 44 45 46 54 55 56,OSGB
Blatta orientalis,NBNSYS0000006854,TQ,00 01 07 08 09 10 11 16 17 18 19 26 27 28 29 36 37 38 39 46 47 48 49 56 57 58 60 61 64 65 66 67 68 70 71 72 74 75 76 77 78 79 80 81 82 84 85 86 87 88 89 91 92 93 94 95 96 97 98 99,OSGB
Blatta orientalis,NBNSYS0000006854,TR,03 04 05 06 07 08 13 14 15,OSGB
Blatta orientalis,NBNSYS0000006854,TV,69 79,OSGB
Blattella germanica,NBNSYS0000006856,NS,35 36 37 45 46 47 55 56 57 65 66 67,OSGB
Blattella germanica,NBNSYS0000006856,NT,16 17 18 26 27 28 36 37 38,OSGB
Blattella germanica,NBNSYS0000006856,NY,24 25 26 34 35 36 44 45 46,OSGB
Blattella germanica,NBNSYS0000006856,NZ,40 41 42 50 51 52 60 61 62,OSGB
Blattella germanica,NBNSYS0000006856,SD,20 30 40 50 60 80 81 90 91,OSGB
Blattella germanica,NBNSYS0000006856,SE,00 01 02 03 04 12 13 14 20 21 22 23 24 30 31 32 33 34 40 41 42 43 44 50 51 60 61 70 71,OSGB
Blattella germanica,NBNSYS0000006856,SH,46 47 48 56 57 58 66 67 68,OSGB
Blattella germanica,NBNSYS0000006856,SJ,27 28 29 37 38 39 47 48 49 58 59 68 69 89 99,OSGB
Blattella germanica,NBNSYS0000006856,SK,09 27 28 29 37 38 39 45 46 47 48 49 55 56 57 59 65 66 67 69 79 86 87 88 96 97 98,OSGB
Blattella germanica,NBNSYS0000006856,SO,70 71 72 80 81 82 90 91 92 97 98 99,OSGB
Blattella germanica,NBNSYS0000006856,SP,07 08 09 17 18 19,OSGB
Blattella germanica,NBNSYS0000006856,SS,43 44 53 54 63 64,OSGB
Blattella germanica,NBNSYS0000006856,ST,46 47 48 50 56 57 58 60 66 67 68 70 71 72 80 81 82 90 91 92,OSGB
Blattella germanica,NBNSYS0000006856,SU,50 60 64 65 66 70 74 75 76 84 85 86 94 95 96,OSGB
Blattella germanica,NBNSYS0000006856,SW,72 73 74 75 76 82 83 84 85 86 87 93 94 95 96 97,OSGB
Blattella germanica,NBNSYS0000006856,SX,35 36 44 45 46 54 55 56,OSGB
Blattella germanica,NBNSYS0000006856,SY,58 59 68 69 78 79,OSGB
Blattella germanica,NBNSYS0000006856,SZ,58 59 68 69 79,OSGB
Blattella germanica,NBNSYS0000006856,TF,06 07 08,OSGB
Blattella germanica,NBNSYS0000006856,TL,11 12 13 16 17 18 20 21 22 23 26 27 28 30 31 32 33 34 35 36 37 38 40 41 44 45 46 54 55 56,OSGB
Blattella germanica,NBNSYS0000006856,TQ,04 05 06 07 14 15 16 17 18 19 25 26 27 28 29 36 37 38 39 45 46 47 48 49 55 56 57 58 59 64 65 66 67 68 69 74 75 76 77 78 79 84 85 86 87 88 89 97 98 99,OSGB
Blattella germanica,NBNSYS0000006856,TR,25 26 27 35 36 37 46 47,OSGB
Carausius morosus,NHMSYS0001387282,SP,25,OSGB
Carausius morosus,NHMSYS0001387282,SW,61,OSGB
Chorthippus albomarginatus,NHMSYS0001387286,SE,41 61 70 71 72 74 80 82 90 92,OSGB
Chorthippus albomarginatus,NHMSYS0001387286,SH,43 61,OSGB
Chorthippus albomarginatus,NHMSYS0001387286,SK,13 14 21 22 23 24 25 31 32 34 35 36 40 41 42 43 45 47 48 49 50 51 53 54 55 56 57 58 60 61 62 63 65 66 67 71 73 74 75 76 77 78 79 80 81 82 83 84 86 87 89 90 91 95 96,OSGB
Chorthippus albomarginatus,NHMSYS0001387286,SO,20 50 60 61 70 71 72 73 80 81 82 83 84 85 86 90 91 92 93 94 95 96 97,OSGB
Chorthippus albomarginatus,NHMSYS0001387286,SP,01 02 03 04 05 06 07 10 11 12 13 14 15 16 17 18 21 22 23 24 25 26 27 30 31 34 36 37 38 39 40 41 42 45 46 47 50 51 55 57 59 60 61 62 66 67 73 74 77 81 83 84 86 87 88 89 91 92 93 94 95 96 97 98 99,OSGB
Chorthippus albomarginatus,NHMSYS0001387286,SS,49 58 59 78 84 87 89 94,OSGB
Chorthippus albomarginatus,NHMSYS0001387286,ST,04 06 14 16 17 23 24 25 28 32 33 34 35 36 37 38 42 43 44 45 46 47 48 53 56 57 58 59 67 69 78 90,OSGB
Chorthippus albomarginatus,NHMSYS0001387286,SU,00 01 03 09 10 11 13 18 20 28 29 30 31 40 41 49 50 52 56 59 60 62 68 70 76 80 83 84 85 86 89 90 95 96 98 99,OSGB
Chorthippus albomarginatus,NHMSYS0001387286,SX,64 74 97 98,OSGB
Chorthippus albomarginatus,NHMSYS0001387286,SY,08 39 58 59 67 68 69 77 78 79 88 89 98 99,OSGB
Chorthippus albomarginatus,NHMSYS0001387286,SZ,07 08 09 19 29 38 39 47 48 49 57 58 59 68 69 79 89,OSGB
Chorthippus albomarginatus,NHMSYS0001387286,TA,02 03 04 12 13 14 21 22 30 31 32 33 40 41,OSGB
Chorthippus albomarginatus,NHMSYS0001387286,TF,00 02 04 06 07 09 10 11 12 13 14 15 16 20 21 22 23 24 25 26 30 31 32 33 34 35 36 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 55 56 57 58 60 61 62 63 64 70 71 72 73 74 80 81 82 83 84 90 91 92 93 94,OSGB
Chorthippus albomarginatus,NHMSYS0001387286,TG,00 01 02 03 04 10 11 12 13 14 20 21 22 23 30 31 32 33 40 41 42 50 51,OSGB
Chorthippus albomarginatus,NHMSYS0001387286,TL,00 01 02 03 04 05 06 07 08 09 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55 56 57 58 59 60 61 62 63 64 65 66 67 68 69 70 71 73 74 75 76 77 78 79 80 81 82 83 84 85 86 87 88 89 90 91 92 93 94 95 96 97 98 99,OSGB
Chorthippus albomarginatus,NHMSYS0001387286,TM,00 01 02 03 05 07 09 11 12 13 14 15 17 18 19 21 22 23 24 25 29 33 34 35 36 39 44 45 46 47 48 49 57 58 59,OSGB
Chorthippus albomarginatus,NHMSYS0001387286,TQ,00 01 05 06 07 08 09 10 11 13 15 16 17 18 19 20 21 23 24 25 26 27 28 29 33 34 35 36 37 38 39 40 44 45 47 48 49 50 54 57 58 59 60 61 64 66 67 68 69 70 71 72 76 77 78 79 81 82 86 87 88 89 91 92 94 96 97 98 99,OSGB
Chorthippus albomarginatus,NHMSYS0001387286,TR,01 02 03 06 07 09 13 15 16 26 35 36,OSGB
Chorthippus albomarginatus,NHMSYS0001387286,TV,59,OSGB
Chorthippus brunneus,NBNSYS0000006842,NC,15 16 25 26 27 35 36 37 55 56 65 66 70 75 76 80 85 86 90,OSGB
Chorthippus brunneus,NBNSYS0000006842,NG,42 43 44 45 51 52 53 54 55 61 62 63 64 65 71 72 73 74,OSGB
Chorthippus brunneus,NBNSYS0000006842,NH,64 65 66 67 70 71 74 75 76 77 78 79 80 81 84 85 86 87 88 89 90 91 92 93 94 95 96 97 98,OSGB
Chorthippus brunneus,NBNSYS0000006842,NJ,00 01 02 03 04 05 06 10 11 12 13 14 15 16 17 23 24 25 26 27 33 34 35 36 45 46 55 56 65 66 72 73 74 81 82 83 84 91 92 93 94,OSGB
Chorthippus brunneus,NBNSYS0000006842,NK,02 03,OSGB
Chorthippus brunneus,NBNSYS0000006842,NM,21 22 23 24 25 26 31 32 33 34 35 37 38 39 40 41 42 43 44 45 46 47 48 49 51 52 57 59 60 61 62,OSGB
Chorthippus brunneus,NBNSYS0000006842,NN,06 07 08 16 17 18 26 27 28 44 45 46 54 55 56 64 65 66 79 89 90 93 94 95 98 99,OSGB
Chorthippus brunneus,NBNSYS0000006842,NO,00 01 02 03 04 05 08 09 10 11 12 13 14 15 16 18 19 20 21 22 23 24 25 26 30 31 32 33 34 35 36 37 38 40 41 42 43 44 46 47 48 50 51 52 53 54 55 56 57 58 60 61 63 64 65 66 67 74 75 76 77 78 79 86 87 88 89 99,OSGB
Chorthippus brunneus,NBNSYS0000006842,NR,50 51 60 61 62 63 64 70 71 72 73 74 75 76 77 82 83 84 85 86 87 92 93 94 95 96 97,OSGB
Chorthippus brunneus,NBNSYS0000006842,NS,00 01 02 03 10 17 18 19 20 21 22 23 24 27 28 29 30 31 32 33 34 37 38 39 40 41 42 43 44 50 51 63 64 65 70 71 73 74 75 80 81 82 83 84 85 90 91 92 93 94 95 98 99,OSGB
Chorthippus brunneus,NBNSYS0000006842,NT,00 01 02 03 04 05 06 07 08 09 14 15 16 17 18 19 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55 56 57 58 59 60 61 62 63 64 65 66 67 68 69 70 71 72 73 74 75 76 77 80 81 82 83 84 85 86 87 90 91 92 93 94 95 96,OSGB
Chorthippus brunneus,NBNSYS0000006842,NU,00 01 02 03 04 05 10 11 12 13 14 20 21 22 23,OSGB
Chorthippus brunneus,NBNSYS0000006842,NW,95 96 97,OSGB
Chorthippus brunneus,NBNSYS0000006842,NX,03 04 05 06 07 08 09 13 14 15 16 17 18 19 23 24 25 26 27 28 29 30 33 34 35 36 37 38 39 40 43 44 45 46 47 48 49 54 55 56 57 58 59 64 65 66 67 74 75 76 77 78 79 84 85 86 87 88 89 90 91 92 93 95 96 97 98 99,OSGB
Chorthippus brunneus,NBNSYS0000006842,NY,00 01 02 03 04 05 06 07 08 09 10 11 12 13 14 15 16 17 18 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55 56 57 58 59 60 61 62 63 64 65 66 67 68 69 70 71 72 73 75 76 77 78 79 80 83 84 85 86 87 88 89 90 91 92 93 94 95 96 97 98 99,OSGB
Chorthippus brunneus,NBNSYS0000006842,NZ,00 01 02 03 04 05 06 07 08 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 50 51 52 53 60 61 62 70 71 72 80 81 90 91,OSGB
Chorthippus brunneus,NBNSYS0000006842,SC,16 17 26 27 28 36 37 38 39 47 48 49,OSGB
Chorthippus brunneus,NBNSYS0000006842,SD,08 09 16 17 18 19 20 21 23 24 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55 56 57 58 59 60 61 62 63 64 65 66 67 68 69 70 71 72 73 74 75 76 77 78 79 80 81 82 83 84 85 86 87 88 89 90 91 92 93 94 95 96 97 98 99,OSGB
Chorthippus brunneus,NBNSYS0000006842,SE,00 01 02 03 04 05 06 07 08 09 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55 56 57 58 59 60 61 62 63 64 65 66 67 68 69 70 71 72 73 74 75 76 77 78 79 80 81 82 83 84 85 86 87 88 89 90 91 92 93 94 95 96 97 98 99,OSGB
Chorthippus brunneus,NBNSYS0000006842,SH,12 13 22 23 24 27 28 29 32 33 34 36 37 38 39 43 44 45 46 47 48 49 50 51 52 53 54 55 56 57 58 59 60 61 62 63 64 65 66 67 68 70 71 72 73 74 75 76 77 78 80 81 82 83 84 85 86 87 88 90 91 92 93 94 95 96 97 98,OSGB
Chorthippus brunneus,NBNSYS0000006842,SJ,00 01 02 03 04 05 06 07 08 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55 56 57 58 59 60 61 62 63 64 65 66 67 68 69 70 71 72 73 74 75 76 77 78 79 80 81 82 83 84 85 86 87 88 89 90 91 92 93 94 95 96 97 98 99,OSGB
Chorthippus brunneus,NBNSYS0000006842,SK,00 01 02 03 04 05 06 07 08 09 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55 56 57 58 59 60 61 62 63 64 65 66 67 68 69 70 71 72 73 74 75 76 77 78 79 80 81 82 83 84 85 86 87 88 89 90 91 92 93 94 95 96 97 98 99,OSGB
Chorthippus brunneus,NBNSYS0000006842,SM,60 62 70 71 72 73 80 81 82 83 84 90 91 92 93 94,OSGB
Chorthippus brunneus,NBNSYS0000006842,SN,00 01 02 03 04 10 11 12 13 14 15 20 21 22 23 24 25 30 31 32 33 34 35 36 40 41 42 43 44 45 46 50 51 52 53 54 55 56 57 58 59 60 61 62 63 64 65 66 67 68 69 70 71 72 73 74 75 76 77 78 79 80 81 82 83 84 85 86 87 88 89 90 91 92 93 94 95 96 97 98 99,OSGB
Chorthippus brunneus,NBNSYS0000006842,SO,00 01 02 03 04 05 06 07 08 09 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55 56 57 58 59 60 61 62 63 64 65 66 67 68 69 70 71 72 73 74 75 76 77 78 79 80 81 82 83 84 85 86 87 88 89 90 91 92 93 94 95 96 97 98 99,OSGB
Chorthippus brunneus,NBNSYS0000006842,SP,00 01 02 03 04 05 06 07 08 09 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55 56 57 58 59 60 61 62 63 64 65 66 67 68 69 70 71 72 73 74 75 76 77 78 79 80 81 82 83 84 85 86 87 88 89 90 91 92 93 94 95 96 97 98 99,OSGB
Chorthippus brunneus,NBNSYS0000006842,SR,89 99,OSGB
Chorthippus brunneus,NBNSYS0000006842,SS,09 10 11 14 19 20 21 22 30 31 32 38 39 40 41 42 43 44 48 49 50 51 52 53 54 58 59 60 61 62 63 64 68 69 70 71 72 73 74 75 77 78 79 80 81 82 83 84 87 88 89 90 91 92 93 94 96 97 98 99,OSGB
